date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,3.68,4.3,3.68,4.3,45287.0
2020-03-30,3.83,3.83,3.433,3.82,38846.0
2020-03-27,4.11,4.11,3.86,3.9,31884.0
2020-03-26,4.685,4.72,3.99,4.24,54560.0
2020-03-25,4.16,4.99,4.16,4.65,46131.0
2020-03-24,3.21,4.2512,3.21,4.25,63405.0
2020-03-23,3.2,3.23,2.75,3.19,49516.0
2020-03-20,3.05,3.23,3.02,3.2,140828.0
2020-03-19,2.86,4.26,2.525,3.08,124832.0
2020-03-18,4.41,4.665,2.55,2.94,181624.0
2020-03-17,3.99,4.54,3.12,4.54,77466.0
2020-03-16,4.01,4.26,3.87,3.94,152025.0
2020-03-13,4.35,4.4889,3.96,4.32,88847.0
2020-03-12,4.09,4.44,4.0,4.21,173119.0
2020-03-11,4.73,4.73,4.29,4.34,76098.0
2020-03-10,5.02,5.21,4.67,4.85,42525.0
2020-03-09,6.15,6.15,4.84,4.88,206517.0
2020-03-06,6.67,6.83,6.58,6.67,57274.0
2020-03-05,7.02,7.09,6.71,6.81,87025.0
2020-03-04,7.11,7.12,7.0,7.11,46529.0
2020-03-03,7.05,7.2,7.01,7.1,144562.0
2020-03-02,7.0,7.1,6.98,7.1,88713.0
2020-02-28,7.06,7.14,6.98,7.0,126909.0
2020-02-27,7.1,7.23,7.01,7.1,51501.0
2020-02-26,7.15,7.23,7.11,7.18,28391.0
2020-02-25,7.18,7.23,7.04,7.09,58938.0
2020-02-24,7.1,7.23,7.01,7.18,110713.0
2020-02-21,7.28,7.28,7.1245,7.15,44583.0
2020-02-20,7.13,7.28,7.11,7.26,23477.0
2020-02-19,7.25,7.29,7.13,7.15,41393.0
2020-02-18,7.31,7.355,7.21,7.23,32517.0
2020-02-14,7.35,7.39,7.3,7.32,26694.0
2020-02-13,7.39,7.58,7.31,7.34,16358.0
2020-02-12,7.22,7.4,7.21,7.3,21371.0
2020-02-11,7.28,7.41,7.19,7.2,34943.0
2020-02-10,7.22,7.28,7.18,7.26,9189.0
2020-02-07,7.3,7.3,7.2,7.24,64605.0
