date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.01,1.01,0.99,1.0,23716.0
2020-04-23,0.99,1.01,0.98,0.9901,22600.0
2020-04-22,1.02,1.02,0.9,0.97,7550.0
2020-04-21,0.99,1.01,0.99,1.0058,37331.0
2020-04-20,0.895,1.0,0.8662,0.8662,73792.0
2020-04-17,0.898,0.8999,0.87,0.8999,9986.0
2020-04-16,0.905,0.905,0.8001,0.8362,17080.0
2020-04-15,0.9055,0.9055,0.9055,0.9055,943.0
2020-04-14,0.885,0.915,0.885,0.9,7009.0
2020-04-13,0.9405,0.9405,0.7321,0.87,5068.0
2020-04-09,0.9,0.9,0.85,0.9,372.0
2020-04-08,0.88,0.88,0.85,0.88,21105.0
2020-04-07,0.876,0.876,0.875,0.875,3523.0
2020-04-06,0.97,0.97,0.8527,0.855,4247.0
2020-04-03,0.97,0.97,0.97,0.97,10.0
2020-04-02,0.97,0.97,0.97,0.97,402.0
2020-04-01,0.97,0.97,0.92,0.92,6336.0
2020-03-31,0.925,0.925,0.925,0.925,149.0
2020-03-30,0.9507,0.9507,0.925,0.925,2350.0
2020-03-27,0.955,0.955,0.85,0.85,4379.0
2020-03-26,0.97,0.97,0.8484,0.8899,5729.0
2020-03-25,1.02,1.02,0.86,0.91,2951.0
2020-03-24,0.903,1.01,0.9,1.005,70795.0
2020-03-23,0.9001,0.925,0.86,0.86,4367.0
2020-03-20,0.8602,0.95,0.86,0.86,596.0
2020-03-19,0.9114,0.95,0.86,0.95,1925.0
2020-03-18,0.85,1.0,0.8215,0.97,107707.0
2020-03-17,0.87,0.87,0.7164,0.8,6798.0
2020-03-16,0.75,0.85,0.74,0.8301,22448.0
2020-03-13,0.8,0.82,0.75,0.75,21435.0
2020-03-12,0.85,0.85,0.8,0.8,11156.0
2020-03-11,0.84,0.85,0.82,0.85,5498.0
2020-03-10,0.91,0.91,0.84,0.8401,13767.0
2020-03-09,0.88,0.9,0.88,0.9,2250.0
2020-03-06,0.895,0.9,0.8853,0.9,6441.0
2020-03-05,0.9,0.9876,0.9,0.9001,775.0
2020-03-04,0.9357,0.99,0.88,0.88,12700.0
2020-03-03,1.0,1.0,0.93,1.0,4580.0
2020-03-02,0.92,1.03,0.88,1.0,38372.0
2020-02-28,0.86,0.95,0.86,0.8626,4055.0
2020-02-27,0.9,0.9,0.86,0.86,3657.0
2020-02-26,0.9,1.0,0.86,0.86,3871.0
2020-02-25,0.91,1.0,0.9,0.9,6317.0
2020-02-24,0.955,1.0,0.955,0.9648,18380.0
2020-02-21,0.89,0.98,0.88,0.885,5212.0
2020-02-20,0.95,0.95,0.93,0.93,2100.0
2020-02-19,0.91,0.91,0.88,0.8952,11022.0
2020-02-18,1.0,1.0,0.95,0.95,619.0
2020-02-14,0.97,0.97,0.97,0.97,20.0
2020-02-13,0.97,0.97,0.97,0.97,117.0
2020-02-12,0.97,0.97,0.97,0.97,1.0
2020-02-11,0.95,0.97,0.95,0.97,89943.0
2020-02-10,0.99,0.99,0.99,0.99,257.0
2020-02-07,0.99,0.99,0.99,0.99,339.0
2020-02-06,1.0,1.0,0.88,0.99,4690.0
2020-02-05,1.0,1.01,0.8744,1.01,1165.0
2020-02-04,0.88,1.02,0.88,1.02,74928.0
2020-02-03,0.8505,0.8505,0.85,0.85,7701.0
2020-01-31,0.81,0.8211,0.81,0.81,3448.0
2020-01-30,0.84,0.84,0.84,0.84,7227.0
2020-01-29,0.8,0.82,0.8,0.82,1500.0
2020-01-28,0.81,0.81,0.81,0.81,3.0
2020-01-27,0.86,0.86,0.81,0.81,2392.0
2020-01-24,0.87,0.87,0.82,0.8599,3323.0
2020-01-23,0.9,0.9,0.9,0.9,583.0
2020-01-22,0.89,0.9499,0.78,0.92,25811.0
2020-01-21,0.9119,0.9119,0.9119,0.9119,10.0
2020-01-17,0.9119,0.9119,0.9119,0.9119,5.0
2020-01-16,0.9119,0.9119,0.9119,0.9119,212.0
2020-01-15,0.9,0.9119,0.88,0.9119,1985.0
2020-01-14,0.88,0.88,0.88,0.88,255.0
2020-01-13,0.88,0.88,0.88,0.88,55.0
2020-01-10,0.88,0.88,0.88,0.88,23.0
2020-01-09,0.91,0.91,0.88,0.88,5048.0
2020-01-08,1.01,1.01,0.897,0.9,13187.0
2020-01-07,0.897,1.04,0.897,1.0,2918.0
2020-01-06,0.97,1.01,0.97,1.0,13724.0
2020-01-03,0.977,0.977,0.977,0.977,1710.0
2020-01-02,0.9501,0.9501,0.9501,0.9501,36.0
2019-12-31,0.8,0.9548,0.8,0.9501,9290.0
2019-12-30,0.83,0.9501,0.7724,0.9501,7924.0
2019-12-27,0.91,0.92,0.8141,0.92,3821.0
2019-12-26,0.8105,0.95,0.8105,0.95,9230.0
2019-12-24,0.875,0.94,0.875,0.94,385.0
2019-12-23,0.89,0.89,0.89,0.89,1024.0
2019-12-20,0.8749,0.88,0.8749,0.88,3063.0
2019-12-19,0.8801,0.92,0.88,0.8801,15303.0
2019-12-18,0.89,0.9759,0.88,0.9759,2436.0
2019-12-17,0.88,0.965,0.88,0.965,11215.0
2019-12-16,0.9368,0.9755,0.88,0.88,6282.0
2019-12-13,0.89,0.89,0.89,0.89,91.0
2019-12-12,0.89,0.89,0.89,0.89,23.0
2019-12-11,0.99,0.99,0.89,0.89,6625.0
2019-12-10,0.93,0.93,0.93,0.93,5137.0
2019-12-09,0.94,1.0,0.9373,1.0,25808.0
2019-12-06,0.94,0.94,0.94,0.94,92.0
2019-12-05,0.94,0.94,0.94,0.94,34.0
2019-12-04,0.94,0.9465,0.94,0.94,2987.0
2019-12-03,0.9427,0.9427,0.9427,0.9427,42.0
2019-12-02,0.94,0.9427,0.94,0.9427,1533.0
2019-11-29,0.93,0.93,0.93,0.93,36.0
2019-11-27,0.93,0.93,0.93,0.93,30.0
2019-11-26,0.9219,0.945,0.9219,0.93,875.0
2019-11-25,1.0,1.0,1.0,1.0,25.0
2019-11-22,0.965,1.0,0.965,1.0,750.0
2019-11-21,0.9418,0.9418,0.92,0.92,2445.0
2019-11-20,0.93,0.93,0.93,0.93,514.0
2019-11-19,1.0,1.0,1.0,1.0,136.0
2019-11-18,1.06,1.07,0.9873,1.07,2119.0
2019-11-15,0.9447,1.0,0.93,1.0,46762.0
2019-11-14,0.9401,0.961,0.93,0.93,2013.0
2019-11-13,1.02,1.02,0.9842,0.9854,2838.0
2019-11-12,1.03,1.07,1.0056,1.0225,3102.0
2019-11-11,0.94,0.94,0.94,0.94,46.0
2019-11-08,0.93,1.1,0.93,0.94,1644.0
2019-11-07,0.93,0.93,0.93,0.93,40.0
2019-11-06,0.93,0.93,0.93,0.93,0.0
2019-11-05,0.93,0.93,0.93,0.93,275.0
