date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,0.021,0.021,0.009,0.0119,396728.0
2020-04-08,0.0117,0.0185,0.009,0.0183,88857.0
2020-04-07,0.0095,0.015,0.009,0.009,68462.0
2020-04-06,0.008,0.01,0.003,0.0095,52474.0
2020-04-03,0.01,0.01,0.0099,0.01,4705.0
2020-04-02,0.009,0.01,0.0041,0.0075,258300.0
2020-04-01,0.009,0.009,0.007,0.0082,8227.0
2020-03-31,0.0068,0.009,0.0068,0.0089,53454.0
2020-03-30,0.009,0.009,0.0089,0.0089,20855.0
2020-03-27,0.0075,0.009,0.007,0.0089,58517.0
2020-03-26,0.0033,0.0072,0.0033,0.0071,3389.0
2020-03-25,0.007,0.0075,0.007,0.0075,2167.0
2020-03-24,0.007,0.0075,0.0023,0.0075,12079.0
2020-03-23,0.0079,0.0079,0.0075,0.0075,7001.0
2020-03-20,0.0079,0.0079,0.0078,0.0079,8519.0
2020-03-18,0.007,0.008,0.007,0.008,30300.0
2020-03-17,0.0068,0.0068,0.0067,0.0068,294582.0
2020-03-16,0.007,0.007,0.0046,0.0067,16135.0
2020-03-13,0.007,0.007,0.007,0.007,500.0
2020-03-12,0.008,0.008,0.001,0.001,201363.0
2020-03-11,0.0061,0.0095,0.0061,0.0061,1700.0
2020-03-10,0.0063,0.0063,0.0063,0.0063,206.0
2020-03-09,0.0063,0.0063,0.0031,0.0031,12525.0
2020-03-06,0.0063,0.0063,0.0063,0.0063,843.0
2020-03-05,0.0063,0.0063,0.0038,0.0038,6285.0
2020-03-04,0.0065,0.0065,0.0065,0.0065,144.0
2020-03-03,0.005,0.0066,0.0035,0.0065,12528.0
2020-03-02,0.003,0.0075,0.003,0.005,6200.0
2020-02-28,0.0075,0.0075,0.0062,0.0062,1018.0
2020-02-27,0.0075,0.0075,0.0066,0.0075,2804.0
2020-02-26,0.0072,0.0078,0.0021,0.0078,38085.0
2020-02-25,0.007,0.0071,0.007,0.0071,785.0
2020-02-24,0.0075,0.0078,0.0069,0.0074,5008.0
2020-02-21,0.008,0.008,0.0038,0.0074,16067.0
2020-02-20,0.008,0.008,0.008,0.008,300.0
2020-02-19,0.0089,0.0089,0.003,0.008,21421.0
2020-02-18,0.0089,0.0089,0.0089,0.0089,330.0
2020-02-14,0.0075,0.009,0.007,0.009,20132.0
2020-02-13,0.007,0.0075,0.007,0.0074,20432.0
2020-02-12,0.0075,0.0075,0.0047,0.0068,51240.0
2020-02-11,0.0069,0.0075,0.006,0.0074,10523.0
2020-02-10,0.006,0.0069,0.005,0.0069,13993.0
2020-02-07,0.0077,0.0077,0.0045,0.006,51920.0
2020-02-06,0.0074,0.0076,0.007,0.007,22683.0
2020-02-05,0.0077,0.0077,0.0075,0.0075,23550.0
2020-02-04,0.007,0.0078,0.0041,0.0077,3000.0
