date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,6.25,6.54,5.84,6.06,73313.0
2020-03-30,5.77,6.29,5.57,6.24,61484.0
2020-03-27,6.51,6.8,5.28,5.71,82726.0
2020-03-26,6.22,6.7,5.81,6.52,200125.0
2020-03-25,6.07,6.76,5.735,6.1,254647.0
2020-03-24,6.24,6.65,5.8786,6.27,123497.0
2020-03-23,5.95,6.575,5.72,5.9,86951.0
2020-03-20,6.82,7.37,5.83,6.25,148427.0
2020-03-19,6.0,7.81,5.85,6.95,162676.0
2020-03-18,7.43,7.45,6.16,6.22,50533.0
2020-03-17,7.89,8.715,7.69,7.9,71635.0
2020-03-16,7.5,8.06,7.01,7.66,55875.0
2020-03-13,8.31,8.875,7.5,8.0,164324.0
2020-03-12,8.74,8.9,7.83,7.91,99240.0
2020-03-11,10.06,10.06,9.43,9.64,19169.0
2020-03-10,10.52,10.89,10.0,10.31,52365.0
2020-03-09,10.75,11.0,10.15,10.33,57630.0
2020-03-06,11.35,11.5,10.79,11.34,72589.0
2020-03-05,11.68,12.08,11.4534,11.69,41584.0
2020-03-04,11.87,12.225,11.75,11.95,28801.0
2020-03-03,11.51,12.16,11.3967,11.65,28839.0
2020-03-02,11.54,11.75,11.21,11.4,80011.0
2020-02-28,11.38,12.31,11.04,11.4,58759.0
2020-02-27,12.15,12.59,11.5338,11.75,76504.0
2020-02-26,12.09,12.69,11.33,12.4,58990.0
2020-02-25,13.92,13.92,12.1579,12.25,42614.0
2020-02-24,13.47,13.86,13.094,13.8,44173.0
2020-02-21,13.6,13.74,13.14,13.66,24087.0
2020-02-20,13.6301,13.945,13.0951,13.5,28490.0
2020-02-19,13.19,13.5,12.96,13.43,30131.0
2020-02-18,12.9,13.33,12.78,13.15,25373.0
2020-02-14,12.82,13.1,12.7,12.98,38346.0
2020-02-13,12.63,13.1,12.31,12.81,35768.0
2020-02-12,12.29,12.745,12.11,12.69,52923.0
2020-02-11,12.6,12.67,12.0,12.3,52329.0
2020-02-10,12.93,13.01,12.47,12.64,62115.0
2020-02-07,13.19,13.47,12.27,12.93,122289.0
2020-02-06,12.49,13.66,12.46,12.9,114703.0
2020-02-05,12.38,12.745,11.8102,12.53,99497.0
2020-02-04,13.0,13.25,12.4558,12.725,75739.0
2020-02-03,12.13,13.0,12.13,12.77,69421.0
2020-01-31,12.5,12.585,12.04,12.36,31444.0
2020-01-30,12.3,12.59,12.09,12.52,29118.0
2020-01-29,12.65,12.65,12.35,12.39,43623.0
2020-01-28,11.56,12.5,11.56,12.31,52540.0
2020-01-27,12.07,12.5687,11.89,12.12,24349.0
2020-01-24,12.31,12.75,11.83,12.27,49596.0
2020-01-23,11.99,12.29,10.82,12.16,32770.0
2020-01-22,11.75,11.99,11.4844,11.94,43247.0
2020-01-21,11.9,11.98,11.51,11.67,40533.0
2020-01-17,11.56,11.97,11.43,11.78,67331.0
