date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,12.33,12.65,11.81,11.95,273843.0
2020-03-30,11.44,12.42,10.56,12.35,334506.0
2020-03-27,10.6,11.45,10.29,11.35,296194.0
2020-03-26,9.75,11.72,9.75,11.0,283406.0
2020-03-25,9.72,9.91,8.79,9.58,471205.0
2020-03-24,10.26,11.2,9.38,9.6,383987.0
2020-03-23,8.74,10.49,7.555,9.77,293619.0
2020-03-20,8.8,9.29,7.2001,8.53,847906.0
2020-03-19,8.14,9.561,7.63,8.62,637726.0
2020-03-18,10.19,10.45,7.2,8.36,693543.0
2020-03-17,12.1,13.31,9.75,10.65,873346.0
2020-03-16,13.1,13.97,10.25,11.95,450287.0
2020-03-13,14.34,14.84,12.54,14.04,432837.0
2020-03-12,13.92,14.41,12.7,13.93,556454.0
2020-03-11,15.45,15.79,15.015,15.33,273071.0
2020-03-10,16.25,17.2,15.35,15.79,280808.0
2020-03-09,17.04,17.37,15.165,15.48,214673.0
2020-03-06,18.58,19.1475,17.28,17.92,181019.0
2020-03-05,18.91,19.3125,18.55,18.94,328097.0
2020-03-04,19.23,19.42,18.845,19.22,72979.0
2020-03-03,19.57,19.87,18.54,18.89,158415.0
2020-03-02,19.34,19.72,18.75,19.58,149840.0
2020-02-28,18.87,20.42,18.32,19.31,167261.0
2020-02-27,18.69,20.26,18.475,19.32,139951.0
2020-02-26,19.5,19.8016,18.93,19.03,481105.0
2020-02-25,19.18,19.62,18.85,19.52,304544.0
2020-02-24,19.31,19.62,18.9,19.11,409442.0
2020-02-21,20.11,20.38,19.72,19.96,153149.0
2020-02-20,20.84,21.04,20.01,20.2,179580.0
2020-02-19,20.85,21.31,20.7376,20.88,194882.0
2020-02-18,20.37,20.73,20.14,20.59,124181.0
2020-02-14,20.58,20.83,20.29,20.61,85071.0
2020-02-13,20.82,20.89,20.37,20.59,79241.0
2020-02-12,21.26,21.45,20.93,21.0,60012.0
2020-02-11,21.21,21.5,20.3,21.08,132029.0
2020-02-10,21.0,21.31,20.6,21.16,81009.0
2020-02-07,20.93,21.24,20.23,21.13,129058.0
2020-02-06,21.82,21.82,20.9,21.0,95718.0
2020-02-05,21.83,22.05,21.61,21.81,88580.0
2020-02-04,21.27,21.8,20.84,21.68,127318.0
2020-02-03,21.11,21.42,20.57,21.03,165475.0
2020-01-31,22.39,22.49,21.01,21.11,334689.0
2020-01-30,22.25,22.865,21.9,22.53,385413.0
2020-01-29,22.5,22.96,22.37,22.5,120050.0
2020-01-28,22.73,23.1,22.36,22.67,248287.0
2020-01-27,21.39,22.99,21.06,22.48,267602.0
2020-01-24,21.62,21.94,21.3,21.87,296679.0
2020-01-23,21.9,22.39,21.0,21.52,1431559.0
2020-01-22,20.95,22.74,20.49,22.04,465983.0
2020-01-21,21.66,22.19,21.66,21.91,94356.0
2020-01-17,22.02,22.02,20.895,21.76,56528.0
2020-01-16,21.22,21.97,21.1543,21.84,94732.0
2020-01-15,21.39,21.71,21.0,21.25,167872.0
2020-01-14,22.03,22.15,21.23,21.46,157708.0
2020-01-13,21.56,22.17,21.44,21.99,214481.0
2020-01-10,21.75,22.05,21.23,21.48,311580.0
2020-01-09,22.0,22.45,21.79,21.94,316641.0
2020-01-08,21.74,22.1696,21.25,21.43,310765.0
2020-01-07,21.23,21.74,21.1,21.49,112243.0
2020-01-06,21.09,21.24,20.7,21.19,122175.0
2020-01-03,21.09,21.5877,20.79,21.2,89944.0
2020-01-02,21.63,21.75,20.68,21.42,122804.0
2019-12-31,21.24,21.67,21.23,21.5,71195.0
2019-12-30,21.25,21.44,20.95,21.21,264837.0
2019-12-27,21.87,21.92,21.05,21.13,86181.0
2019-12-26,21.1,21.84,20.89,21.81,91325.0
2019-12-24,20.98,21.36,20.77,21.13,52323.0
2019-12-23,20.17,21.09,20.17,20.84,146785.0
2019-12-20,20.31,20.49,19.86,20.25,231931.0
2019-12-19,19.75,20.35,19.64,20.24,118967.0
2019-12-18,20.19,20.2327,19.75,19.91,130757.0
2019-12-17,19.98,20.22,19.49,19.81,136081.0
2019-12-16,19.83,20.47,19.55,20.01,136674.0
2019-12-13,19.3,20.66,19.3,19.7,415381.0
2019-12-12,18.33,19.22,18.33,19.06,187916.0
2019-12-11,18.38,18.65,18.29,18.4,202621.0
2019-12-10,18.27,18.86,18.205,18.37,128892.0
2019-12-09,18.18,18.41,17.965,18.29,103979.0
2019-12-06,18.27,18.5317,18.13,18.33,134639.0
2019-12-05,17.66,18.21,17.44,18.2,159407.0
2019-12-04,17.49,17.85,17.25,17.78,112376.0
2019-12-03,17.48,17.72,17.1238,17.31,117088.0
2019-12-02,17.74,17.76,17.22,17.68,65045.0
2019-11-29,17.68,17.97,17.66,17.79,39560.0
2019-11-27,17.64,17.875,17.59,17.73,56488.0
2019-11-26,17.74,17.88,17.45,17.6,54510.0
2019-11-25,17.34,17.91,17.34,17.75,143159.0
2019-11-22,17.47,17.53,17.25,17.36,81250.0
2019-11-21,17.32,17.48,17.14,17.42,69608.0
2019-11-20,17.41,17.71,17.14,17.32,84960.0
2019-11-19,17.63,17.91,17.44,17.46,88824.0
2019-11-18,17.71,17.83,17.24,17.54,71499.0
2019-11-15,17.78,17.8,17.35,17.67,68731.0
2019-11-14,17.56,18.03,17.55,17.57,131678.0
2019-11-13,17.64,18.21,17.64,17.92,97812.0
2019-11-12,18.06,18.42,17.34,17.69,248841.0
2019-11-11,18.44,18.65,18.12,18.43,214870.0
2019-11-08,18.4,18.7,18.23,18.51,281369.0
2019-11-07,18.9,18.9414,17.94,18.44,164315.0
2019-11-06,19.47,19.66,18.6,18.65,100955.0
2019-11-05,18.72,19.51,18.42,19.45,183363.0
2019-11-04,17.0,19.05,17.0,18.7,303049.0
2019-11-01,16.51,16.78,16.51,16.58,60644.0
2019-10-31,16.51,16.67,16.32,16.65,47855.0
2019-10-30,16.49,16.55,16.11,16.52,39648.0
2019-10-29,16.77,16.9,16.35,16.5,82698.0
2019-10-28,16.58,16.85,16.49,16.79,52035.0
2019-10-25,16.27,16.72,16.0,16.49,91678.0
2019-10-24,16.3,16.35,15.98,16.3,62261.0
2019-10-23,16.2,16.35,16.13,16.29,50906.0
2019-10-22,16.04,16.39,15.93,16.26,161058.0
2019-10-21,15.78,16.345,15.565,16.03,82584.0
2019-10-18,15.63,15.77,15.45,15.73,57357.0
2019-10-17,15.565,16.27,15.565,15.78,70146.0
2019-10-16,16.12,16.12,15.32,15.75,110133.0
2019-10-15,16.25,16.7031,16.1,16.19,65877.0
2019-10-14,16.92,17.49,16.1,16.16,78725.0
2019-10-11,16.72,17.47,16.72,16.92,84928.0
2019-10-10,16.59,16.73,16.07,16.48,70569.0
2019-10-09,16.71,16.8,16.28,16.55,53928.0
