date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,1.92,2.05,1.86,1.975,1103670.0
2020-04-08,1.89,2.01,1.84,1.85,560846.0
2020-04-07,2.15,2.15,1.81,1.84,1078351.0
2020-04-06,1.94,2.19,1.92,2.03,588326.0
2020-04-03,2.0,2.0,1.76,1.83,443668.0
2020-04-02,1.93,2.26,1.86,1.96,1371302.0
2020-04-01,1.95,1.95,1.75,1.94,1244303.0
2020-03-31,2.06,2.11,1.92,1.99,665013.0
2020-03-30,2.16,2.19,1.9,2.04,1101115.0
2020-03-27,2.11,2.85,2.11,2.22,3832620.0
2020-03-26,2.32,2.35,2.03,2.31,1542616.0
2020-03-25,1.99,2.48,1.85,2.4,5280719.0
2020-03-24,1.18,2.24,1.15,1.69,3768755.0
2020-03-23,1.12,1.1778,1.0,1.005,1171551.0
2020-03-20,1.31,1.33,1.07,1.07,1670589.0
2020-03-19,1.2,1.35,1.17,1.25,1090311.0
2020-03-18,1.53,1.59,1.18,1.2,1144044.0
2020-03-17,1.52,1.66,1.3,1.64,1383514.0
2020-03-16,1.85,1.91,1.47,1.49,1055226.0
2020-03-13,2.05,2.1,1.67,1.75,2210729.0
2020-03-12,2.41,2.465,1.68,1.87,2553865.0
2020-03-11,3.0,3.01,2.35,2.44,1514845.0
2020-03-10,3.28,3.4,3.0,3.04,670409.0
2020-03-09,3.23,3.5,3.08,3.12,838202.0
2020-03-06,3.8,3.91,3.57,3.69,704184.0
2020-03-05,4.21,4.266,3.88,3.92,805363.0
2020-03-04,3.99,4.3,3.9,4.22,1147873.0
2020-03-03,4.04,4.175,3.835,3.86,1254048.0
2020-03-02,4.25,4.33,3.84,3.99,851505.0
2020-02-28,4.21,4.47,3.93,4.19,1204155.0
2020-02-27,4.55,4.625,4.33,4.37,1134146.0
2020-02-26,5.08,5.235,4.6,4.68,690331.0
2020-02-25,5.4,5.486,4.99,5.03,354604.0
2020-02-24,5.6,5.694,5.32,5.36,408930.0
