date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,32.0,34.66,31.08,31.08,10407.0
2020-03-30,28.15,32.23,28.15,30.74,33908.0
2020-03-27,30.0955,32.35,30.0955,32.2077,2389.0
2020-03-26,28.5899,33.0,28.5899,32.12,15358.0
2020-03-25,28.91,31.0,28.05,28.885,34841.0
2020-03-24,24.64,30.0,24.64,29.5,17794.0
2020-03-23,24.16,25.8391,22.56,23.2457,13063.0
2020-03-20,29.46,31.98,24.55,26.8,22071.0
2020-03-19,25.0,30.5,25.0,29.53,34772.0
2020-03-18,36.5,36.5,18.91,26.91,44162.0
2020-03-17,35.785,37.0,35.06,36.1302,4823.0
2020-03-16,38.01,38.12,32.6615,34.7265,61432.0
2020-03-13,41.0,41.0,38.5,40.0,10619.0
2020-03-12,43.0,43.0,37.94,40.0,22049.0
2020-03-11,50.4034,50.4034,45.5,46.5,10088.0
2020-03-10,50.45,50.55,50.3,50.51,1455.0
2020-03-09,52.78,52.78,50.1,50.2,11566.0
2020-03-06,54.03,55.44,52.56,54.9,7751.0
2020-03-05,56.56,56.86,55.75,55.92,6439.0
2020-03-04,57.95,57.9575,57.312,57.71,9323.0
2020-03-03,58.0,59.219,56.25,57.0,8088.0
2020-03-02,57.8,59.49,56.92,57.9999,5289.0
2020-02-28,57.85,59.0,55.77,57.0,51698.0
2020-02-27,58.9,59.55,57.21,57.98,17665.0
2020-02-26,58.02,58.5,57.25,58.33,7319.0
2020-02-25,61.0,61.02,58.02,58.14,10907.0
2020-02-24,62.75,62.75,61.38,61.5,4862.0
2020-02-21,62.7695,63.02,62.7695,63.02,1103.0
2020-02-20,63.1265,63.5,63.0,63.3,21431.0
2020-02-19,63.08,63.3,62.99,62.99,1300.0
2020-02-18,63.2478,63.2478,63.2478,63.2478,181.0
2020-02-14,62.95,63.2999,62.95,63.2478,1253.0
2020-02-13,63.3,63.3,62.93,62.93,2786.0
2020-02-12,61.95,64.33,61.95,63.15,164781.0
2020-02-11,61.45,62.67,60.44,61.9384,26776.0
2020-02-10,61.0,61.0,60.67,61.0,362.0
2020-02-07,61.74,61.74,60.93,61.0,1577.0
2020-02-06,61.25,62.0,60.5,61.3,30455.0
2020-02-05,59.6,60.4,58.7901,60.2,572489.0
2020-02-04,59.77,59.96,59.648,59.6536,1859.0
2020-02-03,59.0,59.0,59.0,59.0,786.0
2020-01-31,58.7,59.39,58.7,58.88,28857.0
2020-01-30,58.57,59.09,58.35,59.09,12853.0
2020-01-29,58.65,59.38,58.51,58.8201,10626.0
2020-01-28,58.87,59.11,58.574,58.77,2859.0
2020-01-27,58.84,59.0,58.56,58.855,30843.0
2020-01-24,58.5622,60.0,58.28,59.22,232536.0
2020-01-23,57.2,59.0,57.2,59.0,133331.0
2020-01-22,56.2397,56.2397,56.2397,56.2397,1580.0
2020-01-21,56.9029,56.9029,56.9029,56.9029,71.0
2020-01-17,56.25,56.9029,56.25,56.9029,770.0
2020-01-16,56.6377,57.0,56.35,56.35,959.0
2020-01-15,56.95,56.95,56.95,56.95,217.0
2020-01-14,57.1,57.1,56.07,56.95,3700.0
2020-01-13,56.5,57.0,56.5,57.0,1043.0
2020-01-10,56.0,56.3,55.99,56.29,27337.0
2020-01-09,56.29,56.29,55.91,55.91,2863.0
2020-01-08,56.46,56.46,55.8728,56.14,7951.0
2020-01-07,56.28,56.34,56.11,56.34,1576.0
2020-01-06,54.83,56.38,54.83,56.2498,5736.0
2020-01-03,55.0,55.64,54.77,55.23,7348.0
2020-01-02,53.5,55.48,53.5,55.46,2950.0
2019-12-31,52.73,53.98,52.02,53.75,19133.0
2019-12-30,55.0,55.6176,52.67,53.6215,10725.0
2019-12-27,55.0,55.01,54.73,54.73,1432.0
2019-12-26,55.0,55.0,54.75,54.75,1528.0
2019-12-24,54.99,55.0,54.2001,54.2001,4412.0
2019-12-23,55.11,55.11,54.6,54.7,1630.0
2019-12-20,55.09,55.53,54.8501,55.235,5901.0
2019-12-19,55.0,56.0,54.81,54.81,3358.0
2019-12-18,55.08,56.2,55.08,56.01,4594.0
2019-12-17,54.54,56.86,54.54,55.5,14363.0
2019-12-16,53.5,54.5994,53.5,54.53,22182.0
2019-12-13,53.0,53.68,52.6319,53.68,24871.0
2019-12-12,52.7,53.0398,52.6174,53.0,4430.0
2019-12-11,52.25,52.7,52.2,52.7,5966.0
2019-12-10,52.5,52.5,52.5,52.5,783.0
2019-12-09,52.0,52.88,51.9505,51.955,29379.0
2019-12-06,51.41,52.0,51.41,52.0,6885.0
2019-12-05,52.4,52.4,51.51,51.51,6470.0
2019-12-04,52.62,53.0001,52.15,53.0001,10747.0
2019-12-03,52.02,52.69,52.02,52.58,4218.0
2019-12-02,52.5,52.5712,52.1,52.1,6496.0
2019-11-29,52.6,53.27,52.21,52.21,9420.0
2019-11-27,53.03,53.03,52.4575,52.9231,5910.0
2019-11-26,52.26,53.19,52.26,53.19,3242.0
2019-11-25,52.5,53.11,52.5,52.94,11416.0
2019-11-22,51.4568,53.0145,51.4568,53.0,21846.0
2019-11-21,50.76,51.9897,50.75,51.3999,17231.0
2019-11-20,50.6836,51.14,50.35,51.12,9895.0
2019-11-19,49.7566,51.194,48.7,51.194,47758.0
2019-11-18,49.75,51.26,49.5,49.5,21422.0
2019-11-15,50.75,50.75,49.74,50.0,7764.0
2019-11-14,51.8,51.8,50.0,50.2,38204.0
2019-11-13,51.52,52.0,51.0,51.5,17024.0
2019-11-12,51.38,52.0157,51.38,51.52,10160.0
2019-11-11,52.13,52.16,51.2445,51.44,47466.0
2019-11-08,54.0,54.0,52.9533,53.0,44180.0
2019-11-07,54.25,54.25,53.8,53.98,13888.0
2019-11-06,55.3864,55.3864,54.3,54.58,12640.0
2019-11-05,54.81,54.89,54.25,54.69,19933.0
2019-11-04,55.0,55.05,54.6045,55.05,11350.0
2019-11-01,55.2102,55.2102,54.76,54.8,7734.0
2019-10-31,55.0,55.31,54.84,54.84,33817.0
2019-10-30,55.01,55.01,54.9973,55.0,1765.0
2019-10-29,55.0,55.09,55.0,55.0,3304.0
2019-10-28,55.5,55.5,55.0,55.2,3403.0
2019-10-25,55.37,55.5157,55.3,55.47,3966.0
2019-10-24,56.0,56.0,55.09,55.49,8953.0
2019-10-23,55.95,56.25,55.94,56.09,5246.0
2019-10-22,55.75,56.48,55.75,56.295,6714.0
2019-10-21,55.48,56.28,55.48,56.0,4322.0
2019-10-18,55.38,55.9,55.155,55.78,11023.0
2019-10-17,55.3636,56.08,55.3636,56.08,1883.0
2019-10-16,55.56,55.56,55.25,55.4973,5316.0
2019-10-15,55.505,55.695,55.3365,55.45,9627.0
2019-10-14,55.5,55.7,55.3,55.65,3250.0
2019-10-11,55.24,55.87,55.0061,55.87,9604.0
2019-10-10,54.23,55.69,54.23,55.51,10886.0
2019-10-09,55.8002,55.9,55.8,55.9,2346.0
2019-10-08,56.34,56.55,55.88,55.92,7171.0
2019-10-07,56.37,56.37,55.97,56.0,4765.0
2019-10-04,55.96,56.76,55.94,56.02,3369.0
2019-10-03,56.18,56.2,55.8912,56.2,6768.0
2019-10-02,56.15,56.2,56.0,56.2,10770.0
2019-10-01,56.29,56.3,56.21,56.21,2821.0
2019-09-30,56.6,56.85,56.28,56.28,40573.0
2019-09-27,56.89,56.9,56.5088,56.625,10176.0
2019-09-26,56.41,56.98,56.41,56.48,3438.0
2019-09-25,56.78,56.8028,56.5,56.73,5389.0
2019-09-24,56.833,56.95,56.75,56.94,3732.0
2019-09-23,56.97,56.98,56.7,56.98,2711.0
2019-09-20,56.7187,56.98,56.65,56.94,6665.0
