date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,3.03,3.09,2.92,2.95,114086.0
2020-04-23,2.83,3.0899,2.753,3.0,179104.0
2020-04-22,2.8,2.95,2.71,2.76,116112.0
2020-04-21,2.75,2.92,2.7,2.73,62833.0
2020-04-20,2.99,3.09,2.6733,2.725,199792.0
2020-04-17,3.0,3.05,2.92,2.98,85585.0
2020-04-16,3.15,3.17,2.91,3.09,78495.0
2020-04-15,3.1,3.15,2.9439,3.09,56682.0
2020-04-14,3.0,3.2,3.0,3.1,63944.0
2020-04-13,3.14,3.1973,2.91,3.11,72161.0
2020-04-09,2.83,3.09,2.75,3.09,112336.0
2020-04-08,2.49,2.845,2.38,2.82,184448.0
2020-04-07,2.4,2.59,2.4,2.47,140870.0
2020-04-06,2.2,2.49,2.15,2.19,134379.0
2020-04-03,2.38,2.55,2.2,2.24,69287.0
2020-04-02,2.51,2.67,2.39,2.39,54371.0
2020-04-01,2.4,2.48,2.23,2.47,65368.0
2020-03-31,2.24,2.38,2.15,2.38,52839.0
2020-03-30,2.23,2.37,2.11,2.23,53284.0
2020-03-27,2.14,2.3599,2.075,2.28,55984.0
2020-03-26,2.06,2.23,2.01,2.21,78559.0
2020-03-25,2.09,2.2,1.83,1.95,152033.0
2020-03-24,1.85,2.28,1.76,2.03,81192.0
2020-03-23,1.8,1.83,1.6,1.83,64265.0
2020-03-20,1.7,1.88,1.6901,1.84,69837.0
2020-03-19,1.55,1.78,1.52,1.73,95614.0
2020-03-18,1.66,1.75,1.3,1.64,84075.0
2020-03-17,1.78,2.0184,1.67,1.7,129322.0
2020-03-16,1.9,1.9,1.41,1.77,137812.0
2020-03-13,2.13,2.4525,2.04,2.15,120165.0
2020-03-12,2.36,2.37,2.03,2.17,137534.0
2020-03-11,2.71,2.71,2.36,2.5,257518.0
2020-03-10,2.98,2.98,2.61,2.74,112539.0
2020-03-09,2.94,3.13,2.64,2.87,114734.0
2020-03-06,3.16,3.32,3.07,3.21,117614.0
2020-03-05,3.19,3.4,3.1,3.21,143233.0
2020-03-04,2.86,3.33,2.8,3.28,233983.0
2020-03-03,2.78,2.87,2.66,2.84,65405.0
2020-03-02,2.75,2.81,2.66,2.77,80386.0
2020-02-28,2.6,2.78,2.46,2.78,139651.0
2020-02-27,2.85,2.85,2.5829,2.66,115883.0
2020-02-26,2.98,3.075,2.84,2.9,99605.0
2020-02-25,3.06,3.0875,2.86,2.89,110940.0
2020-02-24,3.01,3.11,2.83,3.06,121678.0
2020-02-21,3.29,3.3487,3.131,3.19,114079.0
2020-02-20,3.4,3.4,3.25,3.32,68742.0
2020-02-19,3.25,3.4,3.214,3.37,129577.0
2020-02-18,2.8,3.38,2.8,3.23,161361.0
2020-02-14,2.95,2.98,2.83,2.8946,60568.0
2020-02-13,3.01,3.0545,2.8,2.97,131726.0
