date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,51.12,51.2499,51.12,51.18,356637.0
2020-04-23,51.19,51.2,51.1201,51.15,271255.0
2020-04-22,51.05,51.18,51.05,51.09,429122.0
2020-04-21,51.05,51.12,51.01,51.02,174538.0
2020-04-20,51.16,51.26,51.13,51.15,381853.0
2020-04-17,51.47,51.47,51.31,51.37,430560.0
2020-04-16,51.4,51.41,51.28,51.3,299800.0
2020-04-15,51.35,51.39,51.2,51.32,244904.0
2020-04-14,51.31,51.4899,51.13,51.3578,517450.0
2020-04-13,51.14,51.31,51.085,51.24,2026168.0
2020-04-09,50.88,51.455,50.88,51.23,480124.0
2020-04-08,50.29,50.95,50.29,50.74,392848.0
2020-04-07,50.33,50.38,50.13,50.305,759782.0
2020-04-06,50.1,50.13,50.0,50.11,242453.0
2020-04-03,49.81,49.95,49.78,49.8,441769.0
2020-04-02,49.79,50.2458,49.79,49.94,473599.0
2020-04-01,49.81,50.0,49.79,49.84,285986.0
2020-03-31,50.02,50.35,49.9944,50.14,300958.0
2020-03-30,49.98,50.09,49.82,50.04,407329.0
2020-03-27,49.5,49.91,49.41,49.75,255431.0
2020-03-26,49.38,49.73,48.89,49.5638,1099649.0
2020-03-25,48.66,49.65,48.66,49.58,458391.0
2020-03-24,48.0,48.8602,48.0,48.7157,282275.0
2020-03-23,48.09,48.5666,47.43,47.72,471831.0
2020-03-20,45.76,46.77,45.76,46.38,610430.0
2020-03-19,46.51,47.1139,43.34,45.15,713680.0
2020-03-18,47.23,48.13,46.69,46.96,688730.0
2020-03-17,48.09,49.05,47.9,48.01,608902.0
2020-03-16,47.42,48.947,47.42,48.29,525651.0
2020-03-13,49.7,49.925,49.0901,49.63,683925.0
2020-03-12,50.15,50.4039,48.01,49.64,840501.0
2020-03-11,50.95,51.0013,50.55,50.6,1765677.0
2020-03-10,51.25,51.3,51.02,51.1,850428.0
2020-03-09,51.67,51.84,51.25,51.29,578954.0
2020-03-06,51.77,51.78,51.64,51.7,405555.0
2020-03-05,51.79,51.79,51.69,51.69,214355.0
2020-03-04,51.71,51.77,51.69,51.71,230506.0
2020-03-03,51.49,51.71,51.46,51.6362,471375.0
2020-03-02,51.51,51.57,51.45,51.47,284890.0
2020-02-28,51.46,51.6,51.43,51.5775,718163.0
2020-02-27,51.5,51.53,51.42,51.45,364585.0
2020-02-26,51.45,51.5,51.4399,51.4626,146314.0
2020-02-25,51.45,51.51,51.431,51.4652,197417.0
2020-02-24,51.45,51.47,51.43,51.45,306830.0
2020-02-21,51.36,51.43,51.36,51.41,171941.0
2020-02-20,51.34,51.37,51.3233,51.3554,125834.0
2020-02-19,51.32,51.34,51.31,51.3169,121314.0
2020-02-18,51.31,51.3485,51.3,51.33,132936.0
2020-02-14,51.3,51.33,51.3,51.305,129308.0
2020-02-13,51.28,51.3,51.27,51.28,144669.0
2020-02-12,51.28,51.29,51.25,51.28,183629.0
2020-02-11,51.31,51.31,51.29,51.305,265064.0
2020-02-10,51.32,51.33,51.29,51.32,166703.0
2020-02-07,51.25,51.29,51.25,51.285,115039.0
2020-02-06,51.22,51.25,51.21,51.23,162071.0
2020-02-05,51.23,51.2433,51.21,51.22,203686.0
2020-02-04,51.26,51.26,51.22,51.255,299343.0
2020-02-03,51.29,51.315,51.265,51.295,167469.0
2020-01-31,51.37,51.45,51.37,51.45,154990.0
2020-01-30,51.35,51.39,51.34,51.34,191448.0
2020-01-29,51.29,51.35,51.29,51.34,156206.0
2020-01-28,51.3,51.305,51.27,51.27,143656.0
2020-01-27,51.29,51.307,51.26,51.29,346831.0
2020-01-24,51.25,51.28,51.2493,51.26,243382.0
2020-01-23,51.24,51.26,51.2202,51.24,645167.0
2020-01-22,51.21,51.23,51.2,51.22,303943.0
2020-01-21,51.18,51.21,51.17,51.195,293611.0
2020-01-17,51.14,51.17,51.14,51.165,170841.0
2020-01-16,51.14,51.14,51.12,51.135,226684.0
2020-01-15,51.15,51.15,51.12,51.145,218392.0
2020-01-14,51.12,51.14,51.1,51.105,473493.0
2020-01-13,51.13,51.13,51.11,51.125,618649.0
2020-01-10,51.11,51.15,51.1,51.15,616570.0
2020-01-09,51.07,51.1,51.05,51.0901,441548.0
2020-01-08,51.09,51.11,51.05,51.06,251914.0
2020-01-07,51.09,51.1,51.09,51.1,99388.0
