date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,9.99,9.99,9.95,9.95,26300.0
2020-04-08,9.99,10.14,9.85,10.14,3562.0
2020-04-07,10.05,10.05,10.05,10.05,12000.0
2020-04-06,9.85,9.85,9.85,9.85,2440.0
2020-04-03,9.85,9.85,9.85,9.85,1000.0
2020-04-02,9.85,10.03,9.85,10.03,972.0
2020-04-01,9.95,9.95,9.95,9.95,21.0
2020-03-31,9.98,10.15,9.95,9.95,16224.0
2020-03-30,9.98,9.98,9.98,9.98,0.0
2020-03-27,9.55,9.98,9.55,9.98,21786.0
2020-03-26,9.83,10.69,9.71,10.69,24772.0
2020-03-25,9.8,10.25,9.5481,10.19,11631.0
2020-03-24,9.97,10.02,9.97,10.0,7044.0
2020-03-23,9.8244,9.8244,9.6,9.6,1206.0
2020-03-20,9.5,10.0,9.5,9.95,15733.0
2020-03-19,9.6,9.8,9.4296,9.8,13673.0
2020-03-18,9.9,9.9,9.4,9.5,41711.0
2020-03-17,10.01,10.01,9.9984,9.9984,2000.0
2020-03-16,10.2,10.2,9.85,9.85,10621.0
2020-03-13,10.585,10.585,10.585,10.585,0.0
2020-03-12,10.25,10.585,10.21,10.585,1800.0
2020-03-11,10.5023,10.5023,10.5023,10.5023,59.0
2020-03-10,10.502,10.502,10.502,10.502,0.0
2020-03-09,10.45,10.54,10.45,10.5023,1999.0
2020-03-06,10.4501,10.4577,10.45,10.4577,7382.0
2020-03-05,10.5,10.5,10.5,10.5,502940.0
2020-03-04,10.5025,10.5625,10.5,10.5,4820.0
2020-03-03,10.45,10.5653,10.45,10.5653,9853.0
2020-03-02,10.576,10.576,10.576,10.576,54.0
2020-02-28,10.75,10.75,10.576,10.576,12771.0
2020-02-27,10.56,10.56,10.56,10.56,200.0
2020-02-26,10.56,10.56,10.56,10.56,803.0
2020-02-25,10.62,10.75,10.56,10.56,15963.0
2020-02-24,10.6,10.6,10.6,10.6,0.0
2020-02-21,10.6,10.6,10.6,10.6,0.0
2020-02-20,10.6,10.6,10.6,10.6,0.0
2020-02-19,10.6,10.6,10.6,10.6,0.0
2020-02-18,10.6,10.6,10.6,10.6,5059.0
2020-02-14,10.65,10.65,10.65,10.65,4720.0
2020-02-13,10.65,10.65,10.65,10.65,0.0
2020-02-12,10.57,10.65,10.57,10.65,50100.0
2020-02-11,10.7,10.7,10.7,10.7,424.0
2020-02-10,10.89,10.89,10.89,10.89,0.0
2020-02-07,10.89,10.89,10.89,10.89,0.0
2020-02-06,10.89,10.89,10.89,10.89,550.0
2020-02-04,10.79,10.79,10.5,10.65,29838.0
2020-02-03,10.79,10.79,10.79,10.79,400.0
2020-01-31,10.85,10.85,10.37,10.85,1659.0
2020-01-30,10.64,11.0,10.64,11.0,584.0
2020-01-29,10.6,10.6,10.5,10.6,53325.0
2020-01-28,10.6,10.6,10.6,10.6,0.0
2020-01-27,10.59,10.6,10.58,10.6,1662.0
2020-01-24,10.55,10.55,10.55,10.55,85.0
2020-01-23,10.55,10.55,10.55,10.55,3843.0
2020-01-22,10.5,10.55,10.5,10.55,8413.0
2020-01-21,10.4,10.55,10.4,10.55,9000.0
2020-01-17,10.39,10.39,10.39,10.39,0.0
2020-01-16,10.39,10.39,10.39,10.39,0.0
2020-01-15,10.39,10.39,10.39,10.39,10.0
2020-01-14,10.39,10.39,10.39,10.39,0.0
2020-01-13,10.39,10.39,10.39,10.39,114.0
2020-01-10,10.3831,10.3831,10.3831,10.3831,96102.0
2020-01-09,10.3831,10.3831,10.3831,10.3831,1250.0
2020-01-08,10.35,10.37,10.35,10.3679,2469.0
2020-01-07,10.25,10.25,10.25,10.25,2.0
2020-01-06,10.42,10.43,10.22,10.25,6357.0
2020-01-03,10.43,10.43,10.43,10.43,61432.0
2020-01-02,10.41,10.41,10.41,10.41,4.0
2019-12-31,10.41,10.41,10.41,10.41,0.0
2019-12-30,10.41,10.41,10.41,10.41,0.0
2019-12-27,10.41,10.41,10.41,10.41,114.0
2019-12-26,10.41,10.41,10.41,10.41,0.0
2019-12-24,10.41,10.41,10.41,10.41,210.0
2019-12-23,10.4,10.4,10.4,10.4,400.0
2019-12-20,10.4299,10.4299,10.4299,10.4299,500.0
2019-12-19,10.4,10.43,10.4,10.43,1579.0
2019-12-18,10.35,10.35,10.35,10.35,1000.0
2019-12-17,10.2027,10.4,10.2027,10.4,2385.0
2019-12-16,10.23,10.23,10.23,10.23,0.0
2019-12-13,10.26,10.3,10.22,10.23,1861.0
2019-12-12,10.36,10.36,10.36,10.36,400.0
2019-12-11,10.3,10.4,10.3,10.4,4884.0
2019-12-10,10.2584,10.2584,10.2584,10.2584,233.0
2019-12-09,10.22,10.22,10.22,10.22,0.0
2019-12-06,10.15,10.22,10.15,10.22,135037.0
2019-12-05,10.15,10.15,10.15,10.15,1053.0
2019-12-04,10.16,10.16,10.15,10.15,9864.0
2019-12-03,10.22,10.22,10.22,10.22,53.0
2019-12-02,10.15,10.22,10.15,10.22,1531.0
2019-11-29,10.225,10.225,10.225,10.225,2800.0
2019-11-27,10.2,10.2,10.15,10.15,28809.0
2019-11-26,10.28,10.3,10.15,10.15,1900.0
2019-11-25,10.15,10.15,10.15,10.15,1000.0
2019-11-22,10.17,10.17,10.15,10.15,1552.0
