date,1. open,2. high,3. low,4. close,5. volume
2020-03-24,0.52,0.94,0.5,0.94,13000.0
2020-03-20,0.98,0.98,0.98,0.98,600.0
2020-03-17,0.76,0.76,0.76,0.76,600.0
2020-03-10,0.98,0.98,0.98,0.98,2000.0
2020-02-24,1.0,1.0,1.0,1.0,2000.0
2020-02-12,1.0,1.0,1.0,1.0,28400.0
2020-02-10,1.0,1.0,1.0,1.0,20000.0
2020-02-06,0.95,0.95,0.95,0.95,25000.0
2020-01-22,0.9,0.9,0.9,0.9,196600.0
2020-01-16,1.0,1.0,0.95,0.95,30000.0
2020-01-15,0.85,0.95,0.85,0.95,30300.0
2020-01-10,0.85,0.9,0.76,0.77,114800.0
2020-01-08,0.9,0.9,0.9,0.9,25000.0
2020-01-06,0.9,0.9,0.9,0.9,25900.0
2019-12-31,0.8986,0.8986,0.8986,0.8986,500.0
2019-12-20,0.85,0.85,0.85,0.85,200.0
2019-12-19,0.84,0.84,0.84,0.84,150000.0
2019-12-18,0.9,0.9,0.9,0.9,500.0
2019-12-17,0.85,0.85,0.85,0.85,75000.0
2019-12-12,0.75,0.9,0.75,0.77,49600.0
2019-12-06,0.75,0.75,0.75,0.75,67428.0
2019-11-26,0.77,0.9,0.75,0.9,4393.0
2019-10-22,0.9,0.9,0.9,0.9,10200.0
2019-10-16,0.75,0.9,0.75,0.9,72731.0
2019-10-10,0.85,0.85,0.85,0.85,100.0
2019-10-07,0.85,0.85,0.85,0.85,355.0
2019-10-02,0.75,0.85,0.75,0.85,645.0
2019-10-01,0.75,0.85,0.75,0.85,195645.0
2019-09-27,0.75,0.85,0.75,0.85,500100.0
2019-09-18,0.75,0.85,0.75,0.85,5700.0
2019-09-06,0.75,0.85,0.75,0.85,59500.0
2019-08-27,0.7116,0.85,0.7101,0.85,24700.0
2019-08-22,0.81,0.81,0.81,0.81,5100.0
2019-08-15,0.9,0.9,0.9,0.9,100.0
2019-08-06,0.82,0.82,0.82,0.82,1500.0
2019-08-02,0.86,0.86,0.86,0.86,5.0
2019-07-31,0.86,0.86,0.86,0.86,1605.0
2019-07-30,0.75,0.75,0.75,0.75,300000.0
2019-07-29,0.75,0.81,0.75,0.75,225000.0
