date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.43,1.46,1.41,1.41,309539.0
2020-04-23,1.47,1.48,1.43,1.43,344578.0
2020-04-22,1.44,1.47,1.39,1.4476,614397.0
2020-04-21,1.5,1.5021,1.33,1.4,874075.0
2020-04-20,1.45,1.63,1.44,1.48,2238417.0
2020-04-17,1.51,1.53,1.42,1.46,1417669.0
2020-04-16,2.04,2.04,1.51,1.55,14952255.0
2020-04-15,1.52,1.57,1.36,1.4,578800.0
2020-04-14,1.43,1.56,1.4101,1.52,507889.0
2020-04-13,1.38,1.46,1.37,1.43,306446.0
2020-04-09,1.35,1.45,1.32,1.45,260292.0
2020-04-08,1.38,1.42,1.33,1.36,196328.0
2020-04-07,1.4,1.43,1.35,1.36,243449.0
2020-04-06,1.48,1.55,1.33,1.44,508608.0
2020-04-03,1.49,1.75,1.45,1.48,1397015.0
2020-04-02,1.45,1.58,1.33,1.47,272932.0
2020-04-01,1.65,1.65,1.45,1.455,439894.0
2020-03-31,1.48,1.85,1.39,1.68,1885432.0
2020-03-30,1.5,1.58,1.43,1.5,290139.0
2020-03-27,1.6,1.66,1.4,1.58,392432.0
2020-03-26,1.76,1.84,1.605,1.61,375082.0
2020-03-25,1.77,1.98,1.66,1.72,639066.0
2020-03-24,1.4485,1.75,1.43,1.73,888626.0
2020-03-23,2.02,2.25,1.33,1.47,3290609.0
2020-03-20,1.96,1.96,1.6,1.65,410144.0
2020-03-19,1.9,2.07,1.65,1.88,1493761.0
2020-03-18,1.68,1.887,1.57,1.58,206363.0
2020-03-17,1.77,1.9091,1.65,1.7,121577.0
2020-03-16,1.5,1.97,1.5,1.77,147331.0
2020-03-13,2.09,2.09,1.7,1.97,267938.0
2020-03-12,2.13,2.3,1.7,1.95,768894.0
2020-03-11,2.5,2.735,2.44,2.54,337340.0
2020-03-10,2.81,2.81,2.33,2.48,423965.0
2020-03-09,2.83,2.9,2.6,2.67,450965.0
2020-03-06,3.02,3.0699,2.9047,2.99,249632.0
2020-03-05,3.14,3.17,3.01,3.05,190176.0
2020-03-04,3.03,3.18,3.0052,3.17,217945.0
2020-03-03,3.14,3.1999,2.95,2.97,178829.0
2020-03-02,3.1,3.15,2.96,3.1,316196.0
2020-02-28,2.96,3.06,2.76,3.02,524290.0
2020-02-27,3.0,3.13,2.65,2.99,372597.0
