date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,18.37,18.55,18.1255,18.2432,53993.0
2020-03-30,17.99,18.48,17.84,18.35,69370.0
2020-03-27,18.04,18.4509,17.8448,17.99,60908.0
2020-03-26,17.93,18.7007,17.875,18.7007,90057.0
2020-03-25,17.4,18.2999,17.18,17.77,70930.0
2020-03-24,16.58,17.3713,16.58,17.245,43983.0
2020-03-23,15.83,16.0999,15.34,15.8356,75432.0
2020-03-20,16.33,16.68,15.69,15.76,55355.0
2020-03-19,15.35,16.4301,14.95,16.0652,57718.0
2020-03-18,15.53,16.5,14.8097,15.14,85566.0
2020-03-17,16.24,16.765,15.8,16.648,70244.0
2020-03-16,17.0,17.135,16.2358,16.2358,52498.0
2020-03-13,18.5,18.5994,17.663,18.33,48571.0
2020-03-12,18.01,18.43,17.37,17.5,81508.0
2020-03-11,20.0,20.13,19.2128,19.44,63365.0
2020-03-10,20.23,20.71,19.78,20.71,87238.0
2020-03-09,20.0,20.01,19.2,19.2,245020.0
2020-03-06,20.75,21.2414,20.66,20.95,56801.0
2020-03-05,21.88,22.18,21.31,21.5015,60990.0
2020-03-04,22.17,22.44,21.97,22.39,47131.0
2020-03-03,22.43,22.99,21.735,21.9,121321.0
2020-03-02,21.84,22.39,21.5693,22.39,64811.0
2020-02-28,21.28,21.7392,21.0301,21.69,112196.0
2020-02-27,22.05,22.5061,21.78,21.81,128400.0
2020-02-26,22.91,23.26,22.55,22.55,81343.0
2020-02-25,23.53,23.61,22.61,22.75,137790.0
2020-02-24,23.22,23.4854,23.0,23.33,118151.0
2020-02-21,24.52,24.52,24.03,24.13,52084.0
2020-02-20,24.65,24.75,24.26,24.6,62218.0
2020-02-19,24.39,24.6699,24.39,24.595,129594.0
2020-02-18,24.32,24.35,24.0986,24.29,139186.0
2020-02-14,24.53,24.67,24.42,24.49,44544.0
2020-02-13,24.34,24.49,24.2312,24.41,28113.0
2020-02-12,24.27,24.42,24.15,24.4,84493.0
2020-02-11,23.95,24.22,23.9294,24.12,90435.0
2020-02-10,23.54,23.85,23.535,23.85,51332.0
2020-02-07,23.78,23.78,23.49,23.55,47902.0
2020-02-06,23.96,24.0,23.76,23.78,50785.0
2020-02-05,23.89,23.96,23.729,23.91,80702.0
2020-02-04,23.38,23.61,23.38,23.5614,88574.0
