date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,6.86,6.86,5.9249,6.1,16324.0
2020-03-30,6.21,6.8254,5.4674,6.45,7539.0
2020-03-27,7.33,7.33,5.8366,6.87,8721.0
2020-03-26,7.05,8.22,6.5,6.99,28173.0
2020-03-25,5.5,7.0429,4.81,6.71,18255.0
2020-03-24,5.85,5.85,4.45,5.02,22308.0
2020-03-23,4.3622,5.052,4.3622,4.42,6524.0
2020-03-20,3.75,6.19,3.6501,4.55,20516.0
2020-03-19,2.83,3.83,2.76,3.2563,59064.0
2020-03-18,4.45,4.56,2.5,2.9886,27909.0
2020-03-17,7.55,8.8,6.9474,6.985,9515.0
2020-03-16,7.0,7.675,6.25,7.076,19179.0
2020-03-13,8.3,9.25,7.48,8.5,34122.0
2020-03-12,10.26,10.26,5.96,5.96,36924.0
2020-03-11,17.07,17.1,9.7,10.75,27281.0
2020-03-10,19.15,21.047,16.61,17.05,12134.0
2020-03-09,21.3,21.6969,18.75,18.75,6260.0
2020-03-06,22.72,23.1,21.2,22.48,17196.0
2020-03-05,23.69,23.69,22.98,22.98,7691.0
2020-03-04,24.11,24.11,23.62,23.6231,6886.0
2020-03-03,24.7,24.7,23.43,23.77,7234.0
2020-03-02,22.5,24.6003,22.5,24.6003,3189.0
2020-02-28,24.51,24.85,23.05,23.625,8967.0
2020-02-27,25.15,25.165,24.05,24.3,8199.0
2020-02-26,25.32,25.4523,25.075,25.35,3469.0
2020-02-25,25.97,25.98,25.38,25.4797,1534.0
2020-02-24,26.4,26.41,26.0,26.1037,1079.0
2020-02-21,26.3,26.425,26.3,26.425,490.0
2020-02-20,26.1,26.4,26.1,26.4,616.0
2020-02-19,26.25,26.27,26.11,26.11,1520.0
2020-02-18,26.35,26.37,26.27,26.27,1000.0
2020-02-14,26.7,26.7,26.7,26.7,208.0
2020-02-13,26.26,26.26,26.26,26.26,99.0
2020-02-12,26.52,26.7293,26.26,26.26,1761.0
2020-02-11,26.5,26.5,26.5,26.5,100.0
2020-02-10,26.33,26.83,26.23,26.5,4758.0
2020-02-07,26.33,26.6774,26.28,26.6774,4649.0
2020-02-06,26.38,26.8,26.38,26.8,459.0
2020-02-05,26.45,26.866,26.275,26.866,3840.0
2020-02-04,26.47,26.5494,26.45,26.5294,1837.0
2020-02-03,26.9156,27.0675,26.6469,26.6469,676.0
2020-01-31,26.45,26.6524,26.45,26.5,12494.0
2020-01-30,26.3406,26.45,26.2,26.45,2508.0
2020-01-29,26.2288,26.2288,26.2288,26.2288,211.0
2020-01-28,26.3,26.3,26.3,26.3,21.0
2020-01-27,26.3,26.3425,26.3,26.3,821.0
2020-01-24,26.1,26.34,26.1,26.34,1969.0
2020-01-23,26.2,26.4399,26.1808,26.1808,1348.0
2020-01-22,26.3339,26.3339,26.19,26.19,833.0
2020-01-21,26.07,26.07,26.07,26.07,151.0
2020-01-17,26.4,26.4271,26.01,26.1961,5973.0
2020-01-16,26.3446,26.3446,26.3446,26.3446,275.0
2020-01-15,26.46,26.46,26.27,26.44,927.0
2020-01-14,26.15,26.15,26.15,26.15,476.0
2020-01-13,26.0261,26.1469,26.01,26.1469,342.0
2020-01-10,26.38,26.38,25.9,26.05,2543.0
2020-01-09,26.05,26.05,26.05,26.05,253.0
2020-01-08,26.0,26.3043,26.0,26.25,3723.0
2020-01-07,26.05,26.05,26.05,26.05,239.0
2020-01-06,26.05,26.05,26.05,26.05,102.0
2020-01-03,25.8477,26.3095,25.65,26.097,4074.0
2020-01-02,25.7501,25.76,25.75,25.752,1500.0
2019-12-31,25.8,25.8,25.7,25.7,4501.0
2019-12-30,25.8,25.8546,25.8,25.8546,300.0
2019-12-27,26.29,26.64,26.29,26.61,2596.0
2019-12-26,26.3,26.31,26.2873,26.295,1039.0
2019-12-24,26.25,26.42,26.144,26.2901,2064.0
2019-12-23,25.9017,25.9017,25.9017,25.9017,495.0
2019-12-20,26.18,26.214,26.1275,26.214,1300.0
2019-12-19,26.0604,26.225,26.0604,26.225,965.0
2019-12-18,25.9731,26.25,25.9731,26.25,3418.0
2019-12-17,25.9459,26.0257,25.7818,25.7818,1203.0
2019-12-16,26.08,26.08,26.08,26.08,0.0
2019-12-13,26.08,26.08,26.08,26.08,150.0
2019-12-12,26.02,26.05,25.9865,26.05,2880.0
2019-12-11,25.6,25.87,25.6,25.8699,1523.0
2019-12-10,25.573,25.573,25.4762,25.4762,2008.0
2019-12-09,25.813,25.813,25.813,25.813,0.0
2019-12-06,25.8586,25.8586,25.8134,25.8134,725.0
2019-12-05,25.649,25.649,25.649,25.649,422.0
2019-12-04,25.68,25.8,25.6175,25.8,2257.0
2019-12-03,25.351,25.77,25.351,25.753,900.0
2019-12-02,26.0473,26.0473,26.0473,26.0473,30.0
2019-11-29,26.047,26.047,26.047,26.047,0.0
2019-11-27,26.0473,26.0473,26.0473,26.0473,13.0
2019-11-26,26.0153,26.0473,26.0153,26.0473,400.0
2019-11-25,25.3,25.65,25.3,25.65,4305.0
2019-11-22,25.31,25.4881,25.2788,25.4881,5752.0
2019-11-21,25.31,25.3498,25.31,25.3498,1837.0
2019-11-20,25.4504,25.508,25.3,25.3,3320.0
2019-11-19,25.3255,25.35,25.3,25.3,2228.0
2019-11-18,25.38,25.4,25.38,25.4,1359.0
2019-11-15,25.38,25.38,25.33,25.33,350.0
2019-11-14,25.3401,25.35,25.21,25.326,5118.0
2019-11-13,25.3102,25.3713,25.3102,25.3713,1001.0
2019-11-12,25.36,25.39,25.26,25.3269,3426.0
2019-11-11,25.36,25.36,25.36,25.36,64.0
2019-11-08,25.36,25.36,25.36,25.36,244.0
2019-11-07,25.4,25.54,25.36,25.4703,2009.0
2019-11-06,25.611,25.611,25.4972,25.4972,813.0
2019-11-05,25.46,25.82,25.46,25.65,12022.0
2019-11-04,25.42,25.5292,25.42,25.42,3090.0
2019-11-01,25.42,25.455,25.4,25.4135,3275.0
2019-10-31,25.5348,25.58,25.46,25.556,4708.0
2019-10-30,25.38,25.46,25.38,25.45,1421.0
2019-10-29,25.47,25.85,25.35,25.4472,6880.0
2019-10-28,26.0274,26.0274,25.4,25.4,4004.0
2019-10-25,25.7336,25.7336,25.4953,25.4953,602.0
2019-10-24,25.45,25.55,25.42,25.5,7527.0
2019-10-23,25.45,25.4999,25.41,25.4545,2216.0
2019-10-22,25.5,25.5,25.41,25.41,3025.0
2019-10-21,25.46,25.5518,25.46,25.5518,587.0
2019-10-18,25.55,25.6174,25.46,25.5873,3501.0
2019-10-17,25.55,25.7166,25.55,25.6,7947.0
2019-10-16,25.56,25.9,25.55,25.76,1962.0
2019-10-15,25.956,25.956,25.55,25.55,2709.0
2019-10-14,25.8215,25.8215,25.8215,25.8215,89.0
2019-10-11,25.58,26.2,25.58,25.8215,3964.0
2019-10-10,25.625,25.625,25.625,25.625,1050.0
2019-10-09,25.52,25.85,25.5,25.625,6413.0
2019-10-08,25.5,25.56,25.5,25.52,6237.0
2019-10-07,25.51,25.83,25.48,25.6,5394.0
2019-10-04,25.995,25.995,25.65,25.657,1665.0
2019-10-03,25.85,25.85,25.65,25.7,2386.0
2019-10-02,25.95,26.0,25.5049,25.8124,3643.0
2019-10-01,26.0,26.0,26.0,26.0,2040.0
2019-09-30,26.25,26.25,25.895,26.0,2709.0
2019-09-27,25.8939,25.8939,25.8939,25.8939,259.0
2019-09-26,25.8222,25.98,25.75,25.8985,4443.0
2019-09-25,25.98,25.98,25.955,25.9556,3200.0
2019-09-24,25.74,25.98,25.72,25.98,3969.0
2019-09-23,25.49,25.74,25.4648,25.74,12068.0
2019-09-20,25.3476,25.49,25.3476,25.49,8030.0
2019-09-19,25.35,25.44,25.3173,25.44,19566.0
2019-09-18,25.33,25.35,25.33,25.35,1960.0
2019-09-17,25.3109,25.35,25.3109,25.35,2829.0
2019-09-16,25.35,25.35,25.313,25.3499,2160.0
2019-09-13,25.35,25.35,25.35,25.35,25.0
2019-09-12,25.33,25.38,25.33,25.35,7852.0
2019-09-11,25.2964,25.3098,25.2964,25.3098,605.0
2019-09-10,25.259,25.33,25.259,25.2833,3410.0
2019-09-09,25.3016,25.35,25.3016,25.328,1645.0
2019-09-06,25.3499,25.3499,25.267,25.267,2797.0
2019-09-05,25.34,25.35,25.3,25.35,2345.0
2019-09-04,25.12,25.35,25.11,25.12,201592.0
2019-09-03,25.25,25.35,25.1899,25.25,6271.0
2019-08-30,25.2,25.27,25.1975,25.2,1862.0
2019-08-29,25.25,25.25,25.135,25.135,523.0
2019-08-28,25.1911,25.2,25.1421,25.1535,4696.0
2019-08-27,25.21,25.21,25.1,25.1753,3663.0
2019-08-26,25.28,25.28,25.21,25.21,920.0
2019-08-23,25.33,25.33,25.0523,25.2688,1625.0
2019-08-22,25.32,25.35,25.178,25.35,5310.0
2019-08-21,25.2972,25.35,25.2972,25.3191,4695.0
2019-08-20,25.1649,25.35,25.1649,25.35,3383.0
2019-08-19,25.29,25.35,25.1564,25.35,6702.0
2019-08-16,25.0358,25.34,25.0358,25.19,5330.0
2019-08-15,25.23,25.3,25.1,25.3,6727.0
2019-08-14,25.25,25.25,25.225,25.25,6200.0
2019-08-13,25.229,25.25,25.211,25.25,2140.0
2019-08-12,25.25,25.25,25.25,25.25,2615.0
2019-08-09,25.38,25.38,25.1723,25.25,1007.0
2019-08-08,25.198,25.21,25.115,25.16,2388.0
2019-08-07,25.03,25.0693,24.97,25.0,2453.0
