date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,18.07,18.07,17.7327,17.8147,1117.0
2020-03-30,17.75,17.75,17.75,17.75,226.0
2020-03-27,17.6227,17.92,17.5403,17.5403,9291.0
2020-03-26,18.22,18.45,18.1963,18.23,7629.0
2020-03-25,17.44,18.0,17.44,18.0,917.0
2020-03-24,17.0,17.2066,16.8265,17.2066,705.0
2020-03-23,16.2399,16.2399,15.7066,15.8101,1141.0
2020-03-20,16.15,16.1885,16.1484,16.1484,765.0
2020-03-19,15.0691,16.7263,15.0691,16.7263,455.0
2020-03-18,16.66,16.66,15.4876,15.4876,3497.0
2020-03-17,17.6049,17.6049,17.6049,17.6049,1.0
2020-03-16,17.6894,17.6894,16.6199,16.6199,1612.0
2020-03-13,18.415,18.415,18.415,18.415,101.0
2020-03-12,18.32,18.32,17.8397,17.8397,2018.0
2020-03-11,20.23,20.23,19.9082,19.9082,111.0
2020-03-10,20.62,21.019,20.295,21.019,754.0
2020-03-09,21.49,21.49,20.5573,20.5816,1366.0
2020-03-06,22.52,22.52,22.52,22.52,4912.0
2020-03-05,24.15,24.15,24.15,24.15,64.0
2020-03-04,23.68,24.16,23.67,24.15,6376.0
2020-03-03,24.2299,24.2299,23.5772,23.5772,3576.0
2020-03-02,23.36,24.1026,23.36,24.1026,197.0
2020-02-28,23.4699,23.5857,23.4699,23.5857,3468.0
2020-02-27,24.09,24.66,24.09,24.23,18504.0
2020-02-26,25.2238,25.2366,24.7596,24.7596,2411.0
2020-02-25,26.15,26.15,25.2444,25.2444,611.0
2020-02-24,26.0699,26.1579,26.06,26.1579,1212.0
2020-02-21,26.85,27.0027,26.85,27.0027,1276.0
2020-02-20,27.2198,27.2243,27.1926,27.2243,382.0
2020-02-19,27.1338,27.1338,27.1221,27.1221,271.0
2020-02-18,27.1103,27.1103,27.1103,27.1103,5.0
2020-02-14,27.1103,27.1103,27.0058,27.0058,101.0
2020-02-13,27.13,27.2024,27.13,27.2024,6713.0
2020-02-12,26.8271,26.8271,26.8271,26.8271,43.0
2020-02-11,26.827,26.827,26.827,26.827,0.0
2020-02-10,26.9414,26.9414,26.9414,26.9414,144.0
2020-02-07,26.9414,26.9414,26.8271,26.8271,934.0
2020-02-06,27.38,27.38,27.38,27.38,1298.0
2020-02-05,27.43,27.4842,27.43,27.4842,11122.0
2020-02-04,26.67,26.67,26.67,26.67,164.0
2020-02-03,26.59,26.67,26.59,26.67,2293.0
2020-01-31,26.4299,26.4299,26.3641,26.3641,216.0
2020-01-30,27.03,27.03,26.7799,26.9877,1017.0
2020-01-29,27.1199,27.14,27.1199,27.14,403.0
2020-01-28,27.092,27.2035,27.092,27.2035,800.0
2020-01-27,27.099,27.14,27.0198,27.0198,1467.0
2020-01-24,27.62,27.62,27.62,27.62,19.0
2020-01-23,27.47,27.7403,27.4575,27.7403,634.0
2020-01-22,27.84,27.84,27.78,27.78,435.0
2020-01-21,27.92,27.935,27.85,27.85,300.0
2020-01-17,28.25,28.28,28.2017,28.2017,1283.0
2020-01-16,28.31,28.31,28.31,28.31,100.0
2020-01-15,27.89,27.96,27.89,27.8921,300.0
2020-01-14,27.73,27.99,27.73,27.8489,5315.0
2020-01-13,27.51,27.723,27.51,27.723,100.0
2020-01-10,27.83,27.83,27.5631,27.5631,492.0
2020-01-09,27.81,27.83,27.7108,27.7108,4002.0
2020-01-08,27.9,27.9,27.7847,27.7847,7567.0
2020-01-07,27.84,27.84,27.84,27.84,127.0
2020-01-06,27.76,27.97,27.76,27.9144,4257.0
2020-01-03,27.76,28.02,27.76,27.9908,7968.0
2020-01-02,27.93,27.9748,27.85,27.9748,985.0
2019-12-31,27.99,28.0703,27.94,27.94,1920.0
2019-12-30,28.16,28.16,27.82,27.9127,23847.0
2019-12-27,27.98,28.01,27.9559,27.9559,2032.0
2019-12-26,28.03,28.0743,28.03,28.0743,104.0
2019-12-24,28.05,28.1076,28.05,28.1076,100.0
2019-12-23,27.91,28.0263,27.9074,28.0042,591.0
2019-12-20,28.0,28.0,27.93,27.9653,13114.0
2019-12-19,27.95,27.95,27.9443,27.9443,209.0
2019-12-18,27.69,27.69,27.69,27.69,253.0
2019-12-17,27.69,27.69,27.69,27.69,54.0
2019-12-16,27.69,27.69,27.69,27.69,495.0
2019-12-13,27.7101,27.7101,27.7101,27.7101,1.0
2019-12-12,27.7101,27.8068,27.7101,27.8068,334.0
2019-12-11,27.42,27.4358,27.41,27.4358,314.0
2019-12-10,27.4785,27.4785,27.3584,27.3584,607.0
2019-12-09,27.095,27.095,27.095,27.095,1.0
2019-12-06,27.032,27.032,27.032,27.032,0.0
2019-12-05,27.095,27.095,27.095,27.095,74.0
2019-12-04,27.095,27.095,27.0322,27.0322,226.0
2019-12-03,27.369,27.369,27.369,27.369,51.0
2019-12-02,27.369,27.369,27.369,27.369,1.0
2019-11-29,27.369,27.369,27.2409,27.2409,976.0
2019-11-27,27.4356,27.4356,27.4356,27.4356,0.0
2019-11-26,27.4356,27.4356,27.2084,27.2084,800.0
2019-11-25,26.7,26.7,26.7,26.7,36.0
2019-11-22,26.7,26.7,26.7,26.7,155.0
2019-11-21,26.93,26.93,26.93,26.93,62.0
2019-11-20,26.93,26.93,26.93,26.93,4.0
2019-11-19,26.93,26.93,26.93,26.93,0.0
2019-11-18,26.93,26.93,26.9242,26.9242,400.0
2019-11-15,27.05,27.05,27.04,27.04,1608.0
2019-11-14,26.94,26.94,26.94,26.94,71.0
2019-11-13,26.94,26.94,26.94,26.94,100.0
2019-11-12,27.36,27.36,27.36,27.36,156.0
2019-11-11,27.21,27.21,27.21,27.21,156.0
2019-11-08,27.334,27.334,27.334,27.334,184.0
2019-11-07,27.39,27.39,27.39,27.39,3.0
2019-11-06,27.39,27.39,27.39,27.39,104.0
2019-11-05,27.4701,27.4702,27.39,27.39,1283.0
2019-11-04,26.7895,26.7895,26.7895,26.7895,41.0
2019-11-01,26.79,26.79,26.79,26.79,0.0
2019-10-31,26.7895,26.7895,26.7895,26.7895,49.0
2019-10-30,26.74,26.7895,26.74,26.7895,516.0
2019-10-29,26.91,26.91,26.91,26.91,213.0
2019-10-28,26.9327,26.99,26.9327,26.99,397.0
2019-10-25,26.65,26.7549,26.65,26.7549,215.0
2019-10-24,26.39,26.41,26.39,26.41,1130.0
2019-10-23,26.4116,26.4116,26.4116,26.4116,369.0
2019-10-22,26.5319,26.5319,26.5319,26.5319,481.0
2019-10-21,26.05,26.05,26.05,26.05,40.0
2019-10-18,26.05,26.05,26.05,26.05,6.0
2019-10-17,26.1,26.1,26.05,26.05,810.0
2019-10-16,25.9,25.9,25.7903,25.828,732.0
2019-10-15,25.775,25.775,25.775,25.775,45.0
2019-10-14,25.775,25.775,25.775,25.775,25.0
2019-10-11,25.805,25.805,25.775,25.775,439.0
2019-10-10,25.3,25.3,25.3,25.3,204.0
2019-10-09,25.14,25.188,25.14,25.188,995.0
2019-10-08,25.11,25.2,25.11,25.2,400.0
2019-10-07,25.48,25.48,25.48,25.48,418.0
2019-10-04,25.32,25.32,25.31,25.31,400.0
2019-10-03,24.985,25.13,24.985,25.13,530.0
2019-10-02,25.1787,25.1787,25.12,25.14,521.0
2019-10-01,25.434,25.434,25.434,25.434,3342.0
2019-09-30,26.02,26.02,26.02,26.02,0.0
2019-09-27,26.02,26.02,26.02,26.02,62.0
2019-09-26,26.03,26.03,26.02,26.02,409.0
2019-09-25,25.94,26.21,25.94,26.21,660.0
2019-09-24,26.0185,26.0185,26.0185,26.0185,407.0
2019-09-23,26.1834,26.2,26.1834,26.2,252.0
2019-09-20,26.5,26.5,26.5,26.5,50.0
2019-09-19,26.5,26.5,26.5,26.5,1.0
2019-09-18,26.4479,26.5,26.42,26.5,1320.0
2019-09-17,26.79,26.79,26.79,26.79,111.0
2019-09-16,26.78,26.78,26.78,26.78,389.0
2019-09-13,26.84,26.84,26.84,26.84,50.0
2019-09-12,26.759,26.84,26.7541,26.84,1849.0
2019-09-11,26.25,26.25,26.25,26.25,5.0
2019-09-10,26.18,26.25,26.18,26.25,3214.0
2019-09-09,25.27,25.63,25.27,25.63,11567.0
2019-09-06,25.11,25.11,25.11,25.11,30.0
2019-09-05,24.98,25.16,24.98,25.11,5085.0
2019-09-04,24.2634,24.2634,24.2634,24.2634,261.0
2019-09-03,24.279,24.279,24.2634,24.2634,571.0
2019-08-30,24.2,24.2,24.2,24.2,0.0
2019-08-29,24.2,24.2,24.2,24.2,0.0
2019-08-28,24.1999,24.2,24.1999,24.2,303.0
2019-08-27,24.06,24.06,24.06,24.06,0.0
2019-08-26,24.06,24.06,24.06,24.06,854.0
2019-08-23,24.64,24.64,23.87,23.87,893.0
2019-08-22,24.74,24.91,24.7,24.7,4795.0
2019-08-21,24.7808,24.7808,24.74,24.74,247.0
2019-08-20,24.77,24.77,24.69,24.69,500.0
2019-08-19,24.87,24.91,24.86,24.89,8115.0
2019-08-16,24.28,24.549,24.28,24.5485,3467.0
2019-08-15,24.08,24.08,23.97,23.97,1026.0
2019-08-14,24.4,24.4,24.2,24.2,1249.0
2019-08-13,24.78,24.78,24.78,24.78,220.0
2019-08-12,24.77,24.78,24.77,24.78,517.0
2019-08-09,25.3837,25.4,25.1,25.1,4273.0
2019-08-08,24.649,24.649,24.649,24.649,400.0
2019-08-07,24.649,24.649,24.649,24.649,378.0
2019-08-06,24.88,24.88,24.88,24.88,7.0
2019-08-05,24.88,24.88,24.88,24.88,100.0
2019-08-02,25.51,25.5338,25.5,25.5338,949.0
2019-08-01,26.05,26.05,25.8701,25.8785,421.0
2019-07-31,26.47,26.47,26.47,26.47,228.0
2019-07-30,25.962,26.14,25.962,26.14,370.0
2019-07-29,25.98,25.98,25.98,25.98,215.0
2019-07-26,26.01,26.01,26.01,26.01,103.0
2019-07-25,26.1785,26.1785,26.15,26.15,353.0
2019-07-24,25.97,25.97,25.97,25.97,132.0
2019-07-23,25.64,25.69,25.635,25.69,910.0
2019-07-22,25.67,25.67,25.61,25.61,432.0
2019-07-19,25.81,25.81,25.81,25.81,132.0
2019-07-18,25.66,25.66,25.66,25.66,101.0
2019-07-17,25.74,25.74,25.72,25.72,32854.0
2019-07-16,26.07,26.07,26.0069,26.0069,31252.0
2019-07-15,25.94,25.94,25.94,25.94,0.0
2019-07-12,25.94,25.94,25.94,25.94,65.0
2019-07-11,25.94,25.94,25.94,25.94,0.0
2019-07-10,25.94,25.94,25.94,25.94,0.0
2019-07-09,25.94,25.94,25.94,25.94,0.0
2019-07-08,25.94,25.94,25.94,25.94,3879.0
2019-07-05,26.12,26.12,26.12,26.12,12.0
2019-07-03,26.12,26.12,26.12,26.12,110.0
2019-07-02,25.93,25.9368,25.9071,25.9368,2200.0
2019-07-01,26.49,26.49,26.2394,26.2394,1301.0
2019-06-28,26.02,26.2562,26.02,26.2562,2700.0
2019-06-27,25.53,25.53,25.53,25.53,137.0
2019-06-26,25.27,25.34,25.27,25.34,400.0
2019-06-25,25.2401,25.27,25.2401,25.245,2251.0
2019-06-24,25.58,25.58,25.58,25.58,2.0
2019-06-21,25.51,25.6302,25.51,25.58,1748.0
2019-06-20,25.56,25.56,25.56,25.56,1.0
2019-06-19,25.56,25.56,25.56,25.56,575.0
2019-06-18,25.61,25.61,25.52,25.53,3973.0
2019-06-17,25.3656,25.3656,25.3656,25.3656,128.0
2019-06-14,25.43,25.43,25.3656,25.3656,2997.0
2019-06-13,25.42,25.56,25.42,25.56,20402.0
2019-06-12,25.3,25.3,25.3,25.3,79.0
2019-06-11,25.54,25.54,25.3,25.3,2462.0
2019-06-10,25.459,25.459,25.459,25.459,221.0
2019-06-07,25.07,25.07,25.07,25.07,100.0
2019-06-06,25.21,25.21,24.84,24.84,8686.0
2019-06-05,25.2149,25.2149,25.1,25.17,3580.0
2019-06-04,24.95,25.03,24.95,25.03,585.0
2019-06-03,24.55,24.66,24.55,24.66,401.0
2019-05-31,24.45,24.45,24.45,24.45,400.0
2019-05-30,24.99,25.13,24.75,24.85,4227.0
2019-05-29,25.06,25.06,25.06,25.06,460.0
2019-05-28,25.36,25.4147,25.31,25.31,4865.0
2019-05-24,25.54,25.54,25.37,25.467,1148.0
2019-05-23,25.49,25.49,25.22,25.22,12410.0
2019-05-22,26.0,26.0,25.96,25.96,509.0
2019-05-21,26.28,26.28,26.14,26.24,500.0
2019-05-20,25.93,26.0665,25.93,26.03,3952.0
2019-05-17,26.33,26.33,26.33,26.33,343.0
2019-05-16,26.65,26.7099,26.65,26.68,7836.0
2019-05-15,26.19,26.428,26.19,26.428,1455.0
2019-05-14,26.28,26.44,26.28,26.41,5377.0
2019-05-13,26.866,26.866,26.866,26.866,0.0
2019-05-10,26.866,26.866,26.866,26.866,485.0
2019-05-09,26.97,27.01,26.97,27.01,932.0
2019-05-08,27.44,27.44,27.3056,27.3056,598.0
2019-05-07,27.9399,27.9399,27.9399,27.9399,10.0
2019-05-06,27.94,27.94,27.94,27.94,0.0
2019-05-03,27.66,27.94,27.66,27.9399,323.0
2019-05-02,27.3534,27.3534,27.33,27.33,600.0
2019-05-01,27.85,27.85,27.85,27.85,0.0
2019-04-30,27.85,27.85,27.85,27.85,0.0
2019-04-29,27.75,27.85,27.75,27.85,1115.0
2019-04-25,27.72,27.72,27.72,27.72,0.0
2019-04-24,27.72,27.72,27.72,27.72,200.0
2019-04-23,27.38,27.73,27.38,27.73,2440.0
2019-04-22,27.67,27.67,27.67,27.67,0.0
2019-04-18,27.67,27.67,27.67,27.67,20.0
2019-04-17,27.67,27.67,27.67,27.67,0.0
2019-04-16,27.67,27.67,27.67,27.67,1010.0
2019-04-15,27.35,27.35,27.35,27.35,0.0
2019-04-12,27.35,27.35,27.35,27.35,1.0
2019-04-11,27.35,27.35,27.35,27.35,0.0
2019-04-10,27.35,27.35,27.35,27.35,200.0
2019-04-09,27.44,27.44,27.3773,27.3773,1400.0
2019-04-08,27.5929,27.593,27.5929,27.593,1985.0
2019-04-05,27.67,27.67,27.67,27.67,1672.0
2019-04-04,27.16,27.16,27.16,27.16,1.0
2019-04-03,27.27,27.2742,27.16,27.16,370.0
2019-04-02,27.03,27.03,27.0099,27.0099,436.0
2019-04-01,26.77,26.77,26.77,26.77,333.0
2019-03-29,27.22,27.22,27.22,27.22,0.0
2019-03-28,27.22,27.22,27.22,27.22,54.0
2019-03-27,27.22,27.22,27.22,27.22,0.0
2019-03-26,27.22,27.22,27.22,27.22,0.0
2019-03-25,27.22,27.22,27.22,27.22,1.0
2019-03-22,27.22,27.22,27.22,27.22,56.0
2019-03-21,27.22,27.22,27.22,27.22,146.0
2019-03-20,27.03,27.28,27.03,27.28,374.0
2019-03-19,27.42,27.42,27.42,27.42,350.0
2019-03-18,27.416,27.416,27.416,27.416,0.0
2019-03-15,27.41,27.46,27.41,27.416,9144.0
2019-03-14,27.3866,27.3866,27.3866,27.3866,204.0
2019-03-13,27.64,27.64,27.6,27.6,421.0
