date,1. open,2. high,3. low,4. close,5. volume
2020-04-06,0.5,0.7,0.5,0.7,27291.0
2020-03-27,0.665,0.75,0.6,0.75,29300.0
2020-03-20,0.95,0.95,0.95,0.95,200.0
2020-02-24,0.85,0.85,0.85,0.85,25000.0
2020-02-06,0.85,0.85,0.85,0.85,100000.0
2020-02-05,0.85,0.85,0.85,0.85,100000.0
2020-01-23,0.92,0.92,0.92,0.92,25.0
2020-01-21,0.92,0.92,0.92,0.92,100000.0
2020-01-06,0.915,0.915,0.915,0.915,100000.0
2020-01-02,0.915,0.915,0.915,0.915,1100000.0
2019-12-31,0.85,0.85,0.85,0.85,0.0
2019-12-30,0.85,0.85,0.85,0.85,300000.0
