date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,8.9751,9.4873,8.9751,9.35,49564.0
2020-04-08,9.03,9.6938,8.98,9.275,22314.0
2020-04-07,9.28,9.5,9.01,9.01,7996.0
2020-04-06,9.56,9.6491,8.88,8.88,15625.0
2020-04-03,9.0,9.1399,8.65,8.99,13484.0
2020-04-02,8.8013,9.96,8.8013,9.06,6364.0
2020-04-01,9.73,10.0,8.78,9.03,20478.0
2020-03-31,9.95,10.53,9.77,9.82,15632.0
2020-03-30,9.99,10.4413,9.9001,9.96,19566.0
2020-03-27,10.23,10.8605,9.6676,10.27,24623.0
2020-03-26,9.5,11.27,9.5,10.49,67568.0
2020-03-25,9.5,10.6335,8.95,9.63,23280.0
2020-03-24,10.15,10.2835,9.32,9.63,16042.0
2020-03-23,9.4024,9.97,8.9969,9.78,8722.0
2020-03-20,9.75,10.14,9.09,9.38,23049.0
2020-03-19,9.07,10.15,8.5583,9.6,15811.0
2020-03-18,9.33,9.54,8.545,9.51,27121.0
2020-03-17,9.68,9.68,9.0301,9.5,28311.0
2020-03-16,8.75,9.75,8.7,9.49,49989.0
2020-03-13,8.96,9.49,8.9,9.24,37293.0
2020-03-12,11.0,11.28,9.0,9.04,56468.0
2020-03-11,12.03,12.2,11.15,11.6,32735.0
2020-03-10,12.39,12.77,11.8859,12.03,53455.0
2020-03-09,12.36,12.36,11.9,12.32,37077.0
2020-03-06,11.91,13.45,11.8206,12.85,36565.0
2020-03-05,12.61,12.61,11.75,12.03,31342.0
2020-03-04,12.2601,13.1,12.2601,12.65,17219.0
2020-03-03,12.7,13.13,12.06,12.7,28921.0
2020-03-02,11.72,14.71,11.72,13.0,39684.0
2020-02-28,11.92,12.72,11.6,11.6,32385.0
2020-02-27,12.71,13.3085,11.88,12.5,25988.0
2020-02-26,12.96,13.61,12.7,12.95,37316.0
2020-02-25,14.71,14.7745,13.1501,13.31,47138.0
2020-02-24,14.59,14.79,14.12,14.53,44599.0
2020-02-21,15.15,15.675,14.84,15.3,33623.0
2020-02-20,15.36,15.5568,14.8269,15.12,32173.0
2020-02-19,15.52,15.668,15.05,15.52,30354.0
2020-02-18,15.27,15.7845,15.27,15.55,32112.0
2020-02-14,15.91,16.0113,15.13,15.48,35223.0
2020-02-13,16.6,16.752,15.5201,15.63,52632.0
2020-02-12,15.6,16.89,15.01,16.7,126266.0
2020-02-11,13.52,15.7,13.03,15.5,286638.0
2020-02-10,12.8,13.185,12.595,12.93,23850.0
2020-02-07,13.58,13.58,12.38,12.68,55134.0
2020-02-06,13.68,13.68,13.13,13.46,64358.0
2020-02-05,12.77,13.5999,12.65,13.15,59453.0
2020-02-04,12.2,12.77,11.9001,12.66,32438.0
2020-02-03,12.21,12.3314,11.8799,12.06,33051.0
2020-01-31,12.06,12.6,12.0,12.11,36655.0
2020-01-30,12.1,12.4,11.81,12.1,39950.0
2020-01-29,13.1,13.1,11.9,12.18,105030.0
2020-01-28,12.54,13.07,12.45,13.07,41197.0
2020-01-27,12.33,12.5,11.73,12.41,47400.0
2020-01-24,13.21,13.21,12.151,12.75,112309.0
2020-01-23,13.6,14.25,12.8,13.25,73614.0
2020-01-22,0.368,0.3698,0.3418,0.3477,2859338.0
2020-01-21,0.4,0.4,0.3711,0.3913,1938560.0
2020-01-17,0.4236,0.43,0.4,0.4,1288881.0
2020-01-16,0.4381,0.44,0.41,0.423,1168845.0
2020-01-15,0.47,0.48,0.425,0.44,3024371.0
2020-01-14,0.47,0.47,0.41,0.4386,2707701.0
2020-01-13,0.382,0.492,0.3702,0.4888,8192368.0
2020-01-10,0.385,0.3898,0.37,0.376,674143.0
2020-01-09,0.37,0.389,0.3666,0.3791,824926.0
2020-01-08,0.38,0.388,0.36,0.3639,839480.0
2020-01-07,0.38,0.399,0.3667,0.3825,724766.0
2020-01-06,0.405,0.4199,0.35,0.3801,1936650.0
2020-01-03,0.382,0.435,0.375,0.398,3636151.0
2020-01-02,0.355,0.415,0.33,0.376,3090117.0
2019-12-31,0.3327,0.345,0.3291,0.3424,1470821.0
2019-12-30,0.34,0.3415,0.3253,0.3348,1260761.0
2019-12-27,0.337,0.345,0.331,0.34,1349971.0
2019-12-26,0.3424,0.3444,0.33,0.3399,1045205.0
2019-12-24,0.33,0.3444,0.3209,0.3424,1177022.0
2019-12-23,0.347,0.347,0.3205,0.338,1525832.0
2019-12-20,0.3498,0.35,0.3301,0.344,791237.0
2019-12-19,0.3505,0.36,0.325,0.3436,1506166.0
2019-12-18,0.352,0.355,0.34,0.353,949611.0
2019-12-17,0.35,0.355,0.325,0.3518,1216404.0
2019-12-16,0.34,0.352,0.301,0.3462,2746030.0
2019-12-13,0.35,0.3749,0.3454,0.3491,1779629.0
2019-12-12,0.41,0.418,0.34,0.355,3679661.0
2019-12-11,0.38,0.4301,0.38,0.3939,2870326.0
2019-12-10,0.44,0.44,0.3715,0.3848,5193103.0
2019-12-09,0.54,0.55,0.43,0.4375,10027438.0
2019-12-06,0.49,0.5,0.4321,0.485,8782221.0
2019-12-05,0.43,0.44,0.36,0.3831,2804791.0
2019-12-04,0.5,0.5,0.38,0.4238,3700101.0
2019-12-03,0.51,0.523,0.4509,0.4769,5484898.0
2019-12-02,0.37,0.535,0.3676,0.5,17091323.0
2019-11-29,0.34,0.3494,0.272,0.3467,2726013.0
2019-11-27,0.2751,0.335,0.2751,0.3299,4740962.0
2019-11-26,0.265,0.285,0.2451,0.2769,4424598.0
2019-11-25,0.25,0.265,0.2351,0.2511,1852702.0
2019-11-22,0.2583,0.2599,0.2351,0.245,1371105.0
2019-11-21,0.22,0.24,0.2156,0.2343,1293017.0
2019-11-20,0.262,0.262,0.2265,0.233,1208619.0
2019-11-19,0.2497,0.2535,0.2358,0.245,358600.0
2019-11-18,0.2522,0.2535,0.2265,0.2497,866834.0
2019-11-15,0.2695,0.2799,0.231,0.2398,1018649.0
2019-11-14,0.26,0.265,0.2471,0.25,321561.0
2019-11-13,0.259,0.259,0.2412,0.2499,343936.0
2019-11-12,0.26,0.27,0.245,0.254,375491.0
2019-11-11,0.26,0.27,0.2556,0.2598,1040005.0
2019-11-08,0.27,0.27,0.245,0.2596,1615493.0
2019-11-07,0.29,0.29,0.2501,0.2504,2472311.0
2019-11-06,0.3253,0.3485,0.3253,0.3475,794410.0
2019-11-05,0.34,0.3419,0.3151,0.325,268764.0
2019-11-04,0.3174,0.35,0.3174,0.34,452261.0
2019-11-01,0.31,0.329,0.3,0.3275,362962.0
2019-10-31,0.3006,0.31,0.2903,0.31,376823.0
2019-10-30,0.3,0.3047,0.2903,0.295,312111.0
2019-10-29,0.3001,0.3099,0.294,0.3,313966.0
