date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,0.855,0.855,0.7374,0.75,48339.0
2020-03-30,0.85,0.886,0.81,0.8215,18051.0
2020-03-27,0.89,0.978,0.8,0.876,25206.0
2020-03-26,0.8,0.9,0.8,0.856,12301.0
2020-03-25,0.8898,0.904,0.8059,0.82,36805.0
2020-03-24,1.0,1.0,0.82,0.8517,78499.0
2020-03-23,0.9,0.998,0.83,0.98,59063.0
2020-03-20,0.918,1.05,0.89,0.99,18424.0
2020-03-19,0.97,1.17,0.9,0.9243,62603.0
2020-03-18,0.85,1.03,0.8099,0.93,44595.0
2020-03-17,0.9385,1.0462,0.87,0.95,17023.0
2020-03-16,0.96,1.0216,0.8529,0.97,38035.0
2020-03-13,1.0,1.27,0.92,0.9602,49381.0
2020-03-12,1.28,1.35,1.02,1.05,398467.0
2020-03-11,1.39,1.4,1.33,1.33,14059.0
2020-03-10,1.43,1.44,1.35,1.42,12134.0
2020-03-09,1.38,1.65,1.35,1.44,20643.0
2020-03-06,1.41,1.52,1.4084,1.435,10869.0
2020-03-05,1.4,1.5415,1.4,1.43,23609.0
2020-03-04,1.44,1.485,1.42,1.42,7607.0
2020-03-03,1.44,1.48,1.4,1.48,3834.0
2020-03-02,1.36,1.5,1.36,1.4,26212.0
2020-02-28,1.38,1.48,1.35,1.39,53399.0
2020-02-27,1.4573,1.505,1.44,1.45,4777.0
2020-02-26,1.4926,1.4926,1.44,1.47,4048.0
2020-02-25,1.505,1.512,1.4066,1.48,1792.0
2020-02-24,1.4,1.5,1.4,1.47,6711.0
2020-02-21,1.5,1.5073,1.4083,1.49,23716.0
2020-02-20,1.41,1.5,1.41,1.49,19626.0
2020-02-19,1.435,1.46,1.41,1.44,18035.0
2020-02-18,1.44,1.49,1.38,1.45,7679.0
2020-02-14,1.46,1.5183,1.4506,1.47,10869.0
2020-02-13,1.42,1.5268,1.42,1.49,11049.0
2020-02-12,1.58,1.58,1.46,1.46,30386.0
2020-02-11,1.46,1.63,1.46,1.56,20680.0
2020-02-10,1.43,1.53,1.37,1.47,48963.0
2020-02-07,1.43,1.46,1.43,1.46,521.0
2020-02-06,1.511,1.52,1.37,1.46,39326.0
2020-02-05,1.42,1.51,1.4128,1.51,19125.0
2020-02-04,1.4,1.4899,1.36,1.46,43415.0
2020-02-03,1.4,1.51,1.37,1.37,22674.0
2020-01-31,1.4094,1.45,1.37,1.4,29089.0
2020-01-30,1.38,1.44,1.34,1.41,19204.0
2020-01-29,1.45,1.45,1.3553,1.38,18026.0
2020-01-28,1.4919,1.4919,1.4,1.45,7078.0
2020-01-27,1.5,1.5005,1.46,1.46,15309.0
2020-01-24,1.47,1.55,1.4663,1.49,3136.0
2020-01-23,1.52,1.52,1.45,1.45,3438.0
2020-01-22,1.54,1.54,1.43,1.53,13260.0
2020-01-21,1.5,1.53,1.48,1.53,9455.0
2020-01-17,1.513,1.52,1.5,1.52,5674.0
2020-01-16,1.49,1.56,1.49,1.51,1108.0
2020-01-15,1.55,1.5896,1.5,1.5,16820.0
2020-01-14,1.55,1.57,1.54,1.54,10628.0
2020-01-13,1.51,1.53,1.51,1.53,3194.0
2020-01-10,1.53,1.59,1.5,1.5,25226.0
2020-01-09,1.52,1.5529,1.52,1.5403,5964.0
2020-01-08,1.69,1.69,1.51,1.51,12624.0
2020-01-07,1.6028,1.6028,1.53,1.53,28141.0
2020-01-06,1.51,1.6,1.51,1.5725,57759.0
2020-01-03,1.5,1.55,1.5,1.52,18980.0
2020-01-02,1.49,1.55,1.45,1.52,34943.0
2019-12-31,1.53,1.545,1.46,1.46,141543.0
2019-12-30,1.48,1.6,1.48,1.53,49565.0
2019-12-27,1.61,1.61,1.47,1.47,48230.0
2019-12-26,1.68,1.6852,1.5739,1.575,24169.0
2019-12-24,1.71,1.7225,1.65,1.655,19243.0
2019-12-23,1.77,1.78,1.6,1.71,82397.0
2019-12-20,1.47,1.95,1.45,1.88,118390.0
2019-12-19,1.44,1.5,1.42,1.5,84394.0
2019-12-18,1.42,1.45,1.35,1.42,34240.0
2019-12-17,1.41,1.45,1.38,1.45,43787.0
2019-12-16,1.33,1.43,1.28,1.43,255773.0
2019-12-13,1.29,1.4,1.27,1.37,60186.0
2019-12-12,1.37,1.4,1.27,1.32,69931.0
2019-12-11,1.35,1.8,1.3,1.35,337858.0
2019-12-10,1.21,1.24,1.19,1.21,29082.0
2019-12-09,1.25,1.25,1.2,1.24,18199.0
2019-12-06,1.23,1.28,1.22,1.25,41006.0
2019-12-05,1.29,1.29,1.23,1.23,10619.0
2019-12-04,1.29,1.31,1.23,1.23,39912.0
2019-12-03,1.4,1.4,1.3,1.31,12238.0
2019-12-02,1.43,1.4372,1.31,1.33,81156.0
2019-11-29,1.42,1.45,1.42,1.44,10967.0
2019-11-27,1.43,1.46,1.411,1.45,8789.0
2019-11-26,1.43,1.45,1.42,1.42,3900.0
2019-11-25,1.41,1.45,1.41,1.45,25754.0
