date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,23.23,23.9,21.52,21.77,3959739.0
2020-03-30,24.52,25.4,23.33,23.5,2516712.0
2020-03-27,26.18,26.3,24.03,24.44,3164619.0
2020-03-26,26.45,28.22,25.8,27.97,4623853.0
2020-03-25,24.33,26.99,24.0,25.53,5415142.0
2020-03-24,22.27,23.86,21.78,23.74,3863519.0
2020-03-23,22.1,22.11,19.2,19.89,5280195.0
2020-03-20,24.23,26.39,21.86,22.03,3484876.0
2020-03-19,20.92,25.369,19.08,23.62,5507987.0
2020-03-18,22.9,23.5,18.56,21.74,4951130.0
2020-03-17,27.01,27.45,23.5606,25.16,5085323.0
2020-03-16,28.0,29.88,26.25,26.32,3475196.0
2020-03-13,32.71,33.98,29.0,32.5,5085856.0
2020-03-12,31.96,32.71,30.1501,30.22,5109687.0
2020-03-11,38.72,39.2385,35.2,36.34,3089414.0
2020-03-10,37.71,40.42,36.87,40.31,3123235.0
2020-03-09,35.7,37.09,34.14,36.03,5223895.0
2020-03-06,40.28,40.39,38.52,40.0,3580167.0
2020-03-05,43.82,44.025,41.06,41.71,2833643.0
2020-03-04,43.75,44.88,42.27,44.35,3990371.0
2020-03-03,43.4,46.69,42.15,44.29,5186667.0
2020-03-02,40.46,43.91,39.85,43.86,4325639.0
2020-02-28,40.69,42.33,38.75,39.89,3992721.0
2020-02-27,41.03,43.96,40.21,41.85,3943826.0
2020-02-26,40.57,42.19,40.5,41.57,2708029.0
2020-02-25,42.18,43.13,40.161,41.0,2812577.0
2020-02-24,40.54,42.49,40.3,41.78,2223419.0
2020-02-21,43.42,43.9899,42.26,43.48,1426830.0
2020-02-20,44.08,44.08,41.66,43.73,1642081.0
2020-02-19,42.06,44.7,42.06,44.31,3035934.0
2020-02-18,41.55,42.17,41.42,41.82,1593155.0
2020-02-14,42.38,42.53,41.06,41.82,1436616.0
2020-02-13,40.5,42.37,40.4513,42.01,2146380.0
2020-02-12,40.52,40.81,39.54,40.79,1913755.0
2020-02-11,40.35,40.91,39.36,40.19,1982544.0
2020-02-10,41.62,41.62,39.27,40.05,2288846.0
2020-02-07,41.25,41.66,40.365,40.78,1469990.0
2020-02-06,42.61,42.69,41.05,41.59,2371898.0
2020-02-05,44.07,44.39,41.94,42.28,2112647.0
2020-02-04,44.55,44.99,42.8406,43.14,4361678.0
2020-02-03,43.52,45.72,43.52,45.3,1904649.0
2020-01-31,44.1,44.2,43.01,43.44,1717923.0
2020-01-30,42.95,44.32,42.91,44.3,2304874.0
2020-01-29,43.68,44.0,42.8481,43.44,1307943.0
2020-01-28,41.37,43.77,41.25,43.51,1398065.0
2020-01-27,41.46,42.03,39.91,41.16,2010267.0
2020-01-24,45.0,45.48,42.9194,43.15,1617006.0
2020-01-23,44.88,45.27,44.03,45.03,1547191.0
2020-01-22,42.82,45.04,42.61,44.64,3889779.0
2020-01-21,42.0,42.99,41.65,42.25,1609836.0
2020-01-17,41.09,42.48,40.8325,42.04,1080644.0
2020-01-16,41.44,42.42,41.02,41.08,1092314.0
2020-01-15,41.36,41.55,40.4,41.04,1570429.0
