date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,22.43,22.99,21.67,22.9,149207.0
2020-03-30,22.51,22.97,21.76,22.38,243663.0
2020-03-27,21.96,22.5,20.76,21.7,228424.0
2020-03-26,20.43,22.69,20.25,22.65,254844.0
2020-03-25,21.26,22.72,19.84,20.25,347487.0
2020-03-24,21.19,22.38,20.09,21.35,246283.0
2020-03-23,22.66,22.66,17.55,19.62,402999.0
2020-03-20,22.87,23.5,21.24,22.21,1258851.0
2020-03-19,18.83,23.5,18.61,22.6,239993.0
2020-03-18,19.06,19.78,17.7691,18.59,222742.0
2020-03-17,17.14,20.74,16.39,20.25,424475.0
2020-03-16,16.32,18.13,16.01,16.8,353056.0
2020-03-13,19.17,21.62,15.82,21.32,171178.0
2020-03-12,18.06,19.215,17.781,18.34,279842.0
2020-03-11,23.17,24.37,19.0,19.49,390355.0
2020-03-10,22.85,24.245,22.01,23.84,457116.0
2020-03-09,22.57,24.62,21.1,22.25,351975.0
2020-03-06,26.13,27.01,24.395,25.35,334798.0
2020-03-05,26.95,27.8,25.97,27.05,214118.0
2020-03-04,27.17,27.81,26.84,27.59,138616.0
2020-03-03,26.99,28.6,26.25,26.71,200145.0
2020-03-02,25.32,27.25,25.06,26.91,275562.0
2020-02-28,22.19,24.75,21.27,24.75,188914.0
2020-02-27,24.96,25.0,22.5,22.79,124622.0
2020-02-26,24.77,26.84,24.61,25.4,161748.0
2020-02-25,25.0,25.7975,24.04,24.5,87170.0
2020-02-24,26.57,26.885,24.64,24.99,119167.0
2020-02-21,27.2,27.6,26.68,27.44,93522.0
2020-02-20,27.74,28.0,26.5342,27.19,125745.0
2020-02-19,28.75,29.2451,26.3222,27.67,197075.0
2020-02-18,27.0,28.9443,26.81,28.68,94156.0
2020-02-14,28.15,28.745,26.56,26.89,201812.0
2020-02-13,29.41,29.86,27.62,28.15,124904.0
2020-02-12,30.74,31.38,28.5,29.365,204374.0
2020-02-11,34.0,34.69,30.06,30.21,253113.0
2020-02-10,30.01,34.3,30.0,34.15,381747.0
2020-02-07,29.0,29.07,27.6,28.04,75359.0
2020-02-06,28.33,30.0369,28.3,28.99,59707.0
2020-02-05,29.05,29.54,27.54,28.08,89321.0
2020-02-04,27.58,29.335,27.45,28.7,91828.0
2020-02-03,28.75,29.4246,27.0,27.4,163136.0
2020-01-31,28.02,31.0904,27.87,27.96,227244.0
2020-01-30,23.68,27.91,23.45,27.86,837437.0
2020-01-29,23.46,24.34,23.26,23.9,48738.0
2020-01-28,23.73,24.55,23.45,23.47,72801.0
2020-01-27,23.73,24.44,23.12,23.42,237376.0
2020-01-24,25.39,25.8,23.12,23.66,354529.0
2020-01-23,23.8,25.77,23.46,25.26,241280.0
2020-01-22,23.55,24.42,23.12,23.9,160189.0
2020-01-21,23.7,23.934,23.07,23.35,53480.0
2020-01-17,23.92,23.92,23.06,23.55,88230.0
2020-01-16,23.71,24.6469,23.33,23.69,80920.0
2020-01-15,23.5,24.56,23.345,23.52,116900.0
2020-01-14,23.88,24.56,23.32,23.39,71445.0
2020-01-13,25.34,25.34,23.77,24.08,86841.0
2020-01-10,25.56,26.04,24.57,25.33,121106.0
2020-01-09,26.0,26.16,24.8,25.4,152145.0
2020-01-08,24.74,26.03,24.61,25.76,249759.0
2020-01-07,24.69,24.91,24.19,24.61,87260.0
2020-01-06,25.0,27.1555,24.075,24.7,174271.0
2020-01-03,26.07,26.43,24.93,25.02,151242.0
2020-01-02,28.78,28.78,25.85,26.54,107302.0
2019-12-31,27.47,29.58,27.435,28.32,151637.0
2019-12-30,26.61,27.86,25.67,27.56,131374.0
2019-12-27,27.41,27.41,26.3591,26.58,74157.0
2019-12-26,28.6,28.6,27.11,27.24,125761.0
2019-12-24,26.97,28.72,26.97,28.6,74094.0
2019-12-23,29.43,29.76,26.25,26.87,239422.0
2019-12-20,28.3,29.94,27.46,29.34,564237.0
2019-12-19,27.88,28.75,27.3298,28.08,140224.0
2019-12-18,27.47,29.09,26.9867,27.61,137667.0
2019-12-17,25.16,26.98,25.16,26.77,150649.0
2019-12-16,24.58,25.25,23.22,24.98,137062.0
2019-12-13,23.78,24.98,23.77,24.16,77188.0
2019-12-12,23.21,24.3,23.01,23.82,72995.0
2019-12-11,25.46,25.46,22.59,23.17,322060.0
2019-12-10,27.11,28.065,25.16,25.37,132932.0
2019-12-09,28.98,30.555,25.9,27.11,151404.0
2019-12-06,25.22,29.25,25.22,28.98,101502.0
2019-12-05,25.47,26.44,24.64,25.03,106436.0
2019-12-04,24.28,25.6,23.96,25.22,149668.0
2019-12-03,25.14,25.59,23.3,24.4,286106.0
2019-12-02,24.54,25.77,24.32,25.5,107410.0
2019-11-29,24.88,25.03,24.4,24.5,27536.0
2019-11-27,24.75,25.32,24.5,24.96,123206.0
2019-11-26,23.88,24.98,23.28,24.76,231429.0
2019-11-25,22.57,24.1,22.04,23.89,90130.0
2019-11-22,22.88,23.14,22.16,22.49,74760.0
2019-11-21,24.02,24.11,22.6,22.8,91723.0
2019-11-20,23.7,24.31,22.43,24.1,150317.0
2019-11-19,23.78,24.43,23.26,23.86,109710.0
2019-11-18,23.29,23.83,22.44,23.74,95830.0
2019-11-15,25.85,25.88,23.19,23.32,196769.0
2019-11-14,26.31,26.55,25.28,25.91,145650.0
2019-11-13,27.86,28.0,26.07,26.49,88165.0
2019-11-12,30.27,31.36,26.24,27.41,162341.0
2019-11-11,29.79,30.45,29.25,29.79,106215.0
