date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,10.36,11.29,10.0,11.06,152463.0
2020-04-08,9.95,10.262,9.73,9.98,103420.0
2020-04-07,10.0,10.4329,9.61,9.73,75660.0
2020-04-06,9.49,9.92,9.49,9.7,86149.0
2020-04-03,9.1,10.23,9.06,9.15,54392.0
2020-04-02,9.17,9.76,8.98,9.2,72768.0
2020-04-01,10.16,10.2029,9.01,9.02,125689.0
2020-03-31,10.35,10.915,10.1,10.34,106023.0
2020-03-30,9.79,10.99,9.73,10.45,71805.0
2020-03-27,9.97,10.39,9.68,9.72,385363.0
2020-03-26,10.23,10.49,10.0,10.34,129515.0
2020-03-25,10.86,11.23,9.99,10.16,122566.0
2020-03-24,10.62,11.86,10.42,10.97,130078.0
2020-03-23,10.53,10.64,9.785,10.14,85036.0
2020-03-20,12.07,12.52,10.02,10.45,83735.0
2020-03-19,9.4,12.53,9.4,12.05,93267.0
2020-03-18,10.47,10.75,9.36,9.39,70952.0
2020-03-17,10.56,10.85,9.65,10.58,117711.0
2020-03-16,11.34,12.0,10.25,10.4,83284.0
2020-03-13,12.84,12.84,11.82,12.39,119857.0
2020-03-12,12.87,13.8531,11.63,12.24,63907.0
2020-03-11,15.13,15.39,13.97,14.11,59831.0
2020-03-10,15.5,15.75,15.1396,15.6,49749.0
2020-03-09,16.1,16.1,15.235,15.35,76387.0
2020-03-06,17.69,17.79,16.9,17.21,67020.0
2020-03-05,17.73,17.9,17.37,17.64,55414.0
2020-03-04,18.1,18.351,17.84,17.9,65630.0
2020-03-03,18.35,19.487,18.0,18.32,50840.0
2020-03-02,18.65,18.65,17.9,18.38,80552.0
2020-02-28,18.82,19.1,17.61,18.44,60085.0
2020-02-27,19.6,19.77,19.03,19.07,36820.0
2020-02-26,20.06,20.17,19.06,19.7,50555.0
2020-02-25,20.04,20.04,19.355,19.97,34996.0
2020-02-24,20.05,20.15,19.93,19.96,33581.0
2020-02-21,20.53,20.56,20.31,20.46,14140.0
2020-02-20,20.46,20.74,20.24,20.47,38862.0
