date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,1.95,2.11,1.93,1.97,9816.0
2020-04-08,2.0,2.02,1.93,2.02,4716.0
2020-04-07,2.05,2.096,1.92,1.92,8436.0
2020-04-06,2.18,2.2,1.9201,2.057,2735.0
2020-04-03,2.05,2.05,1.9,1.915,7919.0
2020-04-02,2.01,2.15,1.9,2.0473,5568.0
2020-04-01,1.9853,2.1298,1.98,2.1298,894.0
2020-03-31,2.12,2.231,1.88,2.0909,25335.0
2020-03-30,2.69,2.69,2.06,2.11,7045.0
2020-03-27,2.25,2.47,2.2,2.2,7853.0
2020-03-26,2.52,2.73,2.04,2.29,8597.0
2020-03-25,2.27,2.675,2.25,2.37,35507.0
2020-03-24,1.89,2.3638,1.89,2.1,20107.0
2020-03-23,1.79,1.9386,1.75,1.87,10922.0
2020-03-20,1.96,2.0,1.61,1.891,15239.0
2020-03-19,2.11,2.9,1.81,2.0,26834.0
2020-03-18,2.6,2.62,1.8,1.9,8180.0
2020-03-17,2.55,3.1399,2.45,2.62,14385.0
2020-03-16,2.75,2.8222,2.02,2.55,33625.0
2020-03-13,0.4772,0.5,0.4207,0.4208,42967.0
2020-03-12,0.404,0.5,0.404,0.5,26757.0
2020-03-11,0.4649,0.5,0.44,0.45,36257.0
2020-03-10,0.4253,0.54,0.4253,0.4428,23784.0
2020-03-09,0.565,0.5679,0.4137,0.49,70203.0
2020-03-06,0.59,0.59,0.535,0.5528,48132.0
2020-03-05,0.6183,0.6313,0.58,0.583,34376.0
2020-03-04,0.631,0.6325,0.5854,0.6222,27367.0
2020-03-03,0.6168,0.64,0.6013,0.631,140594.0
2020-03-02,0.4644,0.7349,0.4644,0.601,301031.0
2020-02-28,0.5297,0.5475,0.4071,0.4423,179503.0
2020-02-27,0.6,0.6,0.45,0.55,206832.0
2020-02-26,0.6001,0.7074,0.6,0.6074,148977.0
2020-02-25,0.51,0.85,0.51,0.67,1416843.0
2020-02-24,0.6114,0.6799,0.52,0.5474,331368.0
2020-02-21,0.705,0.73,0.6394,0.6413,258828.0
2020-02-20,0.7101,0.73,0.6501,0.71,306883.0
2020-02-19,0.67,0.795,0.67,0.73,561818.0
2020-02-18,0.9345,0.97,0.6611,0.77,3104006.0
2020-02-14,0.29,1.24,0.2807,1.0,12534829.0
2020-02-13,0.2625,0.275,0.2625,0.2706,13990.0
2020-02-12,0.275,0.28,0.264,0.2691,16006.0
2020-02-11,0.28,0.28,0.275,0.28,6159.0
2020-02-10,0.28,0.28,0.275,0.2795,19697.0
2020-02-07,0.28,0.29,0.2799,0.281,67240.0
2020-02-06,0.29,0.29,0.2787,0.29,60830.0
