date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,6.4,6.41,6.0,6.41,27817.0
2020-04-08,6.13,6.41,6.11,6.4,4821.0
2020-04-07,6.0,6.34,5.99,6.2,7740.0
2020-04-06,5.99,6.0,5.7294,5.9,8502.0
2020-04-03,5.902,6.2202,5.634,5.9,15929.0
2020-04-02,6.26,6.38,5.9052,6.06,15735.0
2020-04-01,5.975,5.975,5.74,5.95,9028.0
2020-03-31,5.9,6.45,5.89,6.42,4956.0
2020-03-30,6.0,6.03,5.41,6.03,2423.0
2020-03-27,6.16,6.55,5.41,6.0,23469.0
2020-03-26,4.8447,6.89,4.8447,6.65,16175.0
2020-03-25,5.29,5.3,4.5,4.92,74818.0
2020-03-24,4.8299,5.56,4.7979,5.29,21461.0
2020-03-23,5.0,5.02,4.2581,4.41,33455.0
2020-03-20,5.28,5.326,5.24,5.3,15256.0
2020-03-19,5.05,5.56,5.05,5.4,9987.0
2020-03-18,5.76,6.114,4.76,5.2368,35289.0
2020-03-17,6.45,6.497,6.0,6.06,14338.0
2020-03-16,6.0,6.3,5.6,6.12,38353.0
2020-03-13,6.74,6.74,6.35,6.36,41156.0
2020-03-12,6.82,6.99,6.27,6.28,46145.0
2020-03-11,6.9938,7.01,6.92,6.92,5485.0
2020-03-10,7.16,7.205,7.0,7.01,16880.0
2020-03-09,7.57,7.57,6.92,7.0,13574.0
2020-03-06,7.75,7.78,7.66,7.68,6099.0
2020-03-05,7.77,8.25,7.63,7.8215,16878.0
2020-03-04,8.335,8.335,8.0,8.0,2127.0
2020-03-03,8.0,8.3,7.95,8.0,5248.0
2020-03-02,7.98,8.2999,7.9,8.04,9558.0
2020-02-28,8.01,8.125,8.01,8.02,12516.0
2020-02-27,8.25,8.26,8.12,8.23,14942.0
2020-02-26,8.25,8.27,8.25,8.25,1088.0
2020-02-25,8.25,8.3,8.25,8.26,7493.0
2020-02-24,8.3,8.3267,8.25,8.3267,9482.0
2020-02-21,8.3,8.6,8.3,8.33,5062.0
2020-02-20,8.354,8.3883,8.31,8.35,5719.0
2020-02-19,8.4,8.4,8.3556,8.37,3821.0
2020-02-18,8.3,8.4315,8.3,8.43,7511.0
2020-02-14,8.33,8.42,8.3,8.42,4819.0
2020-02-13,8.3957,8.3987,8.3,8.3665,4664.0
2020-02-12,8.5142,8.57,8.31,8.57,3282.0
2020-02-11,8.45,8.5091,8.3618,8.3895,1587.0
2020-02-10,8.2986,8.55,8.2986,8.3396,1661.0
2020-02-07,8.75,8.75,8.6,8.6,4302.0
2020-02-06,8.2092,8.7969,8.18,8.5731,242827.0
2020-02-05,8.23,8.2744,8.1,8.1825,5460.0
2020-02-04,8.1,8.3789,8.0,8.25,17598.0
2020-02-03,8.25,8.25,8.0169,8.1,3814.0
2020-01-31,8.2,8.25,8.2,8.25,3639.0
2020-01-30,8.185,8.48,8.12,8.48,5733.0
2020-01-29,8.39,8.58,8.015,8.35,28354.0
2020-01-28,9.03,9.1345,8.36,8.4025,21795.0
2020-01-27,9.1002,9.19,9.0201,9.1,2875.0
2020-01-24,9.16,9.17,9.15,9.17,1098.0
2020-01-23,9.05,9.2,9.01,9.01,5694.0
2020-01-22,9.02,9.19,8.9,9.19,10202.0
2020-01-21,9.0,9.11,8.9,9.11,8131.0
2020-01-17,9.09,9.17,9.0,9.0,4257.0
2020-01-16,9.0,9.05,9.0,9.05,4358.0
2020-01-15,9.0,9.09,9.0,9.02,4100.0
2020-01-14,9.03,9.24,9.0,9.02,9989.0
2020-01-13,9.01,9.3,9.01,9.04,8533.0
2020-01-10,9.08,9.2151,9.08,9.18,2446.0
2020-01-09,9.23,9.29,9.22,9.25,21524.0
2020-01-08,9.15,9.15,9.15,9.15,379.0
2020-01-07,9.16,9.23,9.11,9.15,5146.0
2020-01-06,9.03,9.2875,9.0,9.2,13477.0
2020-01-03,9.0872,9.33,9.04,9.08,6738.0
2020-01-02,9.32,9.4091,9.25,9.25,3453.0
2019-12-31,9.35,9.425,9.25,9.31,11886.0
2019-12-30,9.25,9.3403,9.25,9.27,5252.0
2019-12-27,9.1502,9.39,9.1502,9.25,9789.0
2019-12-26,9.08,9.3797,9.04,9.16,8666.0
2019-12-24,9.27,9.45,9.0457,9.16,4993.0
2019-12-23,9.45,9.5,8.55,9.27,9970.0
2019-12-20,9.4,9.49,9.08,9.49,29756.0
2019-12-19,9.3,9.45,9.14,9.45,7810.0
2019-12-18,9.165,9.48,9.12,9.43,4067.0
2019-12-17,9.0,9.35,8.85,9.35,8779.0
2019-12-16,9.24,9.25,9.0,9.24,6385.0
2019-12-13,8.957,9.18,8.924,9.18,3572.0
2019-12-12,9.09,9.1,8.9098,9.09,4136.0
2019-12-11,8.96,9.25,8.96,9.12,3018.0
2019-12-10,9.01,9.2012,8.8701,9.02,22332.0
2019-12-09,8.88,9.13,8.88,9.0,2337.0
