date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,12.19,12.19,11.2,11.2,2787.0
2020-03-30,10.92,11.14,10.92,11.14,983.0
2020-03-27,10.97,10.97,10.9699,10.97,1503.0
2020-03-26,10.5,10.5,9.5,9.5,1315.0
2020-03-25,10.75,13.0,10.5,13.0,6775.0
2020-03-24,13.45,13.45,11.3001,11.75,536.0
2020-03-23,9.1,9.95,8.06,9.74,852.0
2020-03-20,8.5,9.1,8.255,9.1,2901.0
2020-03-19,10.0,10.0,7.2931,7.31,4424.0
2020-03-18,9.4,9.4,8.04,8.49,3248.0
2020-03-17,9.34,9.95,8.64,9.47,7911.0
2020-03-16,6.12,11.33,6.12,8.71,15934.0
2020-03-13,12.6029,12.6029,12.6,12.6,527.0
2020-03-12,13.0001,13.42,12.25,12.99,5925.0
2020-03-11,13.9,14.0,13.35,13.7,5110.0
2020-03-10,14.0,14.0,13.55,13.9,4716.0
2020-03-09,13.6,14.0,13.25,14.0,3315.0
2020-03-06,13.8,13.99,13.8,13.84,2320.0
2020-03-05,13.98,14.0,13.8,13.8,3902.0
2020-03-04,13.78,14.0,13.45,14.0,4653.0
2020-03-03,14.15,14.15,13.81,13.95,3414.0
2020-03-02,14.15,14.15,14.0,14.15,1830.0
2020-02-28,14.17,14.17,14.17,14.17,255.0
2020-02-27,13.7,14.2,13.34,13.92,8033.0
2020-02-26,14.0,14.0,13.455,13.75,3720.0
2020-02-25,14.0,14.2,13.0,14.0,5409.0
2020-02-24,13.53,14.19,12.61,14.19,4099.0
2020-02-21,13.8,14.19,13.59,14.19,3300.0
2020-02-20,13.9,13.95,13.9,13.9,1761.0
2020-02-19,14.19,14.2,13.8343,13.95,7483.0
2020-02-18,13.95,14.19,13.95,14.19,4310.0
2020-02-14,13.53,13.99,13.53,13.99,1545.0
2020-02-13,13.5,13.94,13.5,13.94,2858.0
2020-02-12,13.7,13.95,13.7,13.7,1890.0
2020-02-11,13.4,13.89,13.4,13.7,6367.0
2020-02-10,13.48,13.9,13.0738,13.9,3159.0
2020-02-07,13.571,13.8,13.4751,13.8,12980.0
2020-02-06,13.49,13.6,13.4484,13.49,9751.0
2020-02-05,14.1,14.1,13.0737,13.5,16418.0
2020-02-04,13.68,13.99,13.67,13.99,2003.0
2020-02-03,13.71,13.71,13.6763,13.68,3671.0
2020-01-31,13.73,13.73,13.73,13.73,518.0
2020-01-30,12.91,13.73,12.91,13.73,1166.0
2020-01-29,13.55,13.75,13.45,13.68,8252.0
2020-01-28,13.5,13.75,13.5,13.74,1208.0
2020-01-27,13.58,13.98,13.56,13.65,9004.0
2020-01-24,14.1,14.1,12.024,13.79,2935.0
2020-01-23,13.99,14.2,13.92,14.1,29200.0
2020-01-22,13.96,13.96,13.96,13.96,0.0
2020-01-21,13.96,13.96,13.96,13.96,136.0
2020-01-17,13.41,14.0,13.25,14.0,12154.0
2020-01-16,12.52,12.9,12.52,12.9,122737.0
2020-01-15,12.6,12.9,12.6,12.9,1596.0
2020-01-14,12.6,12.6,12.6,12.6,3038.0
2020-01-13,12.45,12.76,12.28,12.76,14030.0
2020-01-10,12.02,12.1,12.0,12.1,106207.0
2020-01-09,11.88,11.99,11.8,11.99,66373.0
2020-01-08,11.915,12.0,11.915,11.99,2603.0
2020-01-07,12.0,12.0,11.99,11.99,5229.0
2020-01-06,12.45,12.45,12.07,12.07,3429.0
2020-01-03,12.0,12.0,12.0,12.0,10.0
2020-01-02,12.0,12.0,12.0,12.0,3300.0
2019-12-31,12.0,12.0,12.0,12.0,633.0
2019-12-30,12.5,12.5,12.5,12.5,20.0
2019-12-27,12.5,12.5,12.5,12.5,0.0
2019-12-26,12.5,12.5,12.5,12.5,165.0
2019-12-24,12.0,12.5,12.0,12.5,1900.0
2019-12-23,12.0,12.5,12.0,12.5,25094.0
2019-12-20,12.0,12.0,12.0,12.0,5050.0
2019-12-19,12.55,12.55,12.55,12.55,163.0
2019-12-18,11.75,11.75,11.75,11.75,1250.0
