date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,1.84,1.85,1.63,1.72,166002.0
2020-03-30,1.84,1.89,1.75,1.84,138593.0
2020-03-27,1.94,1.985,1.83,1.85,108636.0
2020-03-26,1.96,2.05,1.92,2.01,116921.0
2020-03-25,2.01,2.12,1.9,1.96,93230.0
2020-03-24,2.0,2.09,1.93,2.05,151371.0
2020-03-23,1.88,1.99,1.82,1.91,153544.0
2020-03-20,1.98,2.067,1.8,1.83,244144.0
2020-03-19,2.01,2.15,1.85,2.0,311883.0
2020-03-18,2.22,2.3,1.63,2.02,683004.0
2020-03-17,1.62,2.79,1.4,2.62,985547.0
2020-03-16,1.42,1.68,1.35,1.6,312160.0
2020-03-13,1.51,1.74,1.41,1.59,554950.0
2020-03-12,1.43,1.83,1.38,1.39,854914.0
2020-03-11,1.62,1.65,1.48,1.54,457265.0
2020-03-10,1.7,1.79,1.56,1.7,320751.0
2020-03-09,1.9,1.98,1.65,1.66,617963.0
2020-03-06,2.09,2.185,2.02,2.08,185650.0
2020-03-05,2.15,2.21,2.12,2.16,235389.0
2020-03-04,2.2,2.26,2.13,2.2,315959.0
2020-03-03,2.14,2.2,2.0222,2.17,356669.0
2020-03-02,2.1,2.21,2.0,2.17,405864.0
2020-02-28,2.01,2.16,2.0,2.06,503307.0
2020-02-27,2.23,2.3001,2.04,2.07,647479.0
2020-02-26,2.39,2.45,2.2027,2.29,459647.0
2020-02-25,2.59,2.68,2.35,2.39,365468.0
2020-02-24,2.7,2.74,2.52,2.55,678645.0
2020-02-21,2.76,2.87,2.64,2.82,361080.0
2020-02-20,2.54,2.77,2.54,2.75,728429.0
2020-02-19,2.57,2.69,2.495,2.53,504708.0
2020-02-18,2.41,2.565,2.37,2.54,502723.0
2020-02-14,2.38,2.43,2.34,2.4,269576.0
2020-02-13,2.42,2.45,2.355,2.38,256122.0
2020-02-12,2.46,2.51,2.39,2.44,440272.0
2020-02-11,2.42,2.51,2.3458,2.45,465119.0
2020-02-10,2.37,2.45,2.31,2.43,242385.0
2020-02-07,2.44,2.4649,2.33,2.35,531633.0
2020-02-06,2.57,2.6184,2.41,2.45,507971.0
2020-02-05,2.43,2.58,2.34,2.54,558495.0
2020-02-04,2.54,2.57,2.33,2.4,796975.0
2020-02-03,2.69,2.72,2.46,2.51,759057.0
2020-01-31,2.87,2.905,2.6,2.68,641953.0
2020-01-30,2.78,2.95,2.65,2.86,420820.0
2020-01-29,2.71,2.7991,2.61,2.74,396842.0
2020-01-28,2.63,2.8368,2.56,2.69,322614.0
2020-01-27,2.65,2.65,2.41,2.6,325791.0
2020-01-24,2.77,2.97,2.605,2.65,546971.0
2020-01-23,2.86,2.89,2.725,2.74,382328.0
2020-01-22,3.2,3.25,2.88,2.89,494240.0
2020-01-21,2.98,3.34,2.98,3.18,396572.0
2020-01-17,3.33,3.46,2.89,2.98,634046.0
2020-01-16,3.2,3.3199,2.95,3.195,625930.0
2020-01-15,2.76,3.23,2.7319,3.15,966453.0
2020-01-14,2.58,2.89,2.546,2.73,433918.0
2020-01-13,2.71,2.71,2.44,2.57,424452.0
2020-01-10,2.9,2.923,2.67,2.69,748010.0
