date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,18.5,19.5,18.5,18.96,14229.0
2020-03-30,19.27,19.69,18.9801,19.02,16137.0
2020-03-27,18.5,20.57,18.4,19.69,19551.0
2020-03-26,19.38,19.99,17.955,18.93,30891.0
2020-03-25,14.51,19.953,14.51,18.81,25660.0
2020-03-24,14.075,17.5,14.075,15.48,27381.0
2020-03-23,15.9597,16.0,12.082,13.6,35710.0
2020-03-20,15.77,18.0,14.14,15.85,25748.0
2020-03-19,9.71,16.5,9.5218,16.0,45278.0
2020-03-18,13.61,13.6198,8.34,9.5,68399.0
2020-03-17,18.91,20.173,13.6,13.72,45872.0
2020-03-16,22.8,22.8,17.55,18.7,30507.0
2020-03-13,18.28,23.4885,18.28,23.46,19790.0
2020-03-12,22.12,22.12,16.01,18.2698,63244.0
2020-03-11,23.02,24.4772,22.073,22.8953,18606.0
2020-03-10,24.99,24.99,23.25,23.91,10294.0
2020-03-09,24.45,24.45,22.25,23.13,19758.0
2020-03-06,24.9724,25.26,24.8,24.8,8164.0
2020-03-05,25.25,25.2654,24.99,25.16,4143.0
2020-03-04,25.175,25.26,24.8995,25.26,4953.0
2020-03-03,25.3499,25.3499,24.66,25.125,8274.0
2020-03-02,24.64,25.35,24.6311,25.35,8789.0
2020-02-28,24.95,24.9612,24.34,24.85,25696.0
2020-02-27,24.88,25.1,24.88,24.9792,18670.0
2020-02-26,25.01,25.3,25.0,25.0,9583.0
2020-02-25,25.358,25.358,24.82,24.8312,9821.0
2020-02-24,25.3172,25.4998,25.16,25.16,10831.0
2020-02-21,25.36,25.36,25.36,25.36,789.0
2020-02-20,25.4,25.45,25.4,25.4,4042.0
2020-02-19,25.72,25.72,25.41,25.4364,2292.0
2020-02-18,25.4,25.46,25.4,25.4,7681.0
2020-02-14,25.5,25.6,25.4,25.48,4856.0
2020-02-13,25.5,25.537,25.3212,25.537,14066.0
2020-02-12,25.82,25.9,25.81,25.9,3177.0
2020-02-11,25.8585,25.89,25.79,25.801,25142.0
2020-02-10,25.85,25.87,25.75,25.815,13570.0
2020-02-07,25.79,26.0049,25.77,25.85,40603.0
2020-02-06,25.6848,25.7735,25.6443,25.7735,3569.0
2020-02-05,25.68,25.79,25.6286,25.79,2628.0
2020-02-04,25.71,25.8,25.55,25.665,5998.0
2020-02-03,25.94,25.94,25.6425,25.6701,7193.0
2020-01-31,25.59,25.7,25.53,25.7,4897.0
2020-01-30,25.6299,25.6299,25.5,25.56,6330.0
2020-01-29,25.5069,25.5805,25.5069,25.58,4033.0
2020-01-28,25.4923,25.608,25.4923,25.6,1137.0
2020-01-27,25.47,25.573,25.4601,25.47,3649.0
2020-01-24,25.62,25.65,25.5143,25.5857,4428.0
2020-01-23,25.5491,25.585,25.5491,25.585,2049.0
2020-01-22,25.44,25.61,25.44,25.5724,17425.0
2020-01-21,25.44,25.44,25.4,25.4399,10075.0
2020-01-17,25.4,25.435,25.3755,25.41,7782.0
2020-01-16,25.4012,25.43,25.39,25.39,9063.0
2020-01-15,25.35,25.43,25.35,25.4,6803.0
2020-01-14,25.3502,25.4,25.35,25.37,9297.0
2020-01-13,25.4,25.4,25.32,25.37,3735.0
2020-01-10,25.3463,25.41,25.33,25.4,2183.0
2020-01-09,25.4,25.45,25.373,25.39,8950.0
2020-01-08,25.46,25.4983,25.38,25.38,16452.0
2020-01-07,25.36,25.6583,25.313,25.51,12655.0
2020-01-06,25.32,25.42,25.32,25.3531,9627.0
2020-01-03,25.34,25.35,25.304,25.32,14290.0
2020-01-02,25.1,25.35,25.1,25.35,13535.0
2019-12-31,25.3297,25.349,25.2,25.25,13495.0
2019-12-30,25.36,25.4362,25.13,25.14,7151.0
2019-12-27,25.25,25.34,25.12,25.295,5583.0
2019-12-26,25.25,25.25,25.15,25.236,1322.0
2019-12-24,25.2,25.3,25.18,25.3,2765.0
2019-12-23,25.1,25.2,25.05,25.19,6687.0
2019-12-20,25.0505,25.1435,25.02,25.0661,5420.0
2019-12-19,25.15,25.18,25.05,25.05,4928.0
2019-12-18,25.06,25.2,25.01,25.08,11381.0
2019-12-17,25.07,25.2,25.0,25.16,16917.0
2019-12-16,25.0,25.093,24.91,24.9404,17601.0
2019-12-13,25.0416,25.0496,24.98,25.0004,5751.0
2019-12-12,25.0,25.2,24.95,24.95,15619.0
2019-12-11,24.94,25.08,24.94,25.0,4258.0
2019-12-10,25.04,25.0583,24.91,24.9359,11530.0
2019-12-09,25.06,25.06,25.0,25.0,4990.0
2019-12-06,25.11,25.14,25.03,25.05,10208.0
2019-12-05,25.1,25.18,25.1,25.1099,5966.0
2019-12-04,25.1184,25.12,24.99,25.0,7876.0
2019-12-03,25.1388,25.19,25.11,25.11,5199.0
2019-12-02,25.2,25.2,25.03,25.15,6017.0
2019-11-29,25.0554,25.2,25.0,25.2,10533.0
2019-11-27,25.1403,25.1403,25.02,25.0919,18122.0
2019-11-26,25.16,25.16,25.1,25.135,6133.0
2019-11-25,25.2,25.2,25.15,25.17,5629.0
2019-11-22,25.17,25.29,25.1301,25.29,2874.0
2019-11-21,25.111,25.21,25.111,25.21,3577.0
2019-11-20,25.156,25.23,25.0906,25.21,7229.0
2019-11-19,25.26,25.26,25.0501,25.11,5847.0
2019-11-18,25.29,25.29,25.2373,25.25,4587.0
2019-11-15,25.357,25.3848,25.25,25.29,5464.0
2019-11-14,25.25,25.37,25.1812,25.37,7319.0
2019-11-13,25.6276,25.74,25.5715,25.64,4839.0
2019-11-12,25.67,25.67,25.6051,25.66,2944.0
2019-11-11,25.55,25.68,25.5456,25.68,5000.0
2019-11-08,25.5974,25.61,25.55,25.6,3501.0
2019-11-07,25.56,25.6144,25.47,25.59,8527.0
2019-11-06,25.5901,25.65,25.45,25.4718,5575.0
2019-11-05,25.64,25.7,25.28,25.65,25514.0
2019-11-04,25.509,25.73,25.5,25.62,10579.0
2019-11-01,25.45,25.5,25.3,25.5,7214.0
2019-10-31,25.28,25.47,25.28,25.47,32108.0
2019-10-30,25.3,25.38,25.29,25.3,12054.0
2019-10-29,25.38,25.38,25.29,25.36,7705.0
2019-10-28,25.33,25.38,25.3184,25.38,7495.0
2019-10-25,25.28,25.41,25.28,25.365,3341.0
2019-10-24,25.405,25.41,25.4,25.4,2493.0
2019-10-23,25.34,25.41,25.28,25.3758,23059.0
2019-10-22,25.26,25.3622,25.25,25.28,16279.0
2019-10-21,25.3841,25.3841,25.25,25.3185,7808.0
2019-10-18,25.37,25.41,25.344,25.37,4400.0
2019-10-17,25.2501,25.34,25.2383,25.325,7313.0
2019-10-16,25.35,25.3705,25.2198,25.2501,3633.0
2019-10-15,25.2147,25.322,25.201,25.21,2695.0
2019-10-14,25.33,25.354,25.25,25.32,2444.0
2019-10-11,25.3072,25.3072,25.18,25.24,1824.0
2019-10-10,25.19,25.32,25.12,25.32,3797.0
2019-10-09,25.3225,25.3225,25.2095,25.2095,5241.0
2019-10-08,25.26,25.43,25.25,25.2879,4379.0
2019-10-07,25.16,25.31,25.16,25.25,5081.0
2019-10-04,25.25,25.2505,25.1101,25.1565,6689.0
2019-10-03,25.11,25.2,25.1,25.1934,8483.0
2019-10-02,25.2232,25.2232,25.15,25.15,2815.0
2019-10-01,25.1834,25.3,25.16,25.2,12719.0
2019-09-30,25.2442,25.33,25.1,25.1,21411.0
2019-09-27,25.29,25.29,25.15,25.23,6381.0
2019-09-26,25.12,25.252,25.12,25.25,3969.0
2019-09-25,25.2,25.26,25.14,25.26,3681.0
2019-09-24,25.18,25.2614,25.15,25.21,8841.0
2019-09-23,25.2396,25.3,25.15,25.17,24647.0
2019-09-20,25.3,25.33,25.2,25.33,4539.0
2019-09-19,25.27,25.33,25.1801,25.33,7001.0
2019-09-18,25.18,25.3,25.18,25.3,10846.0
2019-09-17,25.17,25.2,25.1256,25.19,4258.0
2019-09-16,25.03,25.1969,25.03,25.1969,3534.0
2019-09-13,25.12,25.1773,25.09,25.14,18106.0
2019-09-12,25.0847,25.12,25.05,25.12,8111.0
2019-09-11,25.12,25.136,25.05,25.11,14009.0
2019-09-10,25.05,25.1207,25.05,25.12,12024.0
2019-09-09,25.05,25.14,25.0,25.13,11563.0
2019-09-06,25.24,25.25,25.01,25.07,37570.0
2019-09-05,25.2,25.2,25.04,25.141,14696.0
2019-09-04,25.15,25.2033,25.11,25.11,4357.0
2019-09-03,25.15,25.179,25.0467,25.13,9988.0
2019-08-30,25.1778,25.178,25.0943,25.15,26412.0
2019-08-29,25.1668,25.19,25.06,25.14,11328.0
2019-08-28,25.1,25.2,25.1,25.17,7321.0
2019-08-27,25.1396,25.19,25.0,25.1,4807.0
2019-08-26,25.0551,25.18,25.0551,25.17,2937.0
2019-08-23,25.1176,25.2,25.046,25.18,2083.0
2019-08-22,25.0699,25.2,25.01,25.11,8577.0
2019-08-21,25.12,25.12,25.0388,25.1,5469.0
2019-08-20,24.93,25.13,24.93,24.98,5744.0
2019-08-19,25.0,25.08,24.9466,24.95,10701.0
2019-08-16,24.95,24.98,24.9,24.98,10953.0
2019-08-15,24.66,24.95,24.66,24.9,17556.0
2019-08-14,24.9,24.9,24.62,24.62,45803.0
2019-08-13,25.21,25.38,25.21,25.36,33047.0
2019-08-12,25.35,25.3942,25.2478,25.25,20536.0
2019-08-09,25.3216,25.49,25.319,25.46,8601.0
2019-08-08,25.29,25.4648,25.26,25.26,14835.0
2019-08-07,25.4915,25.55,25.2,25.2,28667.0
2019-08-06,25.6,25.71,25.48,25.5499,34417.0
2019-08-05,25.5999,25.674,25.5,25.51,14219.0
2019-08-02,25.6268,25.73,25.57,25.65,11303.0
2019-08-01,25.73,25.73,25.55,25.58,8213.0
2019-07-31,25.6,25.79,25.393,25.79,31414.0
2019-07-30,25.6,25.6,25.4818,25.52,5433.0
2019-07-29,25.4093,25.548,25.4093,25.53,8532.0
2019-07-26,25.56,25.6,25.41,25.45,11948.0
2019-07-25,25.4815,25.56,25.47,25.56,9675.0
2019-07-24,25.5,25.629,25.46,25.61,22823.0
2019-07-23,25.5,25.5,25.42,25.5,5517.0
2019-07-22,25.4092,25.5,25.4092,25.5,6625.0
2019-07-19,25.5,25.5,25.4101,25.5,5156.0
2019-07-18,25.52,25.5944,25.3919,25.5,16419.0
2019-07-17,25.2788,25.52,25.2788,25.52,5644.0
2019-07-16,25.44,25.44,25.3014,25.3366,10453.0
2019-07-15,25.3889,25.42,25.3889,25.42,4780.0
2019-07-12,25.25,25.49,25.18,25.42,32653.0
2019-07-11,25.2975,25.36,25.2,25.26,11205.0
2019-07-10,25.29,25.33,25.23,25.32,5375.0
2019-07-09,25.2239,25.3,25.2239,25.3,3727.0
2019-07-08,25.3,25.35,25.23,25.3,2771.0
2019-07-05,25.3,25.35,25.22,25.34,4454.0
2019-07-03,25.31,25.3127,25.2961,25.31,4769.0
2019-07-02,25.25,25.4,25.1904,25.25,7075.0
2019-07-01,25.33,25.33,25.2042,25.25,4286.0
2019-06-28,25.15,25.41,25.1456,25.39,28971.0
2019-06-27,25.2,25.2,25.0933,25.14,13495.0
2019-06-26,25.1,25.2789,25.1,25.2,19378.0
2019-06-25,25.2,25.3,25.1,25.13,13052.0
2019-06-24,25.3,25.3,25.2,25.24,5754.0
2019-06-21,25.2825,25.3,25.25,25.3,2679.0
2019-06-20,25.14,25.3,25.1,25.3,17846.0
2019-06-19,25.03,25.14,25.02,25.14,12299.0
2019-06-18,25.1778,25.27,25.1,25.12,22675.0
2019-06-17,25.1,25.2357,25.02,25.03,13249.0
2019-06-14,25.15,25.2299,24.99,25.01,48853.0
2019-06-13,25.03,25.29,25.03,25.13,3469.0
2019-06-12,25.26,25.2813,25.03,25.04,27242.0
2019-06-11,25.2657,25.39,25.02,25.2,23924.0
2019-06-10,25.2,25.2,25.01,25.01,45369.0
2019-06-07,25.195,25.259,25.14,25.2,19825.0
2019-06-06,25.25,25.3305,25.16,25.18,17537.0
2019-06-05,25.26,25.3315,25.25,25.3,11444.0
2019-06-04,25.49,25.5,25.26,25.27,5244.0
2019-06-03,25.308,25.3699,25.26,25.3206,8301.0
2019-05-31,25.45,25.45,25.23,25.23,20426.0
2019-05-30,25.3601,25.4,25.35,25.4,8389.0
2019-05-29,25.6,25.65,25.2025,25.35,8497.0
2019-05-28,25.21,25.4504,25.21,25.38,8435.0
2019-05-24,25.3,25.3442,25.25,25.32,6641.0
2019-05-23,25.25,25.3,25.2,25.26,10847.0
2019-05-22,25.326,25.33,25.102,25.26,15165.0
2019-05-21,25.2961,25.2961,25.15,25.165,10254.0
2019-05-20,25.09,25.2473,25.075,25.21,23167.0
2019-05-17,25.1539,25.1539,25.0,25.05,11101.0
2019-05-16,25.123,25.21,25.05,25.18,8412.0
2019-05-15,25.08,25.11,25.0,25.11,9119.0
2019-05-14,25.08,25.08,24.9,25.07,15953.0
2019-05-13,25.31,25.48,25.31,25.43,9299.0
2019-05-10,25.3445,25.4969,25.3445,25.4,9001.0
2019-05-09,25.4,25.4,25.2,25.4,7191.0
2019-05-08,25.5799,25.5799,25.38,25.39,3520.0
2019-05-07,25.56,25.64,25.4278,25.51,4832.0
2019-05-06,25.476,25.476,25.38,25.38,2731.0
2019-05-03,25.4133,25.4942,25.4001,25.4942,6892.0
2019-05-02,25.41,25.49,25.4024,25.49,7119.0
2019-05-01,25.5,25.53,25.3,25.32,6004.0
2019-04-30,25.3,25.6787,25.28,25.55,41818.0
2019-04-29,25.2099,25.29,25.18,25.29,15294.0
2019-04-26,25.2599,25.26,25.13,25.13,12799.0
2019-04-25,25.2,25.26,25.2,25.25,7647.0
2019-04-24,25.24,25.26,25.19,25.26,12617.0
2019-04-23,25.0899,25.25,25.0899,25.25,9443.0
2019-04-22,25.0501,25.19,25.05,25.16,14707.0
2019-04-18,25.2219,25.2493,25.01,25.02,19532.0
2019-04-17,25.34,25.34,25.18,25.18,19004.0
2019-04-16,25.28,25.3295,25.22,25.3001,2613.0
2019-04-15,25.32,25.3201,25.2,25.21,9805.0
2019-04-12,25.34,25.34,25.27,25.27,2727.0
2019-04-11,25.23,25.3583,25.23,25.251,2129.0
2019-04-10,25.21,25.3,25.21,25.29,5304.0
2019-04-09,25.21,25.3881,25.21,25.3384,3137.0
2019-04-08,25.2568,25.3,25.21,25.21,5098.0
