date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,7.286,7.286,7.286,7.286,0.0
2020-04-08,7.286,7.286,7.286,7.286,0.0
2020-04-07,7.286,7.286,7.286,7.286,0.0
2020-04-06,7.286,7.286,7.286,7.286,0.0
2020-04-03,7.25,7.2863,7.25,7.2863,350.0
2020-04-02,7.5,7.5,7.4638,7.4638,1780.0
2020-04-01,7.41,7.41,7.41,7.41,800.0
2020-03-31,7.5,7.5,7.5,7.5,400.0
2020-03-30,7.5,7.5,7.45,7.45,1500.0
2020-03-27,7.41,7.41,7.41,7.41,0.0
2020-03-26,7.41,7.41,7.41,7.41,0.0
2020-03-25,7.41,7.41,7.41,7.41,0.0
2020-03-24,7.41,7.41,7.41,7.41,0.0
2020-03-23,7.41,7.41,7.41,7.41,1600.0
2020-03-20,7.961,7.961,7.961,7.961,0.0
2020-03-19,8.41,8.41,7.9609,7.9609,5230.0
2020-03-18,9.67,9.67,9.67,9.67,100.0
2020-03-17,9.9,9.9,9.9,9.9,300.0
2020-03-16,10.0,10.0297,9.9,9.9,5525.0
2020-03-13,10.0123,10.0123,10.01,10.01,2000.0
2020-03-12,10.0,10.0768,10.0,10.0768,1675.0
2020-03-11,10.15,10.15,10.0,10.0024,4100.0
2020-03-10,9.91,9.91,9.91,9.91,0.0
2020-03-09,9.91,9.91,9.91,9.91,250.0
2020-03-06,10.16,10.16,10.0,10.0,2320.0
2020-03-05,10.16,10.16,10.16,10.16,550.0
2020-03-04,10.16,10.16,10.16,10.16,0.0
2020-03-03,10.39,10.39,10.16,10.16,700.0
2020-03-02,10.147,10.147,10.147,10.147,50.0
2020-02-28,10.1278,10.147,10.1278,10.147,6000.0
2020-02-27,10.05,10.0582,9.97,9.9998,5450.0
2020-02-26,10.2026,10.2026,10.08,10.1361,7800.0
2020-02-25,10.29,10.29,10.12,10.12,6900.0
2020-02-24,10.45,10.4522,10.3,10.3052,15677.0
2020-02-21,10.15,10.15,10.15,10.15,0.0
2020-02-20,10.0539,10.15,10.0539,10.1499,17023.0
2020-02-19,10.0,10.0,10.0,10.0,0.0
2020-02-18,10.0828,10.0828,10.0,10.0,967.0
2020-02-14,9.97,9.97,9.97,9.97,400.0
2020-02-13,10.09,10.09,10.04,10.04,1553.0
2020-02-12,10.15,10.15,10.1409,10.1409,1000.0
2020-02-11,10.08,10.08,10.08,10.08,0.0
2020-02-10,10.081,10.081,10.08,10.08,1435.0
2020-02-07,10.1518,10.1518,10.0,10.0757,2820.0
2020-02-06,10.15,10.2,10.15,10.2,1595.0
2020-02-04,9.94,10.1363,9.94,10.1363,1852.0
2020-02-03,9.9681,9.9681,9.9681,9.9681,1.0
2020-01-31,9.97,10.15,9.95,9.9681,10995.0
2020-01-30,9.98,10.21,9.98,10.2,754.0
2020-01-29,10.25,10.25,10.01,10.01,19885.0
2020-01-28,10.272,10.288,10.26,10.2757,600.0
2020-01-27,10.44,10.44,10.263,10.263,1400.0
2020-01-24,10.44,10.44,10.44,10.44,3.0
2020-01-23,10.44,10.44,10.44,10.44,75.0
2020-01-22,10.44,10.44,10.44,10.44,0.0
2020-01-21,10.44,10.44,10.44,10.44,500.0
