date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,3.46,3.46,3.2611,3.355,26381.0
2020-04-23,3.18,3.525,3.1,3.48,71661.0
2020-04-22,3.21,3.21,3.05,3.17,15157.0
2020-04-21,3.21,3.21,3.02,3.18,43900.0
2020-04-20,3.2436,3.2599,3.12,3.22,33573.0
2020-04-17,3.31,3.3958,3.11,3.27,102682.0
2020-04-16,3.29,3.29,3.08,3.23,96373.0
2020-04-15,3.32,3.4485,3.11,3.25,31273.0
2020-04-14,3.46,3.6172,3.3,3.32,61031.0
2020-04-13,3.54,3.54,3.4,3.43,37558.0
2020-04-09,3.225,3.59,3.2192,3.48,134267.0
2020-04-08,3.14,3.2422,3.1,3.16,31674.0
2020-04-07,3.3,3.5,3.03,3.08,40249.0
2020-04-06,2.94,3.24,2.94,3.1,68121.0
2020-04-03,3.09,3.1396,2.8,2.8,29989.0
2020-04-02,2.96,3.179,2.905,2.99,34813.0
2020-04-01,3.78,3.88,2.94,2.96,74871.0
2020-03-31,3.6,3.9599,3.6,3.86,89649.0
2020-03-30,4.34,4.94,3.5201,3.59,105222.0
2020-03-27,3.49,4.41,3.47,4.3,124027.0
2020-03-26,3.45,4.36,3.42,3.84,180271.0
2020-03-25,2.9,3.44,2.88,3.4,82726.0
2020-03-24,2.44,3.0,2.325,2.885,140081.0
2020-03-23,2.54,2.54,2.21,2.29,70546.0
2020-03-20,2.5,2.75,2.21,2.61,236159.0
2020-03-19,2.52,2.62,2.15,2.5,112775.0
2020-03-18,3.03,3.155,2.23,2.4,148025.0
2020-03-17,2.95,3.7627,2.95,3.07,162751.0
2020-03-16,3.81,5.25,2.8,2.89,134271.0
2020-03-13,4.05,4.3,3.92,3.92,74011.0
2020-03-12,4.4,4.4,3.8226,4.03,139406.0
2020-03-11,4.57,4.7,4.4,4.55,76624.0
2020-03-10,4.77,5.265,3.8,4.69,258420.0
2020-03-09,5.15,5.4082,4.54,4.79,124387.0
2020-03-06,5.2,5.2074,4.4,5.1,329814.0
2020-03-05,5.37,5.52,5.2,5.2,44099.0
2020-03-04,5.37,5.74,5.1001,5.5,148653.0
2020-03-03,6.1,6.127,5.46,5.53,221445.0
2020-03-02,6.99,7.05,5.9,6.1,224536.0
2020-02-28,7.18,7.54,6.4301,7.29,105843.0
2020-02-27,7.08,7.22,6.82,7.155,143906.0
2020-02-26,7.32,7.41,7.09,7.24,75991.0
2020-02-25,7.75,7.78,7.28,7.29,39433.0
2020-02-24,7.77,7.83,7.5686,7.72,18540.0
2020-02-21,7.98,8.05,7.84,7.84,21846.0
2020-02-20,7.9,8.0752,7.84,7.96,15193.0
2020-02-19,8.08,8.13,7.93,7.94,39466.0
2020-02-18,8.06,8.13,7.95,8.04,30318.0
2020-02-14,7.915,8.1,7.9,8.04,35764.0
2020-02-13,7.9,7.98,7.8058,7.91,26519.0
2020-02-12,7.85,7.93,7.82,7.87,18329.0
2020-02-11,7.8,7.89,7.77,7.84,13878.0
2020-02-10,7.79,7.86,7.74,7.75,18414.0
2020-02-07,7.75,7.83,7.6217,7.76,13734.0
2020-02-06,7.825,7.87,7.64,7.75,10175.0
2020-02-05,7.54,7.82,7.54,7.77,31110.0
2020-02-04,7.52,7.6392,7.51,7.57,29680.0
2020-02-03,7.61,7.74,7.5,7.51,31751.0
2020-01-31,7.8179,7.8179,7.55,7.57,31360.0
2020-01-30,7.94,7.94,7.73,7.79,21471.0
2020-01-29,7.89,8.08,7.79,7.79,28377.0
2020-01-28,7.8736,7.905,7.8,7.86,14728.0
2020-01-27,7.8156,8.01,7.72,7.87,49288.0
2020-01-24,7.95,8.09,7.85,8.03,133514.0
2020-01-23,7.85,7.85,7.59,7.81,20479.0
2020-01-22,7.84,7.92,7.83,7.85,52695.0
2020-01-21,7.91,7.91,7.83,7.88,60997.0
2020-01-17,7.9,7.915,7.8141,7.87,74498.0
2020-01-16,7.89,8.03,7.76,7.93,46381.0
2020-01-15,7.91,8.02,7.81,7.81,51708.0
2020-01-14,7.96,8.0,7.91,7.92,25149.0
2020-01-13,7.9668,7.985,7.9,7.94,25302.0
2020-01-10,7.97,8.0,7.87,7.96,19881.0
2020-01-09,7.93,8.0076,7.87,7.92,29941.0
2020-01-08,7.97,8.015,7.75,7.86,44119.0
2020-01-07,7.94,8.09,7.9,7.96,45440.0
2020-01-06,7.99,8.08,7.92,8.0,19413.0
2020-01-03,8.0468,8.2839,7.95,7.96,24257.0
2020-01-02,8.25,8.28,8.0,8.0,26930.0
2019-12-31,8.2,8.29,8.09,8.25,77934.0
2019-12-30,7.98,8.215,7.98,8.15,29648.0
2019-12-27,8.05,8.14,7.98,7.99,41485.0
2019-12-26,8.28,8.28,7.9602,8.11,94705.0
2019-12-24,8.13,8.29,7.97,8.27,35300.0
2019-12-23,8.0,8.11,7.98,8.0,21396.0
2019-12-20,8.08,8.108,7.98,7.98,23091.0
2019-12-19,8.2,8.2,8.07,8.1,34696.0
2019-12-18,8.17,8.19,8.05,8.15,49516.0
2019-12-17,8.02,8.18,8.02,8.09,26499.0
2019-12-16,8.24,8.26,8.0401,8.08,31891.0
2019-12-13,8.3,8.3,8.16,8.2,42782.0
2019-12-12,8.21,8.37,8.1185,8.29,57363.0
2019-12-11,8.13,8.35,8.12,8.16,26463.0
2019-12-10,8.16,8.4293,8.06,8.19,29003.0
2019-12-09,8.2,8.2,8.0299,8.17,53070.0
2019-12-06,7.94,8.5,7.94,8.36,107973.0
2019-12-05,7.88,8.05,7.86,7.96,59561.0
2019-12-04,7.97,8.13,7.9,7.9,147539.0
2019-12-03,7.95,8.07,7.9,7.98,38882.0
2019-12-02,8.0,8.05,7.91,8.0,92984.0
2019-11-29,8.01,8.21,7.85,8.01,26158.0
2019-11-27,7.94,8.01,7.79,8.0,80289.0
2019-11-26,8.11,8.2,7.98,8.01,103062.0
2019-11-25,7.95,8.18,7.9005,8.11,39924.0
2019-11-22,7.85,7.98,7.79,7.97,81967.0
2019-11-21,7.92,7.92,7.74,7.81,69416.0
2019-11-20,8.23,8.23,7.81,7.92,57370.0
2019-11-19,7.72,8.24,7.71,7.78,69474.0
2019-11-18,7.76,7.87,7.7127,7.75,28446.0
2019-11-15,8.0,8.06,7.75,7.85,152997.0
2019-11-14,8.21,8.2373,8.01,8.04,64733.0
2019-11-13,8.28,8.29,8.13,8.195,102827.0
2019-11-12,8.39,8.475,8.25,8.27,45760.0
2019-11-11,8.57,8.57,8.39,8.45,46330.0
2019-11-08,8.89,8.89,8.5,8.53,58529.0
2019-11-07,8.57,8.93,8.57,8.84,121537.0
2019-11-06,8.71,8.89,8.25,8.89,209530.0
2019-11-05,8.67,8.76,8.62,8.76,25949.0
2019-11-04,8.44,8.68,8.44,8.62,24279.0
2019-11-01,8.4762,8.53,8.37,8.48,37352.0
2019-10-31,8.51,8.51,8.21,8.45,27008.0
2019-10-30,8.62,8.63,8.13,8.51,129084.0
2019-10-29,8.3113,8.57,8.3113,8.54,56228.0
2019-10-28,8.35,8.4,8.27,8.36,59466.0
2019-10-25,8.05,8.31,8.01,8.3,46411.0
2019-10-24,8.06,8.1,7.84,8.05,39359.0
2019-10-23,7.95,8.15,7.92,8.01,111733.0
2019-10-22,7.897,7.92,7.82,7.9,35004.0
2019-10-21,7.84,7.9,7.83,7.88,26889.0
2019-10-18,7.85,7.93,7.8,7.85,46111.0
2019-10-17,7.81,7.95,7.76,7.84,65872.0
2019-10-16,7.7,7.879,7.67,7.79,57122.0
2019-10-15,7.7897,7.85,7.65,7.73,32736.0
2019-10-14,7.61,7.68,7.61,7.65,45866.0
2019-10-11,7.61,7.7799,7.6,7.68,45302.0
2019-10-10,7.7079,7.7079,7.56,7.61,33630.0
2019-10-09,7.6,7.7,7.52,7.62,15789.0
2019-10-08,7.5,7.64,7.5,7.61,31335.0
2019-10-07,7.65,7.65,7.51,7.6,39941.0
2019-10-04,7.5,7.67,7.45,7.61,44133.0
2019-10-03,7.5889,7.5889,7.36,7.5,59803.0
2019-10-02,7.78,7.79,7.51,7.58,95108.0
2019-10-01,8.19,8.2,7.7413,7.8,79252.0
2019-09-30,8.03,8.24,8.0262,8.13,110167.0
2019-09-27,7.94,8.1,7.885,8.01,109499.0
2019-09-26,7.6918,7.93,7.6918,7.9,40225.0
2019-09-25,7.68,7.68,7.545,7.67,34280.0
2019-09-24,7.7281,7.75,7.68,7.68,39601.0
2019-09-23,7.84,7.9,7.6,7.73,117487.0
2019-09-20,7.892,7.94,7.7816,7.84,39564.0
2019-09-19,7.57,7.9201,7.56,7.84,109231.0
2019-09-18,7.5,7.8861,7.37,7.58,182131.0
2019-09-17,7.3244,7.62,7.3244,7.56,87689.0
2019-09-16,7.4,7.5,7.315,7.37,58830.0
2019-09-13,7.4,7.5,7.35,7.41,45573.0
2019-09-12,7.24,7.545,7.16,7.41,45712.0
2019-09-11,7.2366,7.28,7.2,7.28,31614.0
2019-09-10,7.2373,7.24,7.13,7.24,33599.0
2019-09-09,7.24,7.24,7.07,7.24,19786.0
2019-09-06,7.19,7.24,7.02,7.19,15761.0
2019-09-05,7.13,7.2,6.94,7.19,26172.0
2019-09-04,7.2,7.23,6.99,7.1,43846.0
2019-09-03,7.19,7.2299,7.14,7.2,44270.0
2019-08-30,7.04,7.2,7.037,7.17,32121.0
2019-08-29,6.95,7.2,6.92,7.08,35989.0
2019-08-28,7.04,7.1083,6.845,6.99,44351.0
2019-08-27,7.12,7.12,6.85,6.97,65981.0
2019-08-26,7.16,7.1852,7.04,7.04,25477.0
2019-08-23,7.21,7.24,7.11,7.18,29166.0
2019-08-22,7.2356,7.34,7.2,7.24,19738.0
2019-08-21,7.18,7.3,7.18,7.22,8969.0
2019-08-20,7.31,7.31,7.18,7.21,37312.0
2019-08-19,7.24,7.3651,7.09,7.26,47321.0
2019-08-16,7.44,7.44,7.21,7.24,47364.0
2019-08-15,7.49,7.56,7.27,7.33,67155.0
