date,1. open,2. high,3. low,4. close,5. volume
2020-04-23,9.99,9.99,9.99,9.99,0.0
2020-04-22,9.99,9.99,9.99,9.99,400.0
2020-04-21,10.0,10.0,10.0,10.0,0.0
2020-04-20,10.0,10.0,10.0,10.0,0.0
2020-04-17,10.0,10.0,10.0,10.0,0.0
2020-04-16,10.0,10.0,10.0,10.0,0.0
2020-04-15,9.9962,10.0,9.9962,10.0,4000.0
2020-04-14,10.0,10.0,10.0,10.0,72.0
2020-04-13,10.0,10.0,10.0,10.0,0.0
2020-04-09,10.0,10.0,10.0,10.0,3.0
2020-04-08,10.0,10.0,10.0,10.0,3.0
2020-04-07,10.0,10.0,10.0,10.0,0.0
2020-04-06,10.0,10.0,10.0,10.0,0.0
2020-04-03,10.0,10.0,10.0,10.0,1.0
2020-04-02,10.0,10.0,10.0,10.0,0.0
2020-04-01,10.0,10.0,10.0,10.0,53.0
2020-03-31,9.65,10.0,9.65,10.0,51272.0
2020-03-30,9.65,9.65,9.65,9.65,0.0
2020-03-27,9.65,9.65,9.65,9.65,0.0
2020-03-26,9.65,9.65,9.65,9.65,0.0
2020-03-25,9.65,9.65,9.65,9.65,250000.0
2020-03-24,9.6,9.6,9.6,9.6,625000.0
2020-03-23,9.6,9.6,9.6,9.6,350000.0
2020-03-20,9.4,9.4,9.4,9.4,0.0
2020-03-19,9.5,9.5,9.4,9.4,235900.0
2020-03-18,9.6,9.6,9.25,9.5,28004.0
2020-03-17,9.523,9.523,9.523,9.523,0.0
2020-03-16,8.94,9.99,8.94,9.5227,729.0
2020-03-13,10.0,10.0,10.0,10.0,0.0
2020-03-12,10.0,10.0,10.0,10.0,0.0
2020-03-11,10.0,10.0,10.0,10.0,0.0
2020-03-10,10.0,10.0,10.0,10.0,0.0
2020-03-09,9.74,10.07,9.74,10.0,725.0
2020-03-06,10.04,10.04,10.04,10.04,0.0
2020-03-05,10.04,10.04,10.04,10.04,181800.0
2020-03-04,10.08,10.08,10.08,10.08,0.0
2020-03-03,10.08,10.08,10.08,10.08,0.0
2020-03-02,10.08,10.08,10.08,10.08,0.0
2020-02-28,10.08,10.08,10.08,10.08,20600.0
2020-02-27,10.08,10.08,10.08,10.08,14800.0
2020-02-26,10.1,10.1,10.1,10.1,0.0
2020-02-25,10.1,10.1,10.1,10.1,0.0
2020-02-24,10.1,10.1,10.1,10.1,2660.0
2020-02-21,10.1,10.1012,10.1,10.1012,2500.0
2020-02-20,10.1,10.1,10.1,10.1,10.0
