date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,2.62,2.68,2.535,2.58,238994.0
2020-04-08,2.6,2.655,2.52,2.58,234555.0
2020-04-07,2.71,2.84,2.58,2.58,450322.0
2020-04-06,2.64,2.7,2.57,2.7,260186.0
2020-04-03,2.58,2.64,2.5,2.58,228681.0
2020-04-02,2.61,2.68,2.5,2.57,375178.0
2020-04-01,2.64,2.74,2.61,2.65,298628.0
2020-03-31,2.66,2.82,2.66,2.73,165723.0
2020-03-30,2.78,2.78,2.6,2.66,386353.0
2020-03-27,2.73,2.94,2.68,2.79,326988.0
2020-03-26,2.73,2.85,2.66,2.82,520800.0
2020-03-25,3.11,3.18,2.64,2.75,1857094.0
2020-03-24,2.48,2.64,2.38,2.64,443561.0
2020-03-23,2.31,2.41,2.26,2.32,389267.0
2020-03-20,2.43,2.58,2.33,2.35,399398.0
2020-03-19,2.22,2.38,2.09,2.36,305803.0
2020-03-18,2.25,2.36,2.17,2.2,404601.0
2020-03-17,2.45,2.5,2.33,2.42,270762.0
2020-03-16,2.31,2.45,2.03,2.38,520937.0
2020-03-13,2.64,2.67,2.5,2.51,387117.0
2020-03-12,2.71,2.8,2.5,2.5,779528.0
2020-03-11,3.01,3.02,2.88,2.92,543739.0
2020-03-10,3.25,3.25,2.9,2.91,986016.0
2020-03-09,3.22,3.26,3.05,3.1,512796.0
2020-03-06,3.43,3.52,3.36,3.45,366806.0
2020-03-05,3.58,3.58,3.48,3.5,170472.0
2020-03-04,3.68,3.68,3.51,3.6,299932.0
2020-03-03,3.62,3.6527,3.45,3.6,142741.0
2020-03-02,3.51,3.68,3.48,3.64,400097.0
2020-02-28,3.49,3.49,3.32,3.41,419984.0
2020-02-27,3.65,3.65,3.5,3.52,390630.0
2020-02-26,3.71,3.8,3.6301,3.69,195315.0
2020-02-25,3.85,3.87,3.66,3.69,239852.0
2020-02-24,3.78,3.87,3.71,3.84,478174.0
2020-02-21,3.85,4.2683,3.74,3.96,1192462.0
2020-02-20,3.68,3.96,3.67,3.85,593247.0
2020-02-19,3.64,3.7227,3.6,3.62,364269.0
2020-02-18,3.67,3.78,3.61,3.66,340022.0
2020-02-14,3.69,3.7685,3.67,3.7,183675.0
2020-02-13,3.71,3.81,3.6,3.64,315133.0
2020-02-12,3.89,3.9,3.68,3.72,744427.0
2020-02-11,3.73,4.03,3.7,3.78,1001510.0
2020-02-10,3.7,3.72,3.61,3.72,162400.0
2020-02-07,3.75,3.78,3.61,3.61,255097.0
2020-02-06,3.77,3.88,3.7267,3.8,301196.0
2020-02-05,3.7,3.79,3.58,3.77,255348.0
2020-02-04,3.64,3.75,3.6,3.67,365212.0
2020-02-03,3.5,3.6,3.5,3.57,248599.0
2020-01-31,3.55,3.65,3.5,3.51,382610.0
2020-01-30,3.66,3.67,3.52,3.6,393610.0
2020-01-29,3.79,3.84,3.7,3.73,137475.0
2020-01-28,3.8,3.94,3.75,3.79,262454.0
2020-01-27,3.57,3.9,3.5,3.78,337061.0
2020-01-24,3.95,4.05,3.71,3.75,426922.0
2020-01-23,4.03,4.03,3.855,3.92,595503.0
2020-01-22,4.16,4.29,3.97,4.13,1082145.0
