date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,3.5804,3.6,3.5804,3.6,667.0
2020-03-30,3.76,3.76,3.5201,3.53,8320.0
2020-03-27,3.65,3.65,3.65,3.65,326.0
2020-03-26,3.955,3.99,3.92,3.96,4664.0
2020-03-25,3.66,4.07,3.66,3.76,19183.0
2020-03-24,3.0774,3.7,2.96,3.57,43862.0
2020-03-23,3.13,3.2199,2.92,2.965,32815.0
2020-03-20,3.84,3.84,3.25,3.25,16451.0
2020-03-19,3.43,3.43,3.29,3.4,3895.0
2020-03-18,3.77,3.77,3.25,3.25,9425.0
2020-03-17,3.6374,3.75,3.3,3.67,41192.0
2020-03-16,3.58,3.92,3.5,3.66,19697.0
2020-03-13,4.11,4.25,3.86,4.06,20522.0
2020-03-12,4.02,4.02,3.8,3.99,79092.0
2020-03-11,4.2902,4.31,3.72,4.187,91618.0
2020-03-10,4.35,4.458,4.29,4.29,39779.0
2020-03-09,4.48,4.48,4.1505,4.25,27088.0
2020-03-06,4.7,4.713,4.6,4.6,27484.0
2020-03-05,4.94,4.94,4.73,4.73,5165.0
2020-03-04,4.9099,4.97,4.7,4.93,30521.0
2020-03-03,4.8,5.0,4.75,4.9,43268.0
2020-03-02,4.92,5.08,4.8,4.8,61935.0
2020-02-28,5.39,5.62,5.0754,5.0754,5067.0
2020-02-27,5.355,5.355,4.92,4.92,15303.0
2020-02-26,4.71,5.66,4.6,5.46,202155.0
2020-02-25,4.8226,4.96,4.75,4.79,99554.0
2020-02-24,4.98,4.98,4.7,4.97,64270.0
2020-02-21,5.1584,5.18,5.02,5.02,17695.0
2020-02-20,5.22,5.3,5.11,5.15,15662.0
2020-02-19,5.18,5.654,5.08,5.13,35926.0
2020-02-18,5.2,5.7438,5.1,5.7438,3985.0
2020-02-14,5.14,5.5168,5.1349,5.185,29539.0
2020-02-13,5.3439,5.3439,5.135,5.16,42211.0
2020-02-12,5.2573,5.27,5.18,5.23,14315.0
2020-02-11,5.4,5.4,5.07,5.135,61172.0
2020-02-10,5.4,5.45,5.25,5.25,11169.0
2020-02-07,5.48,5.5074,5.32,5.38,30583.0
2020-02-06,5.5073,5.6,5.4312,5.48,39363.0
2020-02-05,5.52,5.6,5.31,5.5,28868.0
2020-02-04,5.53,5.5879,5.3972,5.47,30659.0
2020-02-03,5.65,5.74,5.41,5.42,41848.0
2020-01-31,5.6,5.74,5.42,5.6492,35187.0
2020-01-30,5.7106,5.73,5.6533,5.68,7916.0
2020-01-29,5.6873,5.7,5.66,5.68,8819.0
2020-01-28,5.62,5.65,5.55,5.65,12495.0
2020-01-27,5.37,5.68,5.35,5.56,26846.0
