date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,2.91,3.07,2.7,2.97,417350.0
2020-04-23,3.0,3.09,2.9201,3.0,104389.0
2020-04-22,3.12,3.1338,3.0,3.05,107478.0
2020-04-21,3.26,3.2999,3.04,3.13,179665.0
2020-04-20,3.09,3.1,2.8,3.05,182401.0
2020-04-17,3.26,3.28,3.05,3.17,209954.0
2020-04-16,3.15,3.29,3.04,3.23,225632.0
2020-04-15,3.5,3.5,3.03,3.15,395028.0
2020-04-14,3.68,3.7,3.26,3.35,1084087.0
2020-04-13,3.25,3.46,3.01,3.08,1116883.0
2020-04-09,3.7,3.8,3.08,3.4,7859455.0
2020-04-08,2.09,2.1873,2.04,2.17,153618.0
2020-04-07,2.1,2.14,1.96,2.12,59177.0
2020-04-06,2.08,2.24,2.03,2.14,172741.0
2020-04-03,2.0,2.16,1.89,2.07,104872.0
2020-04-02,1.82,2.13,1.82,1.98,261872.0
2020-04-01,2.09,2.09,1.66,1.8,103440.0
2020-03-31,1.92,2.24,1.92,2.04,300901.0
2020-03-30,1.81,1.9,1.76,1.86,140388.0
2020-03-27,1.86,1.9,1.66,1.78,169295.0
2020-03-26,1.92,1.95,1.78,1.88,243187.0
2020-03-25,1.74,1.91,1.72,1.82,232029.0
2020-03-24,1.85,1.88,1.67,1.8,310255.0
2020-03-23,2.02,2.1,1.68,1.8,263723.0
2020-03-20,1.8,1.9586,1.75,1.78,231722.0
2020-03-19,2.1,2.1,1.5566,1.71,401019.0
2020-03-18,2.2,2.2002,1.8731,2.01,304041.0
2020-03-17,2.45,2.65,2.21,2.28,280627.0
2020-03-16,2.5,2.6,1.97,2.25,596174.0
2020-03-13,4.4,4.4,3.0,3.34,983147.0
2020-03-12,5.6,5.8,4.0,5.26,4056952.0
2020-03-11,4.75,7.7,3.15,3.95,11929649.0
2020-03-10,2.05,2.05,1.9237,2.02,18858.0
2020-03-09,2.1,2.1,1.9,1.9081,8090.0
2020-03-06,2.1,2.18,2.0,2.1109,16227.0
2020-03-05,1.88,2.31,1.88,2.06,49547.0
2020-03-04,2.0,2.0,1.655,1.7698,40784.0
2020-03-03,2.01,2.0223,2.0,2.0001,4328.0
2020-03-02,2.35,2.35,2.0,2.01,12584.0
2020-02-28,2.48,2.9471,2.02,2.1429,117411.0
2020-02-27,1.75,2.7,1.65,2.315,99221.0
2020-02-26,1.825,1.89,1.6692,1.7498,8579.0
2020-02-25,1.78,1.78,1.682,1.69,17162.0
2020-02-24,1.925,1.97,1.54,1.6801,65377.0
2020-02-21,2.01,2.01,2.0001,2.0001,2881.0
2020-02-20,2.12,2.12,1.9,1.99,16261.0
2020-02-19,2.1765,2.1765,2.095,2.0999,13321.0
2020-02-18,2.27,2.28,2.1,2.1,38848.0
2020-02-14,2.48,2.48,2.2891,2.39,16919.0
2020-02-13,2.19,2.19,2.07,2.07,5228.0
2020-02-12,2.3192,2.3192,2.3192,2.3192,600.0
2020-02-11,2.3435,2.36,2.2613,2.298,8148.0
2020-02-10,2.4822,2.4822,2.3191,2.3191,890.0
2020-02-07,2.224,2.371,2.22,2.32,2626.0
2020-02-06,2.36,2.49,2.36,2.38,5772.0
2020-02-05,2.325,2.4,2.295,2.3923,5807.0
2020-02-04,2.4325,2.4499,2.16,2.2516,14609.0
2020-02-03,2.33,2.41,2.25,2.39,13257.0
2020-01-31,2.45,2.48,2.11,2.3784,11934.0
2020-01-30,2.5,2.5498,2.311,2.4999,4898.0
2020-01-29,2.6441,2.66,2.43,2.5,22442.0
2020-01-28,2.61,2.71,2.51,2.55,8461.0
2020-01-27,2.721,2.721,2.721,2.721,505.0
2020-01-24,2.66,2.725,2.611,2.622,16319.0
2020-01-23,2.7362,2.8,2.7,2.72,5311.0
2020-01-22,2.71,2.8482,2.7077,2.7959,6727.0
2020-01-21,2.77,2.8113,2.7,2.77,16068.0
2020-01-17,2.8086,2.8486,2.77,2.7792,6849.0
2020-01-16,2.91,3.0782,2.8,2.8466,15573.0
2020-01-15,3.04,3.04,2.8798,2.9,7993.0
2020-01-14,3.135,3.19,2.98,3.02,20094.0
2020-01-13,3.2,3.3232,3.01,3.27,25375.0
2020-01-10,2.71,3.45,2.71,3.26,115868.0
2020-01-09,3.01,4.75,2.52,3.0401,1416470.0
2020-01-08,2.6,2.6,2.6,2.6,545.0
2020-01-07,2.5553,3.15,2.5091,2.6,10437.0
2020-01-06,2.5557,2.5557,2.42,2.55,13580.0
2020-01-03,2.8749,2.8749,2.8749,2.8749,620.0
2020-01-02,2.88,2.8865,2.59,2.8339,4928.0
2019-12-31,2.48,2.91,2.48,2.7,18147.0
2019-12-30,2.6137,2.9372,2.36,2.36,16479.0
2019-12-27,2.5,2.99,2.5,2.9,10755.0
2019-12-26,3.1,3.1,2.45,2.45,11182.0
2019-12-24,3.12,3.12,2.7034,2.7034,3257.0
2019-12-23,2.65,3.13,2.65,3.13,6524.0
2019-12-20,2.65,2.65,2.65,2.65,454.0
2019-12-19,2.62,2.65,2.62,2.65,391.0
2019-12-18,2.62,2.62,2.61,2.62,804.0
2019-12-17,2.6283,2.65,2.6283,2.63,2214.0
2019-12-16,2.83,3.0857,2.65,2.65,5357.0
2019-12-13,2.9858,2.9858,2.8349,2.8349,1426.0
2019-12-12,2.77,2.77,2.74,2.74,3562.0
2019-12-11,2.88,3.03,2.85,2.95,7911.0
2019-12-10,2.5504,2.8,2.5503,2.8,3196.0
2019-12-09,2.66,2.66,2.6,2.6373,1394.0
2019-12-06,2.692,2.692,2.692,2.692,16.0
2019-12-05,2.692,2.692,2.692,2.692,298.0
2019-12-04,2.87,2.87,2.7,2.78,1728.0
