date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,51.39,52.5,49.92,51.76,189841.0
2020-04-23,52.06,53.98,50.465,51.31,155191.0
2020-04-22,52.65,52.99,51.09,51.92,179319.0
2020-04-21,50.81,53.49,49.01,52.15,243512.0
2020-04-20,49.18,51.98,49.18,51.36,280661.0
2020-04-17,49.29,50.77,47.45,50.0,515454.0
2020-04-16,50.54,50.66,46.75,47.44,296118.0
2020-04-15,49.16,51.1,48.33,50.35,178577.0
2020-04-14,51.51,53.905,50.25,51.08,190120.0
2020-04-13,48.66,51.48,47.75,51.11,204970.0
2020-04-09,47.0,49.44,46.2651,49.11,301343.0
2020-04-08,46.3,47.3,45.245,46.81,203718.0
2020-04-07,46.5,47.535,43.1565,45.69,452225.0
2020-04-06,43.06,45.93,40.96,45.46,392268.0
2020-04-03,41.75,42.09,39.555,41.14,323439.0
2020-04-02,39.25,42.91,39.25,42.22,253963.0
2020-04-01,42.58,44.29,38.985,39.94,323939.0
2020-03-31,43.86,45.955,42.49,44.66,218863.0
2020-03-30,42.3,44.26,41.26,44.13,223906.0
2020-03-27,44.53,45.59,41.11,42.1,218872.0
2020-03-26,45.4,48.7,43.3206,46.46,327497.0
2020-03-25,43.93,47.18,43.93,45.36,279356.0
2020-03-24,40.6,44.48,40.21,44.25,367899.0
2020-03-23,37.58,40.825,35.87,38.86,320263.0
2020-03-20,36.02,38.28,34.18,36.66,545544.0
2020-03-19,32.45,36.75,32.27,35.58,665454.0
2020-03-18,33.78,34.915,31.649,32.46,768953.0
2020-03-17,32.9,36.605,31.3042,35.13,740783.0
2020-03-16,35.1,36.05,32.0,32.02,393197.0
2020-03-13,36.84,39.78,34.39,38.63,525066.0
2020-03-12,37.1,38.99,34.45,34.95,355311.0
2020-03-11,42.87,44.99,39.28,40.54,369078.0
2020-03-10,43.75,45.7828,41.0,44.14,283490.0
2020-03-09,43.11,45.85,42.03,42.04,300781.0
2020-03-06,47.31,48.71,45.3,47.02,410964.0
2020-03-05,50.25,51.45,48.33,49.03,349650.0
2020-03-04,50.29,53.52,49.75,51.9,369550.0
2020-03-03,50.98,52.49,49.03,49.33,423455.0
2020-03-02,50.02,51.34,47.76,51.28,259928.0
2020-02-28,49.34,52.4,47.3,49.57,399296.0
2020-02-27,50.37,53.0,48.53,51.15,335816.0
2020-02-26,50.34,52.86,50.08,51.6,452812.0
2020-02-25,53.92,54.18,50.07,50.34,220723.0
2020-02-24,54.01,54.69,53.04,53.84,229450.0
2020-02-21,58.39,58.39,55.12,56.09,201233.0
2020-02-20,60.08,60.58,58.31,58.48,172777.0
2020-02-19,60.0,61.91,59.4416,60.23,172898.0
2020-02-18,61.04,61.26,58.31,59.77,197342.0
2020-02-14,62.18,62.5818,60.96,61.08,132730.0
2020-02-13,65.24,65.4557,59.46,62.17,341738.0
2020-02-12,63.94,66.98,63.94,66.17,372415.0
2020-02-11,63.48,64.4499,62.4761,63.85,303413.0
2020-02-10,63.28,63.76,62.3,63.15,415596.0
2020-02-07,63.65,63.85,62.01,63.28,414125.0
2020-02-06,62.7,64.69,62.16,63.85,485685.0
2020-02-05,60.57,62.61,59.98,62.45,364663.0
2020-02-04,60.2,60.96,59.34,60.4,480439.0
2020-02-03,58.85,60.7,58.1,59.8,515096.0
2020-01-31,60.35,60.37,55.93,58.5,603494.0
2020-01-30,58.61,60.85,58.09,60.45,200003.0
2020-01-29,58.49,59.93,57.71,59.16,169876.0
2020-01-28,58.71,59.79,57.46,58.23,262907.0
2020-01-27,56.65,58.86,55.22,58.68,248896.0
2020-01-24,59.3,59.3,56.7059,57.85,522214.0
2020-01-23,59.01,59.7,58.39,59.44,336156.0
2020-01-22,60.5,60.78,58.72,59.11,518657.0
2020-01-21,59.5,63.93,58.5,60.45,474828.0
2020-01-17,58.89,60.15,57.18,59.95,301249.0
2020-01-16,54.58,59.7,53.99,58.36,1158112.0
2020-01-15,53.86,54.465,52.5,53.85,388023.0
2020-01-14,52.84,54.5609,51.7,53.83,456391.0
2020-01-13,56.2,56.2,51.75,53.01,695877.0
2020-01-10,63.01,63.01,53.59,56.82,1316378.0
2020-01-09,64.75,67.54,64.12,65.35,342364.0
2020-01-08,63.49,65.94,61.17,64.3,515661.0
2020-01-07,63.33,64.71,62.24,63.7,409540.0
2020-01-06,60.9,63.54,59.25,63.33,369924.0
2020-01-03,61.82,62.71,60.73,61.47,298478.0
2020-01-02,62.6,63.0,60.54,63.0,252769.0
2019-12-31,61.94,63.385,61.0,62.29,348841.0
2019-12-30,60.57,62.62,59.51,62.13,510573.0
2019-12-27,62.03,62.22,60.0,60.63,258884.0
2019-12-26,61.23,62.89,59.9702,61.91,245068.0
2019-12-24,62.7,62.7,60.5,61.04,225869.0
2019-12-23,63.25,63.94,59.8373,62.7,407999.0
