date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.7,1.7,1.63,1.69,116326.0
2020-04-23,1.69,1.77,1.6,1.68,289265.0
2020-04-22,1.64,1.71,1.63,1.67,105340.0
2020-04-21,1.62,1.64,1.55,1.6,185338.0
2020-04-20,1.62,1.73,1.6,1.64,229877.0
2020-04-17,1.85,1.8595,1.65,1.69,333496.0
2020-04-16,1.8,1.8201,1.65,1.71,211182.0
2020-04-15,1.74,1.915,1.65,1.8,737071.0
2020-04-14,1.71,1.8,1.6,1.79,422070.0
2020-04-13,1.61,1.6425,1.52,1.64,224871.0
2020-04-09,1.62,1.735,1.6,1.65,313124.0
2020-04-08,1.5,1.67,1.47,1.6,703452.0
2020-04-07,1.49,1.59,1.4,1.43,404438.0
2020-04-06,1.38,1.46,1.35,1.43,261412.0
2020-04-03,1.4,1.4,1.3,1.39,241051.0
2020-04-02,1.46,1.52,1.36,1.4,213422.0
2020-04-01,1.4,1.46,1.35,1.4,243654.0
2020-03-31,1.44,1.5,1.37,1.46,265483.0
2020-03-30,1.51,1.5274,1.41,1.42,275740.0
2020-03-27,1.66,1.66,1.4,1.51,338471.0
2020-03-26,1.69,1.73,1.58,1.62,422505.0
2020-03-25,1.6,1.79,1.56,1.65,509175.0
2020-03-24,1.59,1.6099,1.5,1.6,362184.0
2020-03-23,1.54,1.54,1.3511,1.48,234139.0
2020-03-20,1.53,1.7,1.41,1.55,371159.0
2020-03-19,1.58,1.58,1.45,1.5,258373.0
2020-03-18,1.51,1.6,1.355,1.58,533581.0
2020-03-17,1.53,1.62,1.41,1.5902,296358.0
2020-03-16,1.57,1.57,1.34,1.5412,469490.0
2020-03-13,1.45,1.6,1.45,1.59,466805.0
2020-03-12,1.46,1.47,1.33,1.45,2504780.0
2020-03-11,1.56,1.68,1.44,1.56,494009.0
2020-03-10,1.66,1.79,1.49,1.52,456543.0
2020-03-09,1.57,1.63,1.35,1.44,715429.0
2020-03-06,1.72,1.8,1.56,1.74,423365.0
2020-03-05,1.82,1.84,1.6862,1.75,363027.0
2020-03-04,1.9,1.9,1.75,1.8,251103.0
2020-03-03,1.88,2.0,1.71,1.81,296931.0
2020-03-02,1.87,1.8851,1.7698,1.82,149675.0
2020-02-28,1.77,1.87,1.7401,1.82,224394.0
2020-02-27,1.83,1.99,1.7,1.88,278052.0
2020-02-26,2.11,2.14,1.92,1.92,428849.0
2020-02-25,2.15,2.2483,2.0801,2.1,318484.0
2020-02-24,2.3,2.3,2.08,2.13,668470.0
2020-02-21,2.45,2.49,2.32,2.32,166526.0
2020-02-20,2.35,2.5,2.34,2.42,240984.0
2020-02-19,2.41,2.46,2.3,2.34,347773.0
2020-02-18,2.52,2.6,2.39,2.4,519529.0
2020-02-14,2.49,2.61,2.47,2.61,289805.0
2020-02-13,2.47,2.5991,2.47,2.52,223239.0
2020-02-12,2.67,2.8,2.3,2.62,1425729.0
2020-02-11,2.88,3.0,2.85,2.92,538039.0
2020-02-10,2.85,2.95,2.8201,2.85,198380.0
2020-02-07,2.73,2.83,2.72,2.78,130586.0
2020-02-06,2.8,2.83,2.715,2.75,110131.0
2020-02-05,2.7,2.85,2.68,2.81,125779.0
2020-02-04,2.67,2.72,2.6444,2.7,77895.0
2020-02-03,2.65,2.69,2.62,2.64,70909.0
2020-01-31,2.7,2.72,2.61,2.63,82879.0
2020-01-30,2.77,2.7738,2.63,2.72,190578.0
2020-01-29,2.56,2.85,2.56,2.82,192110.0
2020-01-28,2.58,2.66,2.5656,2.66,157339.0
2020-01-27,2.56,2.7025,2.5,2.57,486890.0
2020-01-24,2.92,2.92,2.74,2.75,220239.0
2020-01-23,2.94,2.98,2.86,2.98,136359.0
2020-01-22,2.9,2.97,2.8557,2.95,163216.0
2020-01-21,2.94,2.94,2.82,2.91,220033.0
2020-01-17,2.97,2.98,2.8331,2.94,143707.0
2020-01-16,3.0,3.035,2.925,2.95,155771.0
2020-01-15,2.95,3.07,2.93,2.97,194450.0
2020-01-14,2.82,2.96,2.8,2.95,199557.0
2020-01-13,2.8,2.86,2.8,2.83,90050.0
2020-01-10,2.85,2.9,2.77,2.8,267932.0
2020-01-09,2.87,2.93,2.8,2.84,279352.0
2020-01-08,2.78,2.91,2.77,2.86,238084.0
2020-01-07,2.81,2.85,2.79,2.82,99314.0
2020-01-06,2.7,2.86,2.68,2.81,382893.0
2020-01-03,2.71,2.75,2.6323,2.7,173891.0
2020-01-02,2.7,2.7,2.585,2.68,444818.0
2019-12-31,2.59,2.64,2.55,2.62,342064.0
2019-12-30,2.6,2.71,2.5551,2.65,285337.0
2019-12-27,2.56,2.67,2.55,2.6,356515.0
2019-12-26,2.75,2.76,2.62,2.63,310425.0
2019-12-24,2.72,2.76,2.665,2.76,147245.0
2019-12-23,2.73,2.8,2.7,2.76,162878.0
2019-12-20,2.71,2.77,2.61,2.74,290716.0
2019-12-19,2.71,2.78,2.6873,2.76,113464.0
2019-12-18,2.73,2.78,2.67,2.72,167992.0
2019-12-17,2.85,2.8712,2.7,2.74,313584.0
2019-12-16,2.88,2.94,2.82,2.85,244959.0
2019-12-13,2.84,2.93,2.79,2.85,305708.0
2019-12-12,2.83,2.87,2.75,2.85,337640.0
2019-12-11,2.72,2.845,2.67,2.8,451271.0
2019-12-10,2.71,2.74,2.6799,2.74,260586.0
2019-12-09,2.65,2.72,2.6157,2.71,312328.0
2019-12-06,2.6,2.67,2.56,2.66,264071.0
2019-12-05,2.6,2.67,2.52,2.64,212998.0
2019-12-04,2.67,2.74,2.55,2.57,356021.0
2019-12-03,2.5,2.83,2.44,2.65,1004256.0
2019-12-02,2.34,2.6569,2.34,2.6,1976116.0
2019-11-29,2.44,2.44,2.32,2.33,133429.0
2019-11-27,2.48,2.505,2.41,2.43,163626.0
2019-11-26,2.46,2.48,2.4,2.46,204840.0
2019-11-25,2.46,2.5,2.42,2.44,205879.0
2019-11-22,2.47,2.47,2.4,2.45,264652.0
2019-11-21,2.53,2.55,2.45,2.46,173452.0
2019-11-20,2.42,2.54,2.42,2.5,302232.0
2019-11-19,2.4,2.46,2.33,2.4,446346.0
2019-11-18,2.51,2.55,2.38,2.4,455617.0
2019-11-15,2.59,2.6,2.49,2.5,477972.0
2019-11-14,2.61,2.62,2.5,2.58,248606.0
2019-11-13,2.62,2.65,2.55,2.6,402239.0
2019-11-12,2.63,2.68,2.61,2.63,258381.0
2019-11-11,2.73,2.73,2.62,2.64,246651.0
2019-11-08,2.67,2.75,2.6,2.69,389042.0
2019-11-07,2.73,2.8106,2.69,2.7,599690.0
2019-11-06,2.89,3.01,2.73,2.75,1182947.0
2019-11-05,2.57,2.97,2.57,2.77,1691906.0
2019-11-04,3.49,3.62,3.35,3.39,798333.0
2019-11-01,3.51,3.57,3.37,3.4,802462.0
2019-10-31,3.55,3.56,3.5,3.5,180992.0
2019-10-30,3.55,3.58,3.55,3.57,137431.0
2019-10-29,3.6,3.62,3.52,3.55,125478.0
2019-10-28,3.62,3.705,3.59,3.59,204703.0
2019-10-25,3.58,3.69,3.58,3.64,220991.0
2019-10-24,3.65,3.65,3.58,3.59,166684.0
2019-10-23,3.63,3.7,3.59,3.64,112665.0
2019-10-22,3.61,3.7,3.595,3.62,175374.0
2019-10-21,3.65,3.79,3.6,3.61,155744.0
2019-10-18,3.73,3.76,3.6,3.64,126332.0
2019-10-17,3.71,3.77,3.68,3.76,202418.0
2019-10-16,3.84,3.88,3.7,3.72,172472.0
2019-10-15,3.84,3.87,3.77,3.86,150256.0
2019-10-14,3.75,3.897,3.75,3.86,134715.0
2019-10-11,3.72,3.9,3.71,3.81,286430.0
