date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,255.0,263.86,246.51,249.0,2586037.0
2020-04-08,265.23,274.9039,252.36,258.87,2273165.0
2020-04-07,241.0,274.71,239.05,270.2,3435819.0
2020-04-06,255.73,268.0,247.4212,256.61,1862392.0
2020-04-03,321.55,332.43,292.48,299.01,2605211.0
2020-04-02,357.58,372.6041,325.0,329.02,3177068.0
2020-04-01,359.36,377.938,326.77,367.0,3700544.0
2020-03-31,354.04,359.69,303.3401,313.22,4172689.0
2020-03-30,374.05,402.2787,349.02,350.0,3062564.0
2020-03-27,379.6,384.4,353.4101,376.0,3432491.0
2020-03-26,370.75,381.12,318.19,330.0,3608748.0
2020-03-25,352.51,421.9,350.0,389.15,4852146.0
2020-03-24,255.35,347.75,225.51,336.34,6866497.0
2020-03-23,538.93,580.0,370.35,410.0,6030026.0
2020-03-20,595.0,684.99,440.002,607.56,6358349.0
2020-03-19,893.94,985.14,525.8901,646.0,7959452.0
2020-03-18,720.0,1000.0,648.01,806.36,8737153.0
2020-03-17,555.48,653.96,490.99,578.0,9347395.0
2020-03-16,516.85,627.32,451.28,591.25,7872451.0
2020-03-13,317.17,437.469,315.51,335.4,12517408.0
2020-03-12,367.65,420.0,320.0,397.89,16013384.0
2020-03-11,252.67,286.03,246.8377,270.73,11368552.0
2020-03-10,202.45,258.82,199.74,216.86,14031921.0
2020-03-09,299.0,302.0,233.35,254.38,14600496.0
2020-03-06,190.71,201.56,165.5301,169.9,21006124.0
2020-03-05,125.14,148.37,120.03,139.39,21665571.0
2020-03-04,108.63,117.5,102.4044,105.85,16231150.0
2020-03-03,97.4,124.47,89.01,119.32,26687761.0
2020-03-02,99.97,111.4856,96.44,96.9,19070271.0
2020-02-28,119.66,123.92,103.27,104.5,24699286.0
2020-02-27,86.46,97.42,82.51,97.05,26801202.0
2020-02-26,71.7,78.9432,66.6901,73.07,25210579.0
2020-02-25,60.05,80.0,59.12,76.43,33225371.0
2020-02-24,60.91,64.62,55.95,64.14,28291757.0
2020-02-21,44.32,49.3,43.6,46.8,22996926.0
2020-02-20,39.53,44.36,38.92,41.73,20067660.0
2020-02-19,39.01,39.75,38.45,39.25,7642210.0
2020-02-18,40.28,41.86,39.32,40.35,12273399.0
2020-02-14,39.36,40.73,38.88,39.14,10975405.0
2020-02-13,41.18,41.55,39.15,40.0,11687532.0
2020-02-12,41.12,41.56,38.33,38.56,10776142.0
2020-02-11,41.2,42.9,40.71,42.6,9810868.0
2020-02-10,44.89,44.89,42.17,42.78,7050356.0
2020-02-07,44.5,45.82,42.83,43.65,13154011.0
2020-02-06,42.39,44.25,42.01,42.5,9050333.0
2020-02-05,43.8,46.5,43.3,43.36,10952192.0
2020-02-04,47.85,48.44,45.71,47.14,10985124.0
2020-02-03,53.68,55.16,49.9058,52.74,11279441.0
2020-01-31,48.7,59.42,48.3,56.58,24038829.0
2020-01-30,51.71,53.76,46.45,46.57,16568963.0
2020-01-29,46.16,49.5,45.38,47.8,10368799.0
2020-01-28,51.47,52.16,47.3636,48.0,12236636.0
2020-01-27,52.35,53.9,50.16,53.9,19340176.0
2020-01-24,39.08,46.38,38.83,44.75,23506727.0
2020-01-23,41.78,43.16,40.06,40.2,8606440.0
2020-01-22,38.63,40.58,38.59,40.4,7491242.0
2020-01-21,40.44,40.52,38.36,40.04,8916849.0
2020-01-17,39.15,40.89,39.04,39.36,6793326.0
2020-01-16,40.16,40.349,39.1,39.3,5013766.0
2020-01-15,41.41,41.8,40.63,41.24,5631887.0
2020-01-14,42.18,42.9,40.68,41.52,8810303.0
2020-01-13,43.5,44.21,42.0,42.16,4847615.0
2020-01-10,44.68,45.41,43.51,44.5,8742495.0
2020-01-09,45.96,47.09,44.9,44.96,7977187.0
2020-01-08,49.64,50.17,45.8,48.25,11975421.0
2020-01-07,51.29,52.46,49.29,50.3,8043752.0
2020-01-06,54.98,55.25,50.75,50.75,6544643.0
2020-01-03,54.75,54.97,50.09,51.88,11535882.0
2020-01-02,48.71,50.7575,47.25,47.33,6327075.0
2019-12-31,56.99,57.7293,50.92,51.32,6434221.0
2019-12-30,52.97,57.08,52.87,55.85,7505836.0
2019-12-27,49.77,53.21,49.7366,52.17,4706552.0
2019-12-26,49.58,50.33,49.4304,50.04,2057834.0
2019-12-24,50.87,51.44,50.04,50.3,1585545.0
2019-12-23,50.57,51.49,50.41,51.13,2025605.0
2019-12-20,49.56,51.1,49.24,50.61,5038912.0
2019-12-19,51.79,52.33,49.81,49.86,4704772.0
2019-12-18,50.255,52.35,50.05,52.2,3904176.0
2019-12-17,50.99,52.65,50.64,51.16,4003021.0
2019-12-16,51.54,52.16,50.12,52.14,6043690.0
2019-12-13,60.7,62.0996,54.5201,54.76,9559409.0
2019-12-12,66.81,67.631,59.51,59.99,8273072.0
2019-12-11,68.92,69.7499,66.416,67.32,4392386.0
2019-12-10,69.76,73.0888,67.5501,70.13,5491851.0
2019-12-09,64.12,70.26,63.53,70.15,4877973.0
2019-12-06,63.22,65.5,62.53,63.65,4545489.0
2019-12-05,68.12,72.86,68.026,68.28,5217454.0
2019-12-04,72.27,73.58,68.49,70.19,5771575.0
2019-12-03,79.17,81.8,76.377,77.24,11616635.0
2019-12-02,62.2,70.6788,62.08,68.7,9760637.0
2019-11-29,6.15,6.29,6.1,6.25,18209572.0
2019-11-27,6.01,6.05,5.96,6.04,25912919.0
2019-11-26,6.25,6.31,6.05,6.12,39558384.0
2019-11-25,6.66,6.66,6.3,6.33,36079813.0
2019-11-22,7.2,7.33,6.96,6.96,38694487.0
2019-11-21,7.3,7.69,7.265,7.41,39892834.0
2019-11-20,7.32,7.89,7.1,7.39,65517956.0
2019-11-19,7.0,7.3,6.98,7.24,33116004.0
2019-11-18,7.15,7.26,7.0,7.08,31082887.0
2019-11-15,7.58,7.639,7.11,7.12,45297764.0
2019-11-14,8.06,8.2,7.83,7.83,27379981.0
2019-11-13,8.11,8.17,7.9,8.02,31104606.0
2019-11-12,8.02,8.1,7.82,7.96,32339838.0
2019-11-11,8.54,8.54,7.97,8.14,27953388.0
2019-11-08,8.61,8.74,8.19,8.19,34785507.0
2019-11-07,8.41,8.66,8.34,8.53,31074054.0
2019-11-06,8.75,9.08,8.68,8.72,30836543.0
2019-11-05,8.54,8.8,8.5,8.75,25436182.0
2019-11-04,8.19,8.57,8.15,8.44,24654046.0
2019-11-01,8.74,8.8,8.41,8.43,34267622.0
2019-10-31,9.2,9.58,9.04,9.22,40813895.0
2019-10-30,9.43,9.85,8.97,8.99,41831208.0
2019-10-29,9.61,9.7099,9.35,9.44,27817556.0
2019-10-28,9.13,9.51,9.1,9.41,20694680.0
2019-10-25,10.01,10.03,9.25,9.28,31007615.0
2019-10-24,9.98,10.32,9.86,9.87,26223999.0
2019-10-23,10.53,10.56,10.14,10.15,23813325.0
2019-10-22,10.02,10.44,9.89,10.37,29303490.0
2019-10-21,10.45,10.53,10.1,10.12,24206796.0
2019-10-18,10.87,11.2,10.52,10.69,34139330.0
2019-10-17,10.6,10.9,10.4802,10.77,30704936.0
2019-10-16,11.09,11.3,10.84,10.91,32710151.0
2019-10-15,11.38,11.4,10.87,11.08,46437648.0
2019-10-14,12.66,12.68,11.88,11.89,30173516.0
2019-10-11,13.27,13.39,12.18,12.53,67712523.0
2019-10-10,15.05,15.15,14.0,14.12,35873153.0
2019-10-09,15.18,15.66,14.42,15.04,40486088.0
2019-10-08,15.02,16.16,14.67,16.08,67373592.0
2019-10-07,14.22,14.45,13.46,14.08,32970526.0
2019-10-04,15.071,15.08,13.75,13.77,39865860.0
2019-10-03,16.5,17.4,15.33,15.35,65811968.0
2019-10-02,15.45,16.92,15.39,16.51,87729896.0
2019-10-01,13.05,14.69,12.9224,14.62,59482256.0
2019-09-30,14.12,14.15,13.35,13.6,27702145.0
2019-09-27,13.38,15.1192,13.27,14.31,66269300.0
2019-09-26,13.52,14.2,13.41,13.66,38678955.0
2019-09-25,14.12,15.06,13.29,13.47,47594692.0
2019-09-24,12.46,14.36,12.39,14.14,59275474.0
2019-09-23,13.32,13.43,12.66,13.03,24161227.0
2019-09-20,11.93,13.5,11.83,13.1,40513936.0
2019-09-19,12.33,12.34,11.81,12.14,28739104.0
2019-09-18,13.2,13.81,12.5627,12.57,42777105.0
2019-09-17,13.61,13.82,13.39,13.39,22022064.0
2019-09-16,13.72,13.87,13.16,13.52,26542493.0
2019-09-13,13.36,13.55,12.9236,13.2,30167445.0
2019-09-12,13.78,14.2,13.35,13.5,35487282.0
2019-09-11,14.67,14.77,14.11,14.2,28340295.0
2019-09-10,15.2,15.57,14.631,14.73,32953266.0
2019-09-09,14.55,15.57,14.5,14.78,33740810.0
2019-09-06,15.58,15.79,14.95,15.03,33250503.0
2019-09-05,16.4,16.43,15.54,15.9,32298110.0
2019-09-04,18.0,18.659,17.2,17.21,36211037.0
2019-09-03,19.11,19.77,18.585,19.48,44555740.0
2019-08-30,17.19,18.76,17.15,17.92,37697854.0
2019-08-29,18.26,18.54,17.46,17.81,35412965.0
