date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,11.45,11.98,11.45,11.87,2013843.0
2020-04-08,11.29,11.45,11.12,11.33,1037229.0
2020-04-07,11.25,11.45,11.18,11.26,1442833.0
2020-04-06,11.17,11.25,10.87,11.15,2088296.0
2020-04-03,10.35,10.76,10.12,10.705,2523014.0
2020-04-02,10.37,10.53,10.22,10.38,1799093.0
2020-04-01,10.51,10.75,10.29,10.41,1496826.0
2020-03-31,10.47,10.86,10.34,10.66,2260637.0
2020-03-30,10.44,10.61,10.21,10.52,2022093.0
2020-03-27,10.03,10.33,9.92,10.15,1415919.0
2020-03-26,9.48,10.24,9.48,10.21,1608211.0
2020-03-25,9.62,10.0,9.325,9.44,2000404.0
2020-03-24,9.98,10.38,9.51,9.59,2255375.0
2020-03-23,10.16,10.28,9.645,9.73,1604131.0
2020-03-20,10.23,10.605,10.005,10.09,2282592.0
2020-03-19,10.1,10.45,9.8,10.25,2355322.0
2020-03-18,10.81,11.18,9.93,10.07,2898410.0
2020-03-17,10.77,11.49,10.57,11.15,3685799.0
2020-03-16,10.12,11.275,10.12,10.72,2529976.0
2020-03-13,11.17,11.46,10.57,11.18,3867105.0
2020-03-12,11.3,11.47,10.91,10.94,2669335.0
2020-03-11,11.69,11.835,11.395,11.6,1770663.0
2020-03-10,12.22,12.23,11.55,11.83,2625584.0
2020-03-09,12.42,12.61,12.02,12.13,1973681.0
2020-03-06,12.61,12.8,12.52,12.69,1300187.0
2020-03-05,12.66,12.82,12.57,12.74,1613679.0
2020-03-04,12.87,12.98,12.65,12.78,1019658.0
2020-03-03,12.66,12.88,12.57,12.79,1596103.0
2020-03-02,12.58,12.88,12.56,12.68,1546292.0
2020-02-28,12.52,12.86,12.4,12.71,2017061.0
2020-02-27,12.9,12.94,12.58,12.61,2358874.0
2020-02-26,13.33,13.44,12.99,12.99,1520483.0
2020-02-25,13.21,13.46,13.16,13.29,1168431.0
2020-02-24,12.97,13.235,12.92,13.18,849698.0
2020-02-21,13.23,13.25,13.07,13.11,451265.0
2020-02-20,13.26,13.26,13.01,13.19,559584.0
2020-02-19,13.19,13.42,13.12,13.3,624137.0
2020-02-18,13.25,13.3,13.1,13.18,341525.0
2020-02-14,13.39,13.4,13.2,13.23,372034.0
2020-02-13,13.06,13.41,13.06,13.37,1256720.0
2020-02-12,12.94,13.14,12.86,13.07,564934.0
2020-02-11,13.07,13.23,12.89,12.89,634538.0
2020-02-10,13.14,13.23,12.96,13.06,734494.0
2020-02-07,13.21,13.36,13.13,13.13,794910.0
2020-02-06,13.33,13.68,13.24,13.24,841542.0
2020-02-05,13.2,13.385,13.125,13.29,711981.0
2020-02-04,13.42,13.485,13.15,13.17,1060983.0
2020-02-03,13.47,13.515,13.35,13.4,784830.0
2020-01-31,13.6,13.65,13.41,13.42,727139.0
2020-01-30,13.72,13.76,13.525,13.615,649523.0
2020-01-29,13.98,14.02,13.63,13.67,1121738.0
2020-01-28,14.15,14.18,13.99,14.04,522985.0
2020-01-27,14.0,14.16,13.9401,14.125,1363208.0
2020-01-24,13.99,14.1,13.88,14.09,930406.0
2020-01-23,13.99,14.045,13.83,13.96,1423079.0
2020-01-22,13.92,14.01,13.8,13.82,644195.0
2020-01-21,13.98,13.98,13.84,13.9,761423.0
2020-01-17,14.06,14.06,13.955,14.02,732529.0
2020-01-16,13.97,14.07,13.95,14.0,818645.0
2020-01-15,13.88,14.04,13.85,13.94,721683.0
2020-01-14,14.05,14.05,13.8,13.885,906842.0
2020-01-13,14.0,14.1,13.7638,14.06,510825.0
2020-01-10,14.16,14.18,14.04,14.09,592985.0
2020-01-09,14.1,14.135,14.01,14.12,1202530.0
2020-01-08,14.21,14.26,14.095,14.095,1051879.0
2020-01-07,14.26,14.315,14.13,14.205,876572.0
2020-01-06,14.16,14.29,14.15,14.24,986386.0
2020-01-03,14.22,14.36,14.16,14.26,495099.0
2020-01-02,14.59,14.59,14.12,14.28,1161463.0
2019-12-31,14.48,14.585,14.41,14.54,1007064.0
2019-12-30,14.6,14.6,13.7798,14.48,645873.0
2019-12-27,14.62,14.67,14.5,14.61,648545.0
2019-12-26,14.5,14.59,14.43,14.57,415310.0
2019-12-24,14.47,14.63,14.44,14.52,335800.0
2019-12-23,14.57,14.57,14.46,14.49,499275.0
2019-12-20,14.56,14.595,14.46,14.57,1387098.0
2019-12-19,14.6,14.66,14.53,14.575,836887.0
2019-12-18,14.42,14.68,14.2,14.6,1449969.0
2019-12-17,14.02,14.46,14.02,14.41,1658713.0
2019-12-16,14.09,14.12,13.97,14.07,1500750.0
2019-12-13,14.02,14.235,13.91,14.03,1508908.0
2019-12-12,14.06,14.26,13.95,13.96,1071848.0
2019-12-11,14.03,14.18,13.91,14.14,786844.0
2019-12-10,14.2,14.21,13.91,13.96,1106027.0
2019-12-09,14.15,14.285,14.08,14.19,920741.0
2019-12-06,14.06,14.14,14.02,14.09,735868.0
2019-12-05,13.98,14.1,13.81,14.07,629192.0
2019-12-04,14.07,14.12,13.895,13.95,787264.0
2019-12-03,13.84,13.96,13.76,13.95,1176838.0
2019-12-02,13.4,13.86,13.35,13.85,1332371.0
2019-11-29,13.6,13.6,13.43,13.45,287559.0
2019-11-27,13.66,13.7,13.53,13.565,496343.0
2019-11-26,13.51,13.82,13.5,13.65,1017864.0
2019-11-25,13.54,13.64,13.48,13.55,584297.0
2019-11-22,13.41,13.58,13.41,13.57,594064.0
2019-11-21,13.55,13.57,13.3,13.31,902787.0
2019-11-20,13.45,13.68,13.45,13.52,931752.0
2019-11-19,13.45,13.58,13.31,13.55,744387.0
2019-11-18,13.45,13.53,13.385,13.42,779816.0
2019-11-15,13.46,13.46,13.32,13.41,560463.0
2019-11-14,13.48,13.575,13.38,13.46,1507629.0
2019-11-13,13.06,13.49,13.051,13.46,1290625.0
2019-11-12,13.49,13.5,13.03,13.1,1944954.0
2019-11-11,13.38,13.56,13.36,13.52,1367376.0
2019-11-08,13.17,13.5,13.1,13.4,1461387.0
2019-11-07,13.0,13.72,12.32,13.15,2968477.0
2019-11-06,12.66,12.82,12.59,12.76,1339721.0
2019-11-05,12.85,12.965,12.62,12.65,1329483.0
2019-11-04,12.7,12.955,12.7,12.84,976442.0
2019-11-01,12.78,12.96,12.7,12.725,1652076.0
2019-10-31,12.62,12.795,12.56,12.78,1236714.0
2019-10-30,12.72,12.7419,12.57,12.6,1054675.0
2019-10-29,12.74,12.78,12.59,12.72,777033.0
2019-10-28,12.8,12.91,12.75,12.77,867673.0
2019-10-25,12.83,12.88,12.77,12.82,467661.0
2019-10-24,12.92,12.92,12.72,12.8,961738.0
2019-10-23,12.96,12.97,12.73,12.92,757751.0
2019-10-22,13.16,13.16,12.98,12.99,856338.0
2019-10-21,13.18,13.25,13.12,13.16,633847.0
2019-10-18,13.25,13.27,13.08,13.135,956128.0
2019-10-17,13.21,13.33,13.12,13.32,1353474.0
2019-10-16,13.41,13.435,13.2,13.23,1238755.0
2019-10-15,13.49,13.49,13.36,13.45,1010086.0
2019-10-14,13.53,13.57,13.39,13.425,496158.0
2019-10-11,13.57,13.69,13.49,13.545,716169.0
2019-10-10,13.56,13.68,13.52,13.55,575719.0
2019-10-09,13.74,13.74,13.53,13.57,588741.0
2019-10-08,13.66,13.72,13.6,13.67,1595307.0
2019-10-07,13.72,13.84,13.62,13.77,1278875.0
2019-10-04,13.55,13.74,13.53,13.73,544587.0
2019-10-03,13.62,13.69,13.5,13.56,807115.0
2019-10-02,13.83,13.84,13.505,13.63,1062307.0
2019-10-01,14.0,14.14,13.81,13.83,1700288.0
2019-09-30,13.85,14.07,13.74,13.985,1030183.0
2019-09-27,13.91,14.035,13.77,13.85,782090.0
2019-09-26,13.97,14.09,13.88,13.91,617069.0
2019-09-25,13.83,13.965,13.815,13.94,660782.0
2019-09-24,13.9,13.93,13.73,13.835,1195498.0
2019-09-23,13.97,14.1,13.83,13.865,1232290.0
2019-09-20,14.2,14.2,13.935,14.05,3421870.0
2019-09-19,14.24,14.275,14.15,14.22,898595.0
2019-09-18,14.23,14.44,14.15,14.19,970123.0
2019-09-17,14.28,14.42,14.21,14.22,1116502.0
2019-09-16,14.24,14.29,14.16,14.25,1211179.0
2019-09-13,14.22,14.27,14.11,14.24,1056284.0
2019-09-12,13.82,14.335,13.8,14.16,2366951.0
2019-09-11,13.62,13.86,13.48,13.83,1638522.0
2019-09-10,13.99,13.99,13.64,13.66,1280268.0
2019-09-09,14.05,14.08,13.89,13.9,710580.0
2019-09-06,14.32,14.383,14.05,14.08,961358.0
2019-09-05,14.39,14.49,14.235,14.33,1589207.0
2019-09-04,14.18,14.39,14.1,14.36,1330627.0
