date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.0018,0.002,0.0018,0.002,20000.0
2020-04-23,17.879,17.879,17.67,17.67,3255.0
2020-04-22,17.49,17.49,17.3037,17.4716,6318.0
2020-04-21,17.62,17.62,17.1965,17.27,5284.0
2020-04-20,18.11,18.299,17.86,17.87,5389.0
2020-04-17,17.95,18.285,17.95,18.27,8592.0
2020-04-16,17.62,17.73,17.3,17.39,10210.0
2020-04-15,17.8,17.986,17.51,17.62,7837.0
2020-04-14,18.09,18.5579,18.09,18.28,11516.0
2020-04-13,18.34,18.38,17.6446,17.72,11634.0
2020-04-09,18.11,18.6995,18.1,18.31,20879.0
2020-04-08,16.83,17.85,16.83,17.78,8365.0
2020-04-07,17.22,17.5,16.73,16.775,13258.0
2020-04-06,16.08,16.82,16.08,16.67,7058.0
2020-04-03,15.86,16.0,15.4,15.41,15052.0
2020-04-02,15.81,16.2,15.66,15.93,11962.0
2020-04-01,16.83,16.83,15.85,15.85,17686.0
2020-03-31,17.34,17.34,16.97,17.07,22415.0
2020-03-30,17.35,17.35,16.86,17.08,15077.0
2020-03-27,17.42,17.63,17.0745,17.36,11847.0
2020-03-26,17.08,18.0699,17.08,17.95,19101.0
2020-03-25,16.31,17.265,16.1387,16.92,22175.0
2020-03-24,15.97,16.08,15.73,16.0,19977.0
2020-03-23,14.94,14.94,14.38,14.77,21501.0
2020-03-20,15.39,15.96,14.73,14.84,42550.0
2020-03-19,14.73,15.4599,14.21,15.37,27694.0
2020-03-18,15.74,15.87,14.2117,14.68,85473.0
2020-03-17,16.22,17.035,15.7633,16.635,21077.0
2020-03-16,16.9,17.0266,16.1504,16.2191,25766.0
2020-03-13,19.0,19.0,17.035,18.2,29530.0
2020-03-12,18.12,18.215,16.77,17.13,30276.0
2020-03-11,20.25,20.25,18.98,19.2736,24324.0
2020-03-10,21.38,21.4518,20.22,20.7,27440.0
2020-03-09,21.95,21.95,20.15,20.4,24463.0
2020-03-06,22.62,22.87,22.2025,22.3101,15012.0
2020-03-05,23.56,23.6699,23.17,23.33,15885.0
2020-03-04,24.27,24.27,23.81,24.22,27999.0
2020-03-03,24.39,25.02,23.5801,23.71,36383.0
2020-03-02,24.27,24.32,23.4801,24.26,47536.0
2020-02-28,23.2,23.975,22.8101,23.96,35318.0
2020-02-27,24.97,24.97,23.555,24.0,121078.0
2020-02-26,26.17,26.81,25.6504,25.7,30235.0
2020-02-25,27.53,27.665,26.049,26.25,33179.0
2020-02-24,26.95,27.46,26.4268,27.1246,78574.0
2020-02-21,27.97,28.1,27.6,27.624,30221.0
2020-02-20,28.52,29.03,27.3177,28.345,179491.0
2020-02-19,27.97,28.21,27.6,28.19,127014.0
2020-02-18,27.7,28.1,27.15,27.2404,25913.0
2020-02-14,26.72,27.04,26.6,27.0,12863.0
2020-02-13,26.84,26.84,26.5627,26.6481,6300.0
2020-02-12,27.12,27.52,26.75,26.84,171981.0
2020-02-11,26.9,27.13,26.8688,27.0874,15281.0
2020-02-10,26.42,26.6596,26.35,26.657,3847.0
2020-02-07,26.56,26.89,26.2104,26.4388,10205.0
2020-02-06,26.65,27.3,26.37,26.69,81770.0
2020-02-05,26.88,26.88,26.374,26.3992,5280.0
2020-02-04,26.4,26.68,26.4,26.605,13761.0
2020-02-03,25.59,25.92,25.59,25.8979,6270.0
2020-01-31,26.09,26.09,25.458,25.46,9771.0
2020-01-30,26.05,26.14,25.6,25.8754,7792.0
2020-01-29,27.28,27.28,26.3016,26.3016,13640.0
2020-01-28,27.03,27.2979,27.0,27.2172,10580.0
2020-01-27,26.66,26.91,26.6,26.895,10457.0
2020-01-24,27.76,27.78,27.016,27.065,14100.0
2020-01-23,27.81,27.88,27.5005,27.78,18886.0
2020-01-22,27.98,28.14,27.9428,28.0686,23799.0
2020-01-21,27.86,27.87,27.7417,27.7716,12213.0
2020-01-17,27.75,27.8404,27.71,27.7488,6550.0
2020-01-16,27.66,27.75,27.66,27.7251,7757.0
2020-01-15,27.5,27.5402,27.4447,27.535,8603.0
2020-01-14,27.44,27.5,27.21,27.315,9483.0
2020-01-13,27.27,27.53,27.1149,27.4921,30343.0
2020-01-10,27.1,27.21,27.0901,27.1953,10128.0
2020-01-09,27.0,27.0885,26.92,27.04,7516.0
2020-01-08,26.89,26.92,26.69,26.865,6540.0
2020-01-07,26.86,27.015,26.86,26.92,6183.0
2020-01-06,27.13,27.13,26.9,26.9287,12908.0
2020-01-03,26.53,27.0,26.53,26.92,19186.0
2020-01-02,26.49,26.76,26.49,26.76,19263.0
2019-12-31,26.34,26.585,26.33,26.36,18793.0
2019-12-30,26.24,26.5,26.24,26.4638,37100.0
