date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,28.93,29.02,28.54,28.8721,9647.0
2020-04-08,26.97,28.095,26.97,28.095,60036.0
2020-04-07,27.54,27.69,26.83,26.83,734813.0
2020-04-06,26.19,26.52,26.16,26.52,17983.0
2020-04-03,24.9,25.08,24.69,25.08,18248.0
2020-04-02,25.43,25.43,25.11,25.25,4945.0
2020-04-01,25.34,25.42,25.0,25.0,21932.0
2020-03-31,26.43,26.84,26.23,26.4107,18620.0
2020-03-30,26.2787,26.8959,26.2787,26.8959,3412.0
2020-03-27,25.93,26.625,25.93,26.235,13414.0
2020-03-26,26.4,26.8022,26.31,26.8022,38722.0
2020-03-25,25.33,25.89,25.3103,25.3103,5027.0
2020-03-24,24.05,24.495,23.78,24.495,8113.0
2020-03-23,23.62,23.62,22.15,22.61,28263.0
2020-03-20,24.96,24.96,23.87,23.87,10744.0
2020-03-19,24.18,25.0256,24.18,24.87,35561.0
2020-03-18,23.57,24.3481,23.52,24.3481,29772.0
2020-03-17,25.97,26.3268,25.83,26.3268,18946.0
2020-03-16,25.9,26.47,25.04,25.04,57341.0
2020-03-13,27.57,28.589,26.73,28.589,17496.0
2020-03-12,28.11,28.11,26.18,26.9594,12517.0
2020-03-11,30.21,30.23,29.737,29.7955,4759.0
2020-03-10,30.125,31.46,30.125,31.46,4810.0
2020-03-09,30.5,30.74,30.13,30.47,5314.0
2020-03-06,31.95,32.5703,31.75,32.5703,58607.0
2020-03-05,33.09,33.17,32.74,32.76,3891.0
2020-03-04,33.08,33.865,33.08,33.865,7576.0
2020-03-03,33.1,33.3,32.6116,32.6116,1442.0
2020-03-02,32.64,33.09,32.26,33.04,25096.0
2020-02-28,31.42,31.7891,31.38,31.7891,14827.0
2020-02-27,33.05,33.4386,32.5812,32.5812,21205.0
2020-02-26,34.43,34.46,33.8683,33.8683,4692.0
2020-02-25,34.41,34.41,34.17,34.2244,17820.0
2020-02-24,35.28,35.3,35.25,35.2544,10019.0
2020-02-21,36.0357,36.0357,35.99,35.99,5938.0
2020-02-20,36.07,36.115,35.99,35.99,1051.0
2020-02-19,36.24,36.2595,36.2297,36.2297,5662.0
2020-02-18,36.1,36.22,36.085,36.22,15888.0
2020-02-14,36.08,36.2,36.08,36.2,173.0
2020-02-13,35.78,36.05,35.78,36.05,22731.0
2020-02-12,35.91,35.91,35.91,35.91,13315.0
2020-02-11,35.79,35.85,35.79,35.85,1192.0
2020-02-10,35.51,35.695,35.48,35.695,12723.0
2020-02-07,35.66,35.66,35.66,35.66,1.0
2020-02-06,35.54,35.7488,35.54,35.66,2980.0
2020-02-05,35.26,35.59,35.26,35.59,2261.0
2020-02-04,35.32,35.32,35.295,35.295,45475.0
2020-02-03,35.07,35.18,34.97,34.97,1059.0
2020-01-31,34.98,34.98,34.755,34.755,42445.0
2020-01-30,34.94,35.297,34.94,35.297,15554.0
2020-01-29,35.3043,35.35,35.16,35.195,46356.0
2020-01-28,35.3391,35.3391,35.3128,35.3128,280.0
2020-01-27,34.98,35.075,34.97,35.075,7450.0
2020-01-24,35.57,35.57,35.28,35.3572,71932.0
2020-01-23,35.46,35.625,35.46,35.625,2834.0
2020-01-22,35.77,35.77,35.54,35.54,23828.0
2020-01-21,35.47,35.6399,35.23,35.62,24218.0
2020-01-17,35.39,35.39,35.39,35.39,0.0
2020-01-16,35.39,35.475,35.39,35.475,52191.0
2020-01-15,35.14,35.24,35.11,35.1761,18785.0
2020-01-14,34.75,34.95,34.75,34.94,35599.0
2020-01-13,34.82,34.93,34.81,34.93,6703.0
2020-01-10,34.83,34.83,34.72,34.7617,19535.0
2020-01-09,34.8336,34.8336,34.75,34.7927,1920.0
2020-01-08,34.6909,34.7437,34.69,34.69,4942.0
2020-01-07,34.6,34.6,34.59,34.6,2085.0
2020-01-06,34.64,34.735,34.64,34.735,5550.0
2020-01-03,34.53,34.655,34.53,34.655,3604.0
2020-01-02,34.62,34.6388,34.44,34.6303,2355.0
2019-12-31,34.72,34.72,34.72,34.72,1011.0
