date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.54,1.55,1.4,1.45,880535.0
2020-04-23,1.58,1.625,1.5,1.55,547731.0
2020-04-22,1.53,1.6,1.46,1.57,1340106.0
2020-04-21,1.54,1.61,1.51,1.52,435196.0
2020-04-20,1.62,1.65,1.59,1.6,609372.0
2020-04-17,1.61,1.65,1.6,1.65,560639.0
2020-04-16,1.64,1.65,1.61,1.61,363793.0
2020-04-15,1.54,1.64,1.54,1.64,435765.0
2020-04-14,1.56,1.64,1.56,1.59,603060.0
2020-04-13,1.51,1.6,1.51,1.56,688590.0
2020-04-09,1.59,1.61,1.525,1.54,2582625.0
2020-04-08,1.51,1.58,1.47,1.58,361729.0
2020-04-07,1.58,1.64,1.52,1.53,693332.0
2020-04-06,1.54,1.75,1.48,1.56,638911.0
2020-04-03,1.49,1.57,1.45,1.53,523166.0
2020-04-02,1.44,1.53,1.44,1.46,470302.0
2020-04-01,1.5,1.5399,1.42,1.44,639097.0
2020-03-31,1.58,1.6,1.52,1.54,615044.0
2020-03-30,1.64,1.69,1.495,1.56,1283053.0
2020-03-27,1.6,1.73,1.56,1.71,548546.0
2020-03-26,1.53,1.78,1.51,1.74,2022938.0
2020-03-25,1.4,1.61,1.4,1.52,828738.0
2020-03-24,1.37,1.4,1.27,1.4,1250375.0
2020-03-23,1.32,1.32,1.21,1.23,480510.0
2020-03-20,1.43,1.455,1.26,1.27,982916.0
2020-03-19,1.46,1.51,1.39,1.4,964788.0
2020-03-18,1.53,1.65,1.46,1.49,868114.0
2020-03-17,1.6,1.72,1.54,1.66,1152413.0
2020-03-16,1.59,1.72,1.59,1.59,1610429.0
2020-03-13,1.72,1.75,1.63,1.72,778836.0
2020-03-12,1.66,1.72,1.61,1.61,915696.0
2020-03-11,1.74,1.93,1.74,1.79,1377610.0
2020-03-10,1.69,1.78,1.66,1.74,1075200.0
2020-03-09,1.61,1.78,1.6,1.64,691191.0
2020-03-06,1.74,1.815,1.7,1.75,1429401.0
2020-03-05,1.73,1.82,1.7072,1.79,864976.0
2020-03-04,1.57,1.82,1.57,1.8,3911515.0
2020-03-03,1.62,1.68,1.51,1.54,5350296.0
2020-03-02,1.67,1.7,1.57,1.62,2437653.0
2020-02-28,1.7,1.78,1.51,1.67,1476620.0
2020-02-27,1.79,1.88,1.725,1.75,2605286.0
2020-02-26,1.85,1.94,1.77,1.83,2644279.0
2020-02-25,1.85,1.94,1.82,1.84,4112381.0
2020-02-24,1.9,1.9289,1.85,1.85,2376327.0
2020-02-21,1.96,2.0,1.9,2.0,955100.0
2020-02-20,2.0,2.0,1.94,1.94,2650104.0
2020-02-19,2.05,2.08,1.89,1.97,4424253.0
2020-02-18,2.18,2.18,1.98,1.99,3113086.0
2020-02-14,2.27,2.31,2.19,2.19,1981056.0
2020-02-13,2.28,2.33,2.265,2.27,2238510.0
2020-02-12,2.27,2.33,2.27,2.28,1570116.0
2020-02-11,2.29,2.37,2.28,2.3,1432222.0
2020-02-10,2.21,2.3,2.2,2.28,3519796.0
2020-02-07,2.26,2.318,2.2,2.23,2356312.0
2020-02-06,2.33,2.33,2.23,2.25,1538121.0
2020-02-05,2.36,2.38,2.27,2.3,1700656.0
2020-02-04,2.32,2.4288,2.29,2.36,2036991.0
2020-02-03,2.3,2.4,2.22,2.3,1902307.0
2020-01-31,2.2,2.5,2.17,2.46,2649594.0
2020-01-30,2.24,2.31,2.2,2.21,1871713.0
2020-01-29,2.31,2.4,2.24,2.29,1036282.0
2020-01-28,2.34,2.36,2.27,2.32,749237.0
2020-01-27,2.31,2.39,2.21,2.29,1372143.0
2020-01-24,2.6,2.79,2.45,2.46,2241119.0
2020-01-23,2.5,2.65,2.5,2.65,1460062.0
2020-01-22,2.68,2.78,2.48,2.59,2443251.0
2020-01-21,2.51,2.69,2.5,2.67,794910.0
2020-01-17,2.63,2.66,2.5,2.51,720024.0
2020-01-16,2.66,2.75,2.58,2.59,990024.0
2020-01-15,2.86,2.86,2.53,2.62,2142215.0
2020-01-14,2.82,2.95,2.69,2.9,1573252.0
2020-01-13,2.58,2.84,2.56,2.84,1616037.0
2020-01-10,2.49,2.6,2.43,2.58,970767.0
2020-01-09,2.39,2.5,2.39,2.47,728774.0
2020-01-08,2.4,2.46,2.31,2.41,743546.0
2020-01-07,2.51,2.52,2.36,2.4,1007554.0
2020-01-06,2.28,2.51,2.24,2.48,1370433.0
2020-01-03,2.29,2.34,2.21,2.26,1971412.0
2020-01-02,2.31,2.38,2.25,2.29,1309850.0
2019-12-31,2.25,2.295,2.21,2.26,1487752.0
2019-12-30,2.3,2.32,2.24,2.28,1241654.0
2019-12-27,2.4,2.4,2.26,2.31,1614199.0
2019-12-26,2.44,2.47,2.36,2.37,908999.0
2019-12-24,2.62,2.65,2.24,2.41,1934630.0
2019-12-23,2.7,2.75,2.63,2.64,693763.0
2019-12-20,2.7,2.8,2.7,2.73,1126481.0
2019-12-19,2.8,2.8,2.66,2.75,828866.0
2019-12-18,2.8,2.82,2.68,2.79,777975.0
2019-12-17,3.07,3.07,2.77,2.82,1523641.0
2019-12-16,2.95,3.1,2.85,3.1,1339026.0
2019-12-13,2.72,2.93,2.67,2.91,1409696.0
2019-12-12,2.75,2.84,2.7,2.71,858574.0
2019-12-11,2.66,2.73,2.62,2.71,1440066.0
2019-12-10,2.56,2.72,2.52,2.66,778520.0
2019-12-09,2.44,2.55,2.44,2.55,1029452.0
2019-12-06,2.48,2.515,2.455,2.49,195799.0
2019-12-05,2.47,2.52,2.46,2.51,343328.0
2019-12-04,2.52,2.6,2.42,2.5,711522.0
2019-12-03,2.58,2.59,2.48,2.53,824117.0
2019-12-02,2.5,2.6,2.47,2.56,692130.0
2019-11-29,2.66,2.71,2.475,2.49,725351.0
2019-11-27,2.77,2.78,2.65,2.68,1914430.0
2019-11-26,2.6,2.65,2.56,2.61,639494.0
2019-11-25,2.49,2.68,2.47,2.65,576405.0
2019-11-22,2.49,2.56,2.48,2.49,531624.0
2019-11-21,2.5,2.505,2.43,2.48,369231.0
2019-11-20,2.44,2.55,2.415,2.48,352210.0
2019-11-19,2.53,2.57,2.41,2.46,791122.0
2019-11-18,2.55,2.609,2.5,2.58,420220.0
2019-11-15,2.67,2.67,2.32,2.54,935860.0
2019-11-14,2.65,2.87,2.62,2.67,779625.0
2019-11-13,2.84,2.87,2.55,2.62,2186790.0
2019-11-12,3.11,3.12,2.85,2.85,1326829.0
2019-11-11,3.26,3.3,3.0701,3.15,1061020.0
2019-11-08,3.23,3.8,3.21,3.42,2826702.0
2019-11-07,3.27,3.35,3.155,3.34,1756977.0
2019-11-06,3.23,3.31,3.14,3.23,1590131.0
2019-11-05,3.2,3.3,3.16,3.25,1336805.0
2019-11-04,3.1,3.385,3.08,3.19,1782213.0
2019-11-01,3.03,3.21,3.01,3.1,995826.0
2019-10-31,3.02,3.08,2.9,3.0,545085.0
2019-10-30,3.0,3.1471,2.86,3.07,1320939.0
2019-10-29,3.13,3.25,2.94,3.23,1834826.0
2019-10-28,2.99,3.19,2.925,3.14,3291244.0
2019-10-25,2.94,3.0,2.8644,2.96,732680.0
2019-10-24,2.7,3.0,2.65,2.97,1770401.0
2019-10-23,2.64,2.77,2.63,2.75,710755.0
2019-10-22,2.61,2.72,2.61,2.72,441317.0
2019-10-21,2.62,2.7,2.55,2.65,425521.0
2019-10-18,2.59,2.69,2.52,2.62,611296.0
2019-10-17,2.69,2.7,2.59,2.6,517421.0
2019-10-16,2.71,2.74,2.63,2.7,577483.0
2019-10-15,2.66,2.72,2.63,2.7,764950.0
2019-10-14,2.62,2.73,2.5871,2.69,921594.0
2019-10-11,2.58,2.77,2.48,2.57,2441155.0
2019-10-10,2.54,2.58,2.42,2.56,811356.0
2019-10-09,2.35,2.6,2.35,2.48,1207946.0
2019-10-08,2.42,2.52,2.36,2.41,662118.0
2019-10-07,2.48,2.53,2.28,2.45,941640.0
2019-10-04,2.45,2.55,2.45,2.47,757509.0
2019-10-03,2.45,2.54,2.38,2.51,854863.0
2019-10-02,2.4,2.49,2.35,2.45,986478.0
2019-10-01,2.43,2.48,2.35,2.4,728379.0
2019-09-30,2.53,2.535,2.39,2.45,987939.0
2019-09-27,2.6,2.6,2.4,2.51,2865580.0
2019-09-26,2.31,2.61,2.28,2.61,1992413.0
2019-09-25,2.25,2.39,2.24,2.38,1915251.0
2019-09-24,2.85,2.88,2.2,2.23,4045572.0
2019-09-23,2.98,3.05,2.72,2.79,3034173.0
2019-09-20,3.08,3.26,2.99,3.26,1801747.0
2019-09-19,3.22,3.28,3.1,3.14,1049268.0
2019-09-18,3.16,3.25,3.03,3.25,2843218.0
2019-09-17,3.3,3.3,3.19,3.19,1182027.0
2019-09-16,3.19,3.32,3.19,3.31,1273372.0
2019-09-13,3.25,3.3,3.19,3.29,756016.0
2019-09-12,3.24,3.25,3.15,3.22,800582.0
2019-09-11,3.19,3.2685,3.14,3.21,1283874.0
2019-09-10,3.05,3.19,3.05,3.18,925043.0
2019-09-09,3.0,3.09,2.97,3.04,1553594.0
2019-09-06,2.85,2.98,2.85,2.97,752524.0
2019-09-05,2.8,2.89,2.79,2.85,956253.0
2019-09-04,2.74,2.8,2.7135,2.8,1137991.0
2019-09-03,2.7,2.73,2.63,2.72,790371.0
2019-08-30,2.65,2.76,2.6,2.73,925514.0
2019-08-29,2.59,2.67,2.59,2.63,765840.0
2019-08-28,2.46,2.61,2.46,2.6,1232498.0
2019-08-27,2.52,2.55,2.46,2.48,432145.0
2019-08-26,2.52,2.52,2.45,2.48,472538.0
2019-08-23,2.54,2.59,2.5,2.52,1609381.0
2019-08-22,2.58,2.58,2.56,2.56,875389.0
2019-08-21,2.58,2.58,2.55,2.57,785439.0
2019-08-20,2.57,2.6,2.56,2.59,1354866.0
2019-08-19,2.55,2.6,2.54,2.55,693311.0
2019-08-16,2.45,2.52,2.45,2.5,979113.0
2019-08-15,2.37,2.51,2.36,2.46,624635.0
2019-08-14,2.46,2.46,2.32,2.39,871233.0
2019-08-13,2.46,2.54,2.44,2.48,811792.0
2019-08-12,2.5,2.5,2.42,2.49,764893.0
2019-08-09,2.29,2.52,2.26,2.5,6798557.0
2019-08-08,2.26,2.35,2.18,2.3,1036961.0
2019-08-07,2.2,2.29,2.1439,2.26,734315.0
2019-08-06,2.13,2.24,2.12,2.19,1325717.0
2019-08-05,2.13,2.1825,2.07,2.12,1148193.0
2019-08-02,2.13,2.22,2.12,2.21,749888.0
2019-08-01,2.18,2.27,2.12,2.12,1234071.0
2019-07-31,2.14,2.21,2.12,2.2,744411.0
2019-07-30,2.24,2.24,2.1,2.14,1092638.0
2019-07-29,2.33,2.33,2.2,2.2,844021.0
2019-07-26,2.32,2.33,2.26,2.28,1475251.0
2019-07-25,2.5,2.5,2.28,2.31,1586843.0
2019-07-24,2.41,2.51,2.35,2.48,1086885.0
2019-07-23,2.4,2.4,2.25,2.39,745116.0
2019-07-22,2.38,2.43,2.28,2.38,1160088.0
2019-07-19,2.38,2.48,2.38,2.4,760923.0
2019-07-18,2.38,2.42,2.35,2.38,768746.0
2019-07-17,2.36,2.45,2.31,2.4,1185731.0
2019-07-16,2.59,2.61,2.35,2.36,2754941.0
2019-07-15,2.75,2.75,2.46,2.59,4322755.0
2019-07-12,2.45,2.8,2.45,2.69,12259877.0
2019-07-11,2.45,2.48,2.32,2.34,799947.0
2019-07-10,2.38,2.55,2.38,2.41,1850552.0
2019-07-09,2.36,2.43,2.315,2.38,1668046.0
2019-07-08,2.32,2.46,2.2501,2.3,2112792.0
2019-07-05,2.18,2.39,2.14,2.36,1687632.0
2019-07-03,2.2,2.21,2.1,2.19,754718.0
2019-07-02,2.33,2.3531,2.215,2.23,887034.0
2019-07-01,2.2,2.47,2.1961,2.33,2865227.0
2019-06-28,2.07,2.2,2.05,2.2,1169896.0
2019-06-27,2.1,2.1,2.04,2.09,699004.0
2019-06-26,1.99,2.12,1.92,2.1,2447628.0
2019-06-25,2.12,2.12,1.97,1.98,1317516.0
