date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,103.64,104.32,96.69,98.15,41660.0
2020-03-30,106.71,109.41,102.93,102.93,48607.0
2020-03-27,106.52,107.0,103.38,106.66,40543.0
2020-03-26,103.92,105.16,96.7075,98.19,109237.0
2020-03-25,102.14,111.2,101.78,107.55,86199.0
2020-03-24,88.24,100.96,83.96,100.22,235914.0
2020-03-23,121.43,124.42,104.34,108.65,77125.0
2020-03-20,125.03,132.85,111.19,129.78,74197.0
2020-03-19,155.26,162.2999,119.44,132.26,120260.0
2020-03-18,138.99,167.172,130.92,146.7,178699.0
2020-03-17,122.4,132.9999,115.0,123.87,170241.0
2020-03-16,115.16,130.91,109.6,126.14,183805.0
2020-03-13,90.0,104.3053,89.26,91.4686,133894.0
2020-03-12,95.76,103.25,88.8,100.68,340651.0
2020-03-11,77.86,83.4447,77.17,81.25,153366.0
2020-03-10,69.55,78.6,69.4,72.12,534235.0
2020-03-09,86.32,87.025,74.74,78.65,237847.0
2020-03-06,66.99,69.2028,61.99,62.99,428516.0
2020-03-05,53.27,58.3031,52.25,56.65,142600.0
2020-03-04,49.43,51.25,48.33,49.04,75147.0
2020-03-03,46.65,53.0456,44.81,52.09,312997.0
2020-03-02,47.36,49.88,46.4901,46.64,221197.0
2020-02-28,51.85,53.0,48.161,48.65,181088.0
2020-02-27,43.62,46.58,42.74,46.58,162112.0
2020-02-26,39.73,41.55,38.31,40.09,197234.0
2020-02-25,36.09,41.95,35.87,41.01,303742.0
2020-02-24,36.35,37.52,34.691,37.38,210389.0
2020-02-21,30.64,32.34,30.43,31.59,101258.0
2020-02-20,28.77,30.6,28.64,29.72,122953.0
2020-02-19,28.51,28.85,28.51,28.7,46157.0
2020-02-18,29.07,29.67,28.75,29.1,63047.0
2020-02-14,28.79,29.1062,28.57,28.66,29874.0
2020-02-13,29.45,29.53,28.6653,29.01,70009.0
2020-02-12,29.3,29.47,28.38,28.4,31251.0
2020-02-11,29.37,29.96,29.24,29.96,21830.0
2020-02-10,30.09,30.23,29.92,29.94,35751.0
2020-02-07,30.72,30.91,29.96,30.33,43688.0
2020-02-06,29.76,30.39,29.69,29.89,18725.0
2020-02-05,30.3,31.05,30.17,30.17,38984.0
2020-02-04,31.57,31.73,30.99,31.45,51968.0
2020-02-03,33.51,33.92,32.3,33.23,64864.0
2020-01-31,31.7,35.3213,31.65,34.46,125415.0
2020-01-30,32.71,33.16,30.96,30.96,75022.0
2020-01-29,30.87,31.92,30.6181,31.38,31352.0
2020-01-28,32.44,32.66,31.29,31.38,64326.0
2020-01-27,32.84,33.4,32.07,33.4,81119.0
2020-01-24,28.07,30.71,28.07,30.15,70324.0
2020-01-23,29.05,29.5,28.49,28.49,39283.0
2020-01-22,27.92,28.6,27.92,28.6,43757.0
2020-01-21,28.55,28.56,27.85,28.47,23941.0
2020-01-17,28.12,28.66,28.12,28.21,22588.0
2020-01-16,28.42,28.4563,28.1,28.15,17718.0
2020-01-15,28.73,28.99,28.59,28.8,17331.0
2020-01-14,29.13,29.31,28.66,28.93,22375.0
2020-01-13,29.55,29.81,29.1,29.1,15299.0
2020-01-10,29.99,30.16,29.6,29.91,26126.0
2020-01-09,30.4,30.66,30.02,30.02,31697.0
2020-01-08,31.221,31.522,30.37,31.14,73010.0
2020-01-07,31.99,32.415,31.56,31.79,27932.0
2020-01-06,33.28,33.38,31.95,31.95,33001.0
2020-01-03,33.13,33.29,31.69,32.37,47129.0
2020-01-02,31.2,31.31,30.6922,30.75,30797.0
2019-12-31,33.98,33.99,31.9701,32.07,33738.0
2019-12-30,32.55,33.725,32.49,33.54,22130.0
2019-12-27,31.42,32.53,31.42,32.25,40546.0
2019-12-26,31.39,31.64,31.31,31.59,13122.0
2019-12-24,31.8,31.97,31.7901,31.7901,2775.0
2019-12-23,31.77,32.0,31.77,31.99,10121.0
2019-12-20,31.22,31.79,31.22,31.75,9761.0
2019-12-19,32.25,32.25,31.46,31.46,9820.0
2019-12-18,31.55,32.25,31.48,32.25,41184.0
2019-12-17,31.8924,32.22,31.87,31.91,19726.0
2019-12-16,31.91,32.19,31.56,32.19,40784.0
2019-12-13,34.57,34.92,32.85,32.93,47877.0
2019-12-12,36.38,36.38,34.29,34.43,35447.0
2019-12-11,37.07,37.07,36.41,36.41,4238.0
2019-12-10,37.16,37.8363,36.6865,37.22,11128.0
2019-12-09,35.6124,37.25,35.6124,37.25,14988.0
