date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,54.36,54.4104,54.19,54.23,673529.0
2020-04-23,54.28,54.36,54.155,54.3,800375.0
2020-04-22,54.07,54.238,54.021,54.16,1069081.0
2020-04-21,54.08,54.19,53.9924,54.11,565498.0
2020-04-20,54.15,54.21,54.01,54.15,739721.0
2020-04-17,54.23,54.3,54.13,54.15,1028252.0
2020-04-16,54.26,54.29,54.12,54.19,1926297.0
2020-04-15,54.23,54.32,54.1101,54.24,952096.0
2020-04-14,54.09,54.25,53.81,54.21,2637984.0
2020-04-13,54.18,54.3,53.85,54.19,3344351.0
2020-04-09,54.23,54.57,54.06,54.34,1512776.0
2020-04-08,54.51,54.535,54.35,54.5,871157.0
2020-04-07,54.01,54.59,54.01,54.46,1362992.0
2020-04-06,54.48,54.5,54.215,54.24,2894071.0
2020-04-03,54.67,54.7,54.36,54.5,1162578.0
2020-04-02,54.54,54.64,54.25,54.43,1517943.0
2020-04-01,54.35,54.41,54.2,54.27,1167498.0
2020-03-31,54.39,54.58,54.15,54.5,982456.0
2020-03-30,54.44,54.74,54.42,54.6,2594317.0
2020-03-27,54.18,54.3925,54.02,54.32,1738596.0
2020-03-26,53.66,54.33,53.4762,54.1,2125779.0
2020-03-25,53.8,54.23,53.57,53.83,1819187.0
2020-03-24,53.23,53.97,52.53,53.9,1951416.0
2020-03-23,51.58,53.24,51.58,52.36,3515286.0
2020-03-20,52.17,52.685,51.55,52.26,2542213.0
2020-03-19,51.0,52.88,50.77,52.7,4876365.0
2020-03-18,52.4,52.82,51.3,51.4,3765338.0
2020-03-17,52.9,53.256,52.3801,52.82,2991936.0
2020-03-16,52.47,53.63,51.43,53.05,5559447.0
2020-03-13,52.0,53.0,51.444,51.94,4511833.0
2020-03-12,53.54,53.63,51.12,51.94,4626661.0
2020-03-11,53.9,53.91,53.27,53.63,4636119.0
2020-03-10,53.92,54.01,53.86,53.92,2119732.0
2020-03-09,53.85,54.3702,53.44,54.15,1952614.0
2020-03-06,54.01,54.1,53.94,53.96,2957619.0
2020-03-05,53.99,54.0,53.95,54.0,616265.0
2020-03-04,54.01,54.01,53.9,53.93,1246665.0
2020-03-03,53.85,53.99,53.82,53.93,1166858.0
2020-03-02,53.84,53.91,53.78,53.82,1228280.0
2020-02-28,53.77,53.9,53.75,53.89,3100272.0
2020-02-27,53.7,53.73,53.67,53.73,872094.0
2020-02-26,53.65,53.68,53.64,53.64,820724.0
2020-02-25,53.62,53.68,53.6,53.64,1228121.0
2020-02-24,53.63,53.66,53.59,53.625,5831672.0
2020-02-21,53.57,53.63,53.57,53.63,941307.0
2020-02-20,53.53,53.57,53.52,53.57,1384553.0
2020-02-19,53.52,53.57,53.505,53.54,575446.0
2020-02-18,53.55,53.55,53.53,53.535,585132.0
2020-02-14,53.49,53.53,53.48,53.52,674891.0
2020-02-13,53.49,53.52,53.49,53.51,535127.0
2020-02-12,53.5,53.51,53.4736,53.49,612149.0
2020-02-11,53.52,53.55,53.51,53.54,893499.0
2020-02-10,53.52,53.58,53.52,53.58,778189.0
2020-02-07,53.54,53.55,53.47,53.55,1319565.0
2020-02-06,53.46,53.46,53.415,53.46,643441.0
2020-02-05,53.44,53.44,53.4,53.4,640945.0
2020-02-04,53.44,53.44,53.41,53.44,655789.0
2020-02-03,53.41,53.44,53.37,53.42,1449438.0
2020-01-31,53.52,53.55,53.5,53.52,630994.0
2020-01-30,53.46,53.54,53.46,53.54,763620.0
2020-01-29,53.48,53.52,53.47,53.52,617431.0
2020-01-28,53.49,53.52,53.42,53.47,669282.0
2020-01-27,53.51,53.51,53.46,53.47,818728.0
2020-01-24,53.42,53.45,53.42,53.44,1152406.0
2020-01-23,53.43,53.45,53.35,53.4,2557346.0
2020-01-22,53.38,53.4,53.35,53.39,745937.0
2020-01-21,53.39,53.41,53.38,53.39,2635209.0
2020-01-17,53.33,53.37,53.32,53.37,3137335.0
2020-01-16,53.36,53.37,53.33,53.35,1518040.0
2020-01-15,53.36,53.36,53.34,53.35,3056489.0
2020-01-14,53.33,53.36,53.28,53.36,601392.0
2020-01-13,53.31,53.34,53.28,53.32,621475.0
2020-01-10,53.29,53.35,53.2664,53.32,1654513.0
2020-01-09,53.24,53.3,53.22,53.3,1543424.0
2020-01-08,53.31,53.33,53.26,53.28,1285458.0
2020-01-07,53.32,53.33,53.3,53.31,532378.0
2020-01-06,53.34,53.35,53.31,53.34,994697.0
2020-01-03,53.26,53.3,53.24,53.3,805927.0
2020-01-02,53.22,53.25,53.2,53.22,819233.0
2019-12-31,53.18,53.2,53.16,53.17,442018.0
2019-12-30,53.13,53.19,53.11,53.175,1134660.0
2019-12-27,53.11,53.17,53.1,53.17,519623.0
2019-12-26,53.07,53.09,53.04,53.09,555198.0
2019-12-24,53.01,53.07,53.0033,53.04,858449.0
2019-12-23,53.13,53.14,53.02,53.04,3139694.0
2019-12-20,53.17,53.23,53.16,53.21,1977264.0
2019-12-19,53.21,53.24,53.19,53.24,1513958.0
2019-12-18,53.23,53.25,53.18,53.21,1445130.0
2019-12-17,53.22,53.25,53.16,53.225,2802873.0
2019-12-16,53.22,53.24,53.15,53.15,533764.0
2019-12-13,53.17,53.25,53.15,53.25,426964.0
2019-12-12,53.25,53.26,53.11,53.14,945812.0
2019-12-11,53.18,53.25,53.16,53.25,431035.0
2019-12-10,53.12,53.16,53.07,53.13,495851.0
2019-12-09,53.27,53.27,53.21,53.24,495558.0
