date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,44.32,45.0953,44.32,44.87,1902120.0
2020-04-08,43.58,44.08,43.26,43.88,994857.0
2020-04-07,44.05,44.06,43.05,43.05,1175361.0
2020-04-06,41.36,42.05,41.36,41.76,845232.0
2020-04-03,40.75,41.2015,40.17,40.33,1120566.0
2020-04-02,41.0,41.66,40.57,41.22,718665.0
2020-04-01,42.11,42.11,41.15,41.42,809322.0
2020-03-31,42.41,43.2853,42.33,42.91,1311057.0
2020-03-30,41.76,42.74,41.58,42.74,4624177.0
2020-03-27,41.54,42.49,41.145,42.36,1981828.0
2020-03-26,41.9,43.41,41.4775,43.0,1363984.0
2020-03-25,40.58,42.72,40.58,42.2,1401610.0
2020-03-24,39.28,40.11,38.6673,39.86,2154399.0
2020-03-23,37.02,37.43,36.2374,36.77,2488898.0
2020-03-20,37.32,38.49,37.03,37.23,1866635.0
2020-03-19,37.09,37.15,35.5078,36.78,2471741.0
2020-03-18,38.3721,39.11,37.0,37.78,1117120.0
2020-03-17,40.92,41.425,40.16,41.09,1332617.0
2020-03-16,41.72,42.66,40.871,41.05,1463456.0
2020-03-13,46.89,47.0,44.645,46.01,1225861.0
2020-03-12,48.0,48.04,45.25,45.49,3854776.0
2020-03-11,51.85,52.068,50.77,50.98,978192.0
2020-03-10,52.94,53.0,51.73,52.6,816218.0
2020-03-09,52.32,53.66,51.71,51.81,879799.0
2020-03-06,54.95,55.2,54.62,55.1,689907.0
2020-03-05,56.03,56.3301,55.83,56.07,1445938.0
2020-03-04,55.91,56.4,55.8472,56.4,669580.0
2020-03-03,55.25,55.89,54.88,55.01,1113640.0
2020-03-02,54.18,54.73,53.94,54.67,1161329.0
2020-02-28,53.57,54.14,53.0405,54.14,1037028.0
2020-02-27,55.74,55.77,54.96,54.96,931857.0
2020-02-26,56.44,56.79,56.15,56.15,1019126.0
2020-02-25,57.16,57.2673,56.405,56.45,435851.0
2020-02-24,57.01,57.325,57.0,57.1,563696.0
2020-02-21,58.3,58.4578,58.2,58.39,207375.0
2020-02-20,58.57,58.63,58.205,58.48,322185.0
2020-02-19,59.01,59.05,58.87,58.88,235321.0
2020-02-18,58.88,58.94,58.77,58.91,538068.0
2020-02-14,59.14,59.23,59.11,59.23,237961.0
2020-02-13,58.75,58.95,58.75,58.85,198816.0
2020-02-12,58.82,58.85,58.675,58.83,355719.0
2020-02-11,58.6,58.76,58.6,58.61,204602.0
2020-02-10,58.06,58.25,58.05,58.2,434337.0
2020-02-07,58.24,58.3,57.88,58.04,557750.0
2020-02-06,58.4,58.4,58.21,58.24,179714.0
2020-02-05,58.39,58.39,58.1997,58.31,332359.0
2020-02-04,58.18,58.1964,58.054,58.08,338236.0
2020-02-03,57.44,57.62,57.39,57.42,391721.0
2020-01-31,57.79,57.79,57.36,57.51,583675.0
2020-01-30,57.8,58.09,57.61,58.09,401856.0
2020-01-29,58.15,58.25,58.02,58.12,223991.0
2020-01-28,57.82,57.995,57.7501,57.94,379862.0
2020-01-27,58.06,58.06,57.68,57.9,540310.0
2020-01-24,59.07,59.07,58.67,58.72,518185.0
2020-01-23,58.8,58.89,58.51,58.87,626544.0
2020-01-22,59.04,59.15,58.9,58.9,445995.0
2020-01-21,58.91,58.91,58.735,58.84,704008.0
2020-01-17,59.57,59.7,59.5117,59.64,244687.0
2020-01-16,59.35,59.5,59.27,59.49,284967.0
2020-01-15,58.88,58.9699,58.86,58.89,284964.0
2020-01-14,58.98,58.98,58.83,58.97,342240.0
2020-01-13,58.67,59.0,58.61,58.98,517415.0
2020-01-10,58.61,58.72,58.48,58.51,525261.0
2020-01-09,58.5,58.58,58.44,58.49,387950.0
2020-01-08,58.4,58.51,58.32,58.48,4684801.0
2020-01-07,58.89,58.9494,58.8,58.85,1086490.0
2020-01-06,58.84,58.93,58.71,58.88,590411.0
2020-01-03,58.99,59.282,58.9609,59.18,321318.0
2020-01-02,59.3,59.4634,59.275,59.45,424595.0
2019-12-31,58.95,59.09,58.85,59.09,219935.0
2019-12-30,59.0,59.02,58.71,58.71,294134.0
2019-12-27,58.78,58.96,58.77,58.96,322343.0
2019-12-26,58.28,58.54,58.25,58.54,355091.0
2019-12-24,58.12,58.23,58.08,58.22,637517.0
2019-12-23,58.11,58.14,57.9805,58.05,676185.0
2019-12-20,57.98,58.08,57.855,58.04,588289.0
2019-12-19,57.69,57.83,57.63,57.81,227861.0
2019-12-18,57.66,57.66,57.465,57.62,870867.0
2019-12-17,61.19,61.28,61.11,61.27,329218.0
2019-12-16,61.43,61.45,61.38,61.4,240235.0
2019-12-13,60.98,61.235,60.8094,60.9,427216.0
2019-12-12,60.82,61.101,60.72,61.0,386670.0
2019-12-11,60.78,61.06,60.77,61.0,177778.0
2019-12-10,60.94,60.9497,60.8463,60.94,153536.0
2019-12-09,60.9,60.99,60.88,60.93,164538.0
2019-12-06,60.8,60.9489,60.8,60.88,167855.0
2019-12-05,60.46,60.5,60.3501,60.4,203370.0
2019-12-04,60.37,60.48,60.3,60.43,271676.0
2019-12-03,60.09,60.4,59.97,60.4,199113.0
2019-12-02,60.58,60.61,60.27,60.33,230448.0
2019-11-29,60.5,60.5431,60.43,60.46,71505.0
2019-11-27,60.67,60.86,60.6401,60.79,187345.0
2019-11-26,60.53,60.74,60.53,60.74,205718.0
2019-11-25,60.4,60.5981,60.29,60.52,98990.0
2019-11-22,60.15,60.15,59.9596,60.06,149692.0
2019-11-21,60.26,60.42,60.1,60.1,162479.0
2019-11-20,60.5,60.59,60.26,60.42,395498.0
2019-11-19,60.63,60.68,60.51,60.56,154329.0
2019-11-18,60.03,60.28,59.93,60.12,196457.0
2019-11-15,59.7,59.92,59.7,59.92,96919.0
2019-11-14,59.39,59.59,59.326,59.59,118660.0
2019-11-13,59.24,59.38,59.2001,59.32,272923.0
2019-11-12,59.9,59.91,59.65,59.67,348038.0
2019-11-11,60.07,60.23,59.83,60.23,224710.0
2019-11-08,60.56,60.7,60.515,60.7,800456.0
2019-11-07,61.27,61.34,61.01,61.1,181167.0
2019-11-06,61.11,61.25,61.01,61.25,683547.0
2019-11-05,61.42,61.43,61.08,61.15,326217.0
2019-11-04,61.66,61.73,61.43,61.5,187669.0
2019-11-01,61.25,61.45,61.22,61.33,315792.0
2019-10-31,60.85,60.9,60.64,60.9,182930.0
2019-10-30,60.43,60.75,60.25,60.75,161987.0
2019-10-29,60.43,60.6,60.4134,60.6,173939.0
2019-10-28,60.47,60.66,60.47,60.55,211429.0
2019-10-25,60.42,60.61,60.35,60.5,182349.0
2019-10-24,60.78,60.78,60.508,60.66,202610.0
2019-10-23,60.69,60.92,60.6339,60.9,213722.0
