date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,28.71,29.0899,28.71,29.01,21143.0
2020-04-08,27.78,28.45,27.78,28.3708,6437.0
2020-04-07,28.435,28.49,27.68,27.6892,18237.0
2020-04-06,27.05,27.86,27.05,27.86,31170.0
2020-04-03,26.63,26.81,26.04,26.2726,8666.0
2020-04-02,26.02,26.66,26.02,26.53,13102.0
2020-04-01,26.32,26.41,25.81,26.04,59436.0
2020-03-31,27.42,27.42,26.82,26.82,10973.0
2020-03-30,26.83,27.44,26.83,27.38,3661.0
2020-03-27,26.35,27.28,26.28,26.52,28554.0
2020-03-26,26.02,27.0,26.02,27.0,7940.0
2020-03-25,25.21,26.22,24.65,25.3574,49981.0
2020-03-24,24.51,25.2,24.38,25.0303,13709.0
2020-03-23,23.82,24.11,23.1068,23.45,22100.0
2020-03-20,25.4976,25.57,24.1714,24.1714,8869.0
2020-03-19,25.11,25.91,24.98,25.4097,79489.0
2020-03-18,26.58,26.58,24.4207,25.3491,20375.0
2020-03-17,25.87,27.13,24.58,26.8,175160.0
2020-03-16,30.8,30.8,24.7,25.986,48506.0
2020-03-13,26.8712,28.47,26.6817,28.1135,125079.0
2020-03-12,27.429,27.888,26.01,26.2416,151584.0
2020-03-11,29.8299,29.8299,28.88,29.06,26222.0
2020-03-10,30.39,30.7076,29.31,30.7076,23092.0
2020-03-09,29.5551,30.47,29.48,29.65,164237.0
2020-03-06,30.87,31.5164,30.8419,31.5164,2820.0
2020-03-05,31.53,31.9927,31.4366,31.7066,20561.0
2020-03-04,31.56,32.3249,31.413,32.3249,2077.0
2020-03-03,31.92,31.92,30.7163,31.0995,6256.0
2020-03-02,30.59,31.32,30.43,31.32,23374.0
2020-02-28,29.76,30.12,29.54,29.78,43630.0
2020-02-27,31.81,31.9703,30.98,30.98,8772.0
2020-02-26,32.68,32.8701,32.2513,32.2513,12647.0
2020-02-25,33.0198,33.02,32.4298,32.4884,3669.0
2020-02-24,33.5,33.5,33.14,33.29,13794.0
2020-02-21,33.834,33.9061,33.834,33.8966,1013.0
2020-02-20,33.99,33.9945,33.7418,33.9945,1716.0
2020-02-19,34.1784,34.1784,34.0299,34.0299,2012.0
2020-02-18,34.26,34.27,34.1,34.21,6313.0
2020-02-14,34.169,34.169,34.13,34.13,1594.0
2020-02-13,34.14,34.21,34.1198,34.21,1891.0
2020-02-12,34.05,34.1187,34.05,34.091,2255.0
2020-02-11,34.25,34.25,34.14,34.1716,2308.0
2020-02-10,33.9921,34.1434,33.9921,34.1434,7376.0
2020-02-07,34.13,34.13,33.985,34.0323,6649.0
2020-02-06,34.2016,34.2031,34.15,34.165,4562.0
2020-02-05,33.88,34.0361,33.88,34.0225,7450.0
2020-02-04,33.765,33.7931,33.6128,33.6128,4358.0
2020-02-03,33.57,33.61,33.4275,33.439,2781.0
2020-01-31,33.56,33.56,33.3,33.3,2736.0
2020-01-30,33.49,33.52,33.4887,33.52,2546.0
2020-01-29,33.7302,33.74,33.6193,33.6193,9804.0
2020-01-28,33.655,33.76,33.655,33.76,3858.0
2020-01-27,33.575,33.7,33.57,33.62,7744.0
2020-01-24,33.9464,33.9464,33.7038,33.73,2249.0
2020-01-23,33.81,33.94,33.775,33.92,6437.0
2020-01-22,33.8997,33.9201,33.815,33.83,5338.0
2020-01-21,33.749,33.807,33.73,33.7874,2922.0
2020-01-17,33.7127,33.7349,33.7,33.7349,5076.0
2020-01-16,33.55,33.5961,33.535,33.5961,5330.0
2020-01-15,33.3,33.45,33.3,33.3846,4130.0
2020-01-14,33.2281,33.279,33.18,33.2544,12865.0
2020-01-13,33.147,33.231,33.147,33.231,1100.0
2020-01-10,33.1197,33.1372,33.0765,33.0765,9378.0
2020-01-09,33.0902,33.11,33.05,33.09,40396.0
2020-01-08,32.95,33.05,32.95,33.0,10272.0
2020-01-07,32.95,32.96,32.9,32.905,4425.0
2020-01-06,32.9861,33.09,32.9861,33.0694,7576.0
2020-01-03,32.92,33.12,32.92,33.11,9104.0
2020-01-02,33.0901,33.0901,32.8649,32.9799,11178.0
2019-12-31,32.95,33.08,32.9,33.08,5018.0
2019-12-30,32.9533,33.0279,32.9533,32.995,2535.0
2019-12-27,33.079,33.1205,33.05,33.1,3680.0
2019-12-26,33.03,33.03,32.96,33.007,1802.0
2019-12-24,32.9579,32.99,32.9579,32.98,24168.0
2019-12-23,33.079,33.079,32.9678,32.9678,63973.0
2019-12-20,33.07,33.14,33.066,33.0949,33562.0
2019-12-19,32.8336,32.9247,32.8336,32.8917,6934.0
2019-12-18,32.81,32.831,32.7731,32.8084,3739.0
2019-12-17,32.95,33.06,32.95,33.01,5424.0
2019-12-16,32.99,33.0,32.96,32.995,3624.0
2019-12-13,32.845,32.8916,32.7956,32.8916,3840.0
2019-12-12,32.8811,33.0,32.8361,32.8991,3091.0
2019-12-11,32.8536,32.865,32.7544,32.8043,3854.0
2019-12-10,32.88,32.908,32.7903,32.83,5460.0
2019-12-09,32.8401,32.865,32.8401,32.865,4870.0
2019-12-06,32.82,32.89,32.82,32.85,3107.0
2019-12-05,32.59,32.6656,32.57,32.635,2745.0
2019-12-04,32.68,32.68,32.6201,32.6433,4598.0
2019-12-03,32.375,32.48,32.375,32.4603,5577.0
2019-12-02,32.64,32.64,32.56,32.6,3282.0
2019-11-29,32.905,32.905,32.79,32.83,1748.0
2019-11-27,32.833,32.9279,32.833,32.91,1977.0
2019-11-26,32.65,32.85,32.65,32.8272,12344.0
2019-11-25,32.648,32.648,32.58,32.5809,4052.0
2019-11-22,32.4534,32.51,32.4534,32.505,728.0
2019-11-21,32.505,32.5198,32.43,32.475,1390.0
2019-11-20,32.6,32.6,32.44,32.565,10052.0
2019-11-19,32.5837,32.619,32.54,32.5623,6689.0
2019-11-18,32.56,32.6,32.56,32.575,1546.0
2019-11-15,32.465,32.56,32.465,32.56,3714.0
2019-11-14,32.4199,32.45,32.3127,32.45,3132.0
2019-11-13,32.3427,32.355,32.32,32.3277,4904.0
2019-11-12,32.3375,32.3375,32.2414,32.2414,5769.0
2019-11-11,32.2341,32.25,32.2,32.25,4419.0
2019-11-08,32.22,32.26,32.19,32.24,5597.0
2019-11-07,32.3,32.31,32.22,32.23,26182.0
2019-11-06,32.159,32.1985,32.13,32.1985,8440.0
2019-11-05,32.05,32.11,32.0301,32.06,5452.0
2019-11-04,32.173,32.173,31.9445,31.9445,2009.0
2019-11-01,32.32,32.32,32.1069,32.1302,3418.0
2019-10-31,32.18,32.18,32.0,32.0236,7337.0
2019-10-30,31.9647,32.16,31.9562,32.16,2337.0
2019-10-29,31.94,32.0889,31.93,32.01,5884.0
2019-10-28,31.99,31.99,31.8581,31.91,8978.0
2019-10-25,31.86,31.92,31.8597,31.87,5654.0
2019-10-24,31.82,31.91,31.81,31.91,1902.0
