date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,25.44,25.68,24.63,24.95,268907.0
2020-04-23,24.76,25.7,24.34,25.28,411816.0
2020-04-22,24.97,25.27,23.39,24.49,422626.0
2020-04-21,23.82,24.75,23.595,24.34,257117.0
2020-04-20,24.11,25.21,24.11,24.63,331648.0
2020-04-17,24.37,25.18,24.12,24.71,438614.0
2020-04-16,24.17,24.8,22.995,23.45,521801.0
2020-04-15,25.07,25.69,24.3,24.41,560619.0
2020-04-14,27.29,27.48,25.99,26.5,504384.0
2020-04-13,27.88,27.96,26.39,26.52,324373.0
2020-04-09,27.18,28.17,26.31,27.95,518699.0
2020-04-08,26.25,26.82,25.39,26.5,753331.0
2020-04-07,26.23,26.83,25.43,25.8,529494.0
2020-04-06,25.23,25.99,24.5394,25.47,487878.0
2020-04-03,25.12,25.73,23.695,24.21,523789.0
2020-04-02,24.75,25.89,24.74,25.32,349245.0
2020-04-01,24.66,25.4461,24.58,25.06,513694.0
2020-03-31,25.21,26.09,24.75,25.96,685268.0
2020-03-30,24.75,25.69,23.8536,25.48,525578.0
2020-03-27,23.8,25.54,23.8,24.65,579608.0
2020-03-26,23.24,25.54,23.095,25.18,922957.0
2020-03-25,23.75,24.33,20.915,23.15,3247810.0
2020-03-24,22.73,23.83,20.93,23.73,1103022.0
2020-03-23,25.24,26.0,21.46,21.67,908810.0
2020-03-20,28.4,28.4493,25.26,25.67,1467979.0
2020-03-19,28.4,29.97,26.35,28.12,920610.0
2020-03-18,26.8,30.1,26.45,28.87,1512034.0
2020-03-17,25.09,28.55,24.42,28.39,1286524.0
2020-03-16,22.56,25.5,22.56,24.6,741239.0
2020-03-13,24.9,26.1258,24.01,25.93,755773.0
2020-03-12,24.56,25.56,23.31,23.45,800631.0
2020-03-11,26.86,27.18,25.71,26.07,809167.0
2020-03-10,27.04,27.43,25.22,27.39,736282.0
2020-03-09,28.36,29.5,26.1,26.12,666441.0
2020-03-06,29.6,30.35,29.57,30.24,573518.0
2020-03-05,31.16,31.39,30.33,30.73,653371.0
2020-03-04,31.54,32.03,31.125,31.97,523262.0
2020-03-03,31.44,32.03,30.835,31.21,660178.0
2020-03-02,30.11,31.63,29.91,31.56,582170.0
2020-02-28,30.43,30.92,29.58,29.99,1022821.0
2020-02-27,31.89,32.6,31.27,31.31,531512.0
2020-02-26,33.09,33.4,32.37,32.38,479548.0
2020-02-25,33.82,33.82,32.69,32.92,635199.0
2020-02-24,33.83,34.09,33.57,33.765,436289.0
2020-02-21,34.97,35.18,34.6,34.61,595921.0
2020-02-20,34.72,35.16,34.72,35.065,276130.0
2020-02-19,34.77,35.118,34.7,34.74,374506.0
2020-02-18,34.89,35.06,34.69,34.91,338233.0
2020-02-14,34.85,35.015,34.66,34.97,381342.0
2020-02-13,34.52,35.09,34.5,34.9,387948.0
2020-02-12,34.86,34.97,34.55,34.65,357437.0
2020-02-11,34.83,35.13,34.52,34.57,269507.0
2020-02-10,34.3,34.77,34.2904,34.75,300192.0
2020-02-07,34.62,34.78,34.36,34.45,263334.0
2020-02-06,35.05,35.05,34.61,34.68,300199.0
2020-02-05,34.85,35.13,34.84,35.08,439678.0
2020-02-04,34.97,35.05,34.5,34.59,397640.0
2020-02-03,34.21,34.63,34.105,34.54,564314.0
2020-01-31,34.38,34.38,33.82,34.0,505500.0
2020-01-30,34.23,34.76,34.0,34.6,424554.0
2020-01-29,35.01,35.16,34.41,34.44,518534.0
2020-01-28,34.94,35.055,34.62,35.0,530091.0
2020-01-27,34.63,34.955,34.42,34.68,600850.0
2020-01-24,35.64,35.68,34.92,35.11,402604.0
2020-01-23,35.27,35.75,34.99,35.64,434990.0
2020-01-22,35.68,35.9,35.22,35.335,269750.0
2020-01-21,35.54,35.9,35.3308,35.66,395948.0
2020-01-17,36.29,36.29,35.575,35.605,371080.0
2020-01-16,35.81,36.205,35.57,36.045,386275.0
2020-01-15,36.54,36.8,35.02,35.71,639111.0
2020-01-14,35.53,35.875,35.42,35.74,530617.0
2020-01-13,35.27,35.71,35.07,35.65,272692.0
2020-01-10,35.5,35.59,35.13,35.29,192744.0
2020-01-09,35.66,35.925,35.54,35.57,247077.0
2020-01-08,35.55,35.95,35.34,35.61,281228.0
2020-01-07,35.86,36.15,35.57,35.625,201460.0
2020-01-06,36.14,36.28,35.7,36.115,424401.0
2020-01-03,36.08,36.48,35.87,36.4,232051.0
2020-01-02,36.8,36.845,35.97,36.49,254950.0
2019-12-31,36.81,37.05,36.63,36.65,324474.0
2019-12-30,36.87,37.07,36.71,36.88,187585.0
2019-12-27,37.17,37.17,36.61,36.84,208267.0
2019-12-26,37.34,37.5,36.985,37.04,226053.0
2019-12-24,37.23,37.33,37.05,37.25,77371.0
2019-12-23,38.16,38.16,37.17,37.28,242120.0
2019-12-20,37.75,38.18,37.72,38.01,1641902.0
2019-12-19,37.68,37.81,37.465,37.75,394545.0
2019-12-18,37.54,37.74,37.22,37.61,449436.0
2019-12-17,37.22,37.53,36.94,37.39,329441.0
2019-12-16,36.97,37.3,36.97,37.12,387028.0
2019-12-13,37.1,37.18,36.41,36.77,278630.0
2019-12-12,36.73,37.31,36.585,37.075,241697.0
2019-12-11,36.76,36.78,36.51,36.68,276267.0
2019-12-10,36.55,36.72,36.3342,36.52,400048.0
2019-12-09,36.44,36.63,36.3,36.51,236234.0
2019-12-06,37.05,37.21,36.48,36.54,328558.0
2019-12-05,36.77,36.94,36.52,36.71,315687.0
2019-12-04,36.48,36.82,36.48,36.69,255525.0
2019-12-03,36.23,36.46,35.95,36.41,215573.0
2019-12-02,36.9,36.93,36.43,36.56,305659.0
2019-11-29,37.02,37.2,36.76,36.81,92258.0
2019-11-27,37.03,37.18,36.79,37.07,296220.0
2019-11-26,36.89,37.21,36.72,36.93,190245.0
2019-11-25,36.72,37.05,36.48,36.96,366394.0
2019-11-22,36.73,36.944,36.325,36.53,279355.0
2019-11-21,36.82,36.82,36.29,36.54,196889.0
2019-11-20,36.88,37.055,36.28,36.6,328104.0
2019-11-19,36.7,36.9906,36.57,36.91,338186.0
2019-11-18,36.75,36.76,36.21,36.57,184582.0
2019-11-15,37.08,37.08,36.68,36.78,270986.0
2019-11-14,36.87,37.1,36.68,36.84,261023.0
2019-11-13,36.53,37.095,36.25,36.95,206680.0
2019-11-12,36.79,37.07,36.5027,36.84,152583.0
2019-11-11,36.75,36.96,36.7,36.8,236159.0
2019-11-08,36.92,37.04,36.755,36.91,193108.0
2019-11-07,37.19,37.4,36.77,36.89,178080.0
2019-11-06,37.12,37.13,36.74,37.07,171912.0
2019-11-05,36.87,37.29,36.87,37.095,513577.0
2019-11-04,37.1,37.1,36.6105,36.74,292755.0
2019-11-01,36.73,36.91,36.37,36.71,270125.0
2019-10-31,36.35,36.49,35.6,36.46,494058.0
2019-10-30,36.89,36.89,36.37,36.57,240466.0
2019-10-29,36.52,36.98,36.52,36.9,542130.0
2019-10-28,36.5,36.96,36.49,36.56,282475.0
2019-10-25,36.14,36.64,35.975,36.45,240961.0
2019-10-24,36.75,36.75,35.89,36.04,200653.0
2019-10-23,36.69,36.87,36.2,36.52,368913.0
2019-10-22,36.66,36.86,36.17,36.61,328972.0
2019-10-21,36.28,36.9019,35.69,36.59,295312.0
2019-10-18,35.57,36.24,35.57,36.105,198799.0
2019-10-17,35.77,35.85,35.01,35.76,535450.0
2019-10-16,36.66,36.93,35.16,35.83,501371.0
2019-10-15,36.68,37.14,36.54,36.82,210133.0
2019-10-14,36.48,36.73,36.45,36.65,189018.0
2019-10-11,36.88,37.33,36.67,36.73,347353.0
2019-10-10,36.47,36.74,36.255,36.33,326366.0
2019-10-09,36.17,36.54,35.99,36.31,343165.0
2019-10-08,36.14,36.26,35.91,35.99,209452.0
2019-10-07,36.61,36.77,36.29,36.54,203401.0
2019-10-04,36.31,36.63,35.9908,36.605,173603.0
2019-10-03,36.07,36.25,35.47,36.19,230697.0
2019-10-02,36.08,36.28,35.7487,36.08,286602.0
2019-10-01,37.19,37.39,36.24,36.41,330203.0
2019-09-30,37.37,37.38,36.94,36.99,480862.0
2019-09-27,37.43,37.8,37.03,37.315,445601.0
2019-09-26,37.63,37.87,37.2,37.24,235004.0
2019-09-25,37.06,37.91,37.06,37.78,305625.0
2019-09-24,37.77,37.92,36.83,37.09,388364.0
2019-09-23,37.36,37.99,37.13,37.79,275316.0
2019-09-20,37.57,38.02,37.47,37.49,1171428.0
