date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,9.21,9.21,9.21,9.21,100.0
2020-04-23,8.75,9.2,8.4,8.4,2206.0
2020-04-22,8.5,8.5,8.27,8.27,201.0
2020-04-21,7.5,7.7,7.5,7.7,1269.0
2020-04-20,7.9,8.03,7.5,7.835,8950.0
2020-04-17,8.75,8.75,8.75,8.75,0.0
2020-04-16,8.75,8.75,8.75,8.75,50.0
2020-04-15,8.75,8.75,8.75,8.75,0.0
2020-04-14,8.75,8.75,8.75,8.75,0.0
2020-04-13,8.25,8.75,8.25,8.75,1900.0
2020-04-09,7.9,7.9,7.9,7.9,0.0
2020-04-08,7.9,7.9,7.9,7.9,0.0
2020-04-07,7.9,7.9,7.9,7.9,200.0
2020-04-06,8.11,8.11,8.11,8.11,0.0
2020-04-03,8.1101,8.14,8.11,8.11,2000.0
2020-04-02,8.11,8.11,8.11,8.11,400.0
2020-04-01,9.0,9.1979,9.0,9.1979,1101.0
2020-03-31,8.74,8.82,8.72,8.82,2310.0
2020-03-30,6.5,7.77,6.5,7.77,8674.0
2020-03-27,6.33,6.33,5.47,6.3,4235.0
2020-03-26,6.81,6.81,6.81,6.81,200.0
2020-03-25,6.27,6.9,6.27,6.8663,22268.0
2020-03-24,5.89,6.31,5.23,6.01,2027.0
2020-03-23,6.0,6.2305,6.0,6.0,4500.0
2020-03-20,6.53,6.53,6.0,6.0,810.0
2020-03-19,5.23,6.84,5.08,6.61,10026.0
2020-03-18,5.4,5.45,4.5,4.76,5061.0
2020-03-17,8.79,8.79,7.41,7.5,6906.0
2020-03-16,9.02,9.3,8.61,8.62,7172.0
2020-03-13,10.5001,11.44,9.75,10.0,5805.0
2020-03-12,10.47,10.6,10.3186,10.3186,2428.0
2020-03-11,12.6,12.8,11.65,11.7,54290.0
2020-03-10,12.7,12.7,12.7,12.7,0.0
2020-03-09,13.39,13.5865,12.56,12.7,13898.0
2020-03-06,13.97,14.26,13.97,14.25,27566.0
2020-03-05,14.25,14.3462,13.9,14.25,48688.0
2020-03-04,13.83,14.0,13.83,14.0,3700.0
2020-03-03,14.6,14.65,13.9766,14.0,7594.0
2020-03-02,14.07,14.07,14.07,14.07,1.0
2020-02-28,14.55,14.55,13.86,14.07,8940.0
2020-02-27,14.75,14.8238,14.49,14.75,3600.0
2020-02-26,15.0,15.0,15.0,15.0,11591.0
2020-02-25,15.0,15.0375,15.0,15.0375,1800.0
2020-02-24,15.16,15.16,15.05,15.05,5211.0
2020-02-21,15.17,15.19,15.06,15.1554,10112.0
2020-02-20,15.1,15.2,15.1,15.2,6497.0
2020-02-19,15.0,15.1253,15.0,15.1253,3250.0
2020-02-18,15.13,15.13,15.13,15.13,0.0
2020-02-14,15.1,15.13,15.1,15.13,610.0
2020-02-13,15.0782,15.0837,15.033,15.033,2045.0
2020-02-12,15.0834,15.1,15.06,15.09,2839.0
2020-02-11,15.25,15.25,15.0003,15.2,12400.0
2020-02-10,15.3718,15.3718,15.06,15.06,3689.0
2020-02-07,15.5,15.5,15.15,15.15,42235.0
2020-02-06,15.24,15.4309,15.22,15.4309,11150.0
2020-02-05,15.4,15.4,15.2,15.25,4549.0
2020-02-04,15.1002,15.3242,15.1002,15.18,4900.0
2020-02-03,15.05,15.05,15.05,15.05,125.0
2020-01-31,15.1801,15.2,15.13,15.13,2844.0
2020-01-29,15.35,15.35,15.15,15.252,3643.0
2020-01-28,15.35,15.5,15.15,15.3231,5686.0
2020-01-27,15.19,15.4981,14.81,15.49,4691.0
2020-01-24,15.1,15.1908,15.1,15.1908,2900.0
2020-01-23,15.2,15.2,15.09,15.09,4600.0
2020-01-22,15.06,15.5,15.06,15.2649,2873.0
2020-01-21,15.1,15.497,15.0,15.3405,3112.0
2020-01-17,15.0,15.105,14.83,15.01,7472.0
2020-01-16,15.2328,15.35,15.175,15.175,3151.0
2020-01-15,15.43,15.5,14.75,15.3162,8809.0
2020-01-14,15.39,15.39,15.102,15.21,3670.0
2020-01-13,15.5748,15.5748,15.5748,15.5748,35.0
2020-01-10,15.2102,15.5748,14.5101,15.5748,6232.0
2020-01-09,15.43,15.43,14.81,14.884,1700.0
2020-01-08,15.0,15.462,15.0,15.1673,9979.0
2020-01-07,14.965,14.965,14.965,14.965,1006.0
2020-01-06,15.25,15.5,14.56,14.965,7142.0
2020-01-03,14.9845,14.9845,14.9845,14.9845,1000.0
2020-01-02,14.9845,14.9845,14.9845,14.9845,12.0
2019-12-31,15.05,15.075,14.905,14.9845,4800.0
2019-12-30,15.25,15.25,14.75,14.75,1851.0
2019-12-27,15.0,15.0,14.95,15.0,2800.0
