date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,13.08,13.1125,13.08,13.1125,1319.0
2020-03-30,13.3,13.3,13.011,13.08,959.0
2020-03-27,13.1,13.1651,13.055,13.055,2952.0
2020-03-26,13.2998,13.3,13.1,13.2229,1726.0
2020-03-25,13.4,13.4,13.2491,13.2491,366.0
2020-03-24,13.72,13.8661,13.2,13.45,690.0
2020-03-23,13.5,13.8735,13.5,13.5,11958.0
2020-03-20,14.4,14.4,13.65,13.6501,537.0
2020-03-19,13.6,15.89,13.5,15.89,1203.0
2020-03-18,13.75,13.7822,13.75,13.7822,1004.0
2020-03-17,13.75,13.9,13.75,13.9,747.0
2020-03-16,13.75,14.0,13.75,13.7502,824.0
2020-03-13,14.5,14.65,14.5,14.65,1991.0
2020-03-12,14.7499,14.8,14.7,14.75,6044.0
2020-03-11,14.955,15.075,14.71,14.9,3860.0
2020-03-10,15.25,15.3263,15.25,15.25,1325.0
2020-03-09,15.9,15.9,15.25,15.25,1632.0
2020-03-06,16.3917,16.3917,16.3917,16.3917,172.0
2020-03-05,16.35,16.3917,16.35,16.3917,885.0
2020-03-04,16.5212,16.5212,16.489,16.489,270.0
2020-03-03,16.415,16.415,16.415,16.415,4.0
2020-03-02,16.35,16.415,16.35,16.415,465.0
2020-02-28,16.35,16.35,16.35,16.35,290.0
2020-02-27,16.5911,16.5911,16.5911,16.5911,142.0
2020-02-26,16.37,16.4718,16.36,16.4081,4094.0
2020-02-25,16.4713,16.4713,16.4713,16.4713,579.0
2020-02-24,16.78,16.78,16.3642,16.3642,3071.0
2020-02-21,16.79,16.79,16.79,16.79,102.0
2020-02-20,16.79,16.79,16.79,16.79,127.0
2020-02-19,16.79,16.79,16.79,16.79,249.0
2020-02-18,16.75,16.75,16.68,16.75,3110.0
2020-02-14,16.8503,16.89,16.824,16.824,8030.0
2020-02-13,16.83,16.83,16.83,16.83,27.0
2020-02-12,16.83,16.83,16.83,16.83,385.0
2020-02-11,16.744,16.744,16.744,16.744,140.0
2020-02-10,16.769,16.769,16.66,16.744,1114.0
2020-02-07,16.83,16.83,16.83,16.83,178.0
2020-02-06,16.85,16.85,16.85,16.85,194.0
2020-02-05,16.94,16.94,16.805,16.805,953.0
2020-02-04,16.7689,16.7689,16.7689,16.7689,535.0
2020-02-03,16.93,16.93,16.93,16.93,169.0
2020-01-31,16.93,16.96,16.93,16.93,7061.0
2020-01-30,16.93,16.93,16.93,16.93,1528.0
2020-01-29,16.8,16.8,16.75,16.75,261.0
2020-01-28,16.61,16.61,16.61,16.61,0.0
2020-01-27,16.61,16.61,16.61,16.61,221.0
2020-01-24,17.06,17.06,17.06,17.06,17.0
2020-01-23,17.06,17.06,17.06,17.06,662.0
2020-01-22,16.9,16.9896,16.9,16.9896,2677.0
2020-01-21,16.56,16.8113,16.56,16.8113,1783.0
2020-01-17,16.6599,16.6599,16.6599,16.6599,1497.0
2020-01-16,16.8602,16.8602,16.8602,16.8602,44.0
2020-01-15,16.95,16.9661,16.86,16.8602,1343.0
2020-01-14,16.7533,16.7533,16.7533,16.7533,30.0
2020-01-13,16.8704,16.8704,16.75,16.7533,1128.0
2020-01-10,16.48,16.48,16.48,16.48,77.0
2020-01-09,16.47,16.48,16.45,16.48,2127.0
2020-01-08,16.2853,16.41,16.2853,16.41,2498.0
2020-01-07,16.26,16.26,16.26,16.26,0.0
2020-01-06,16.2607,16.2607,16.2607,16.2607,10.0
2020-01-03,16.26,16.2607,16.26,16.2607,1319.0
2020-01-02,16.02,16.02,16.02,16.02,0.0
2019-12-31,16.02,16.02,16.02,16.02,83.0
2019-12-30,16.02,16.02,16.02,16.02,439.0
2019-12-27,16.3,16.3,16.1062,16.1062,519.0
2019-12-26,15.97,16.1,15.97,16.1,1347.0
2019-12-24,16.1,16.1,16.1,16.1,40.0
2019-12-23,16.1,16.1,16.1,16.1,1.0
2019-12-20,16.1,16.1,16.1,16.1,140.0
2019-12-19,16.1,16.1,16.1,16.1,115.0
2019-12-18,16.1,16.1,16.1,16.1,13.0
2019-12-17,16.1,16.1,16.1,16.1,1189.0
2019-12-16,15.8415,15.8415,15.8415,15.8415,4.0
2019-12-13,15.8415,15.8415,15.8415,15.8415,10.0
2019-12-12,15.75,15.9598,15.75,15.8415,1868.0
2019-12-11,16.42,16.42,15.95,15.95,5217.0
2019-12-10,15.75,15.75,15.75,15.75,242.0
2019-12-09,15.8,16.15,15.78,16.15,3338.0
2019-12-06,15.2,15.26,15.2,15.26,345.0
2019-12-05,15.7033,15.7033,15.4,15.7,2269.0
2019-12-04,15.36,15.36,15.36,15.36,444.0
2019-12-03,15.72,16.05,15.72,15.72,5975.0
2019-12-02,15.76,15.95,15.76,15.95,891.0
2019-11-29,16.0107,16.0107,16.0107,16.0107,88.0
2019-11-27,15.77,16.15,15.77,16.0107,1542.0
2019-11-26,16.01,16.01,16.01,16.01,3.0
2019-11-25,15.82,16.01,15.82,16.01,235.0
2019-11-22,15.76,15.76,15.76,15.76,436.0
2019-11-21,15.72,16.1173,15.72,16.1173,824.0
2019-11-20,15.86,16.23,15.72,15.72,1604.0
2019-11-19,15.73,16.3976,15.73,16.3,2339.0
2019-11-18,15.9794,15.9794,15.9794,15.9794,130.0
2019-11-15,16.05,16.14,16.05,16.14,462.0
2019-11-14,15.98,15.98,15.98,15.98,0.0
2019-11-13,15.98,15.98,15.98,15.98,499.0
2019-11-12,15.98,15.98,15.98,15.98,0.0
2019-11-11,15.56,15.98,15.56,15.98,699.0
2019-11-08,15.56,15.56,15.56,15.56,375.0
2019-11-07,16.0454,16.0454,15.5,15.9,1386.0
2019-11-06,15.75,15.75,15.75,15.75,137.0
2019-11-05,15.75,15.75,15.75,15.75,383.0
2019-11-04,15.5839,15.5839,15.5839,15.5839,23.0
2019-11-01,15.5839,15.5839,15.5839,15.5839,6.0
2019-10-31,15.5839,15.5839,15.5839,15.5839,135.0
2019-10-30,15.5839,15.5839,15.5839,15.5839,102.0
2019-10-29,15.5839,15.5839,15.5839,15.5839,419.0
2019-10-28,15.4591,15.4591,15.4591,15.4591,197.0
2019-10-25,15.31,15.31,15.31,15.31,148.0
2019-10-24,15.31,15.31,15.31,15.31,0.0
2019-10-23,15.31,15.31,15.31,15.31,192.0
2019-10-22,14.86,15.4905,14.86,15.31,999.0
2019-10-21,15.3,15.6068,15.3,15.6068,1546.0
2019-10-18,15.4249,15.4249,15.4249,15.4249,157.0
2019-10-17,15.425,15.425,15.425,15.425,15.0
2019-10-16,14.76,15.425,14.76,15.425,1012.0
2019-10-15,15.25,15.9,15.25,15.9,1606.0
2019-10-14,15.9,16.14,15.9,16.14,1297.0
2019-10-11,15.7872,15.7872,15.7872,15.7872,135.0
2019-10-10,15.26,15.26,15.26,15.26,1646.0
2019-10-09,15.56,15.7169,15.56,15.7169,1401.0
2019-10-08,16.03,16.03,16.03,16.03,107.0
2019-10-07,16.03,16.03,16.03,16.03,201.0
2019-10-04,15.33,16.03,15.33,16.03,1745.0
2019-10-03,15.33,15.5742,15.33,15.5742,959.0
2019-10-02,15.43,15.7,15.43,15.6,1080.0
2019-10-01,15.52,15.52,15.52,15.52,525.0
2019-09-30,16.0,16.0,16.0,16.0,1981.0
2019-09-27,16.06,16.06,16.06,16.06,0.0
2019-09-26,16.06,16.06,16.06,16.06,5.0
2019-09-25,16.14,16.14,16.03,16.06,4009.0
2019-09-24,15.88,16.15,15.31,15.31,826.0
2019-09-23,16.01,16.01,16.01,16.01,97.0
2019-09-20,15.25,16.01,15.25,16.01,2990.0
2019-09-19,15.26,15.26,15.26,15.26,378.0
2019-09-18,15.12,15.12,15.12,15.12,219.0
2019-09-17,15.355,15.355,15.355,15.355,378.0
2019-09-16,15.52,15.52,15.32,15.355,2683.0
2019-09-13,15.82,15.82,15.62,15.623,6888.0
