date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.86,1.93,1.75,1.89,261494.0
2020-04-23,1.69,1.95,1.65,1.83,594279.0
2020-04-22,1.68,1.75,1.6411,1.67,371364.0
2020-04-21,1.75,1.75,1.56,1.65,770325.0
2020-04-20,1.66,1.94,1.645,1.69,664911.0
2020-04-17,1.7,1.83,1.5795,1.66,676468.0
2020-04-16,1.79,1.79,1.66,1.68,279805.0
2020-04-15,1.86,1.93,1.71,1.76,396136.0
2020-04-14,1.89,2.05,1.8,1.95,789916.0
2020-04-13,1.95,1.98,1.8,1.82,232644.0
2020-04-09,1.92,2.04,1.8191,1.96,281833.0
2020-04-08,1.78,1.96,1.74,1.86,268876.0
2020-04-07,2.1,2.1,1.69,1.71,380977.0
2020-04-06,1.8,2.0,1.8,1.99,255657.0
2020-04-03,1.62,1.79,1.6094,1.695,276916.0
2020-04-02,1.7875,1.79,1.5,1.56,839071.0
2020-04-01,1.87,1.93,1.75,1.76,188259.0
2020-03-31,2.15,2.15,1.85,1.95,340318.0
2020-03-30,2.04,2.17,1.95,2.17,189276.0
2020-03-27,2.2,2.2,2.04,2.05,195656.0
2020-03-26,1.93,2.3,1.85,2.28,399689.0
2020-03-25,2.03,2.05,1.82,1.88,372032.0
2020-03-24,1.7,2.0,1.6784,2.0,445458.0
2020-03-23,1.66,1.77,1.45,1.67,428006.0
2020-03-20,1.74,1.9,1.59,1.61,960497.0
2020-03-19,1.63,1.79,1.42,1.69,471105.0
2020-03-18,1.73,1.79,1.48,1.49,386744.0
2020-03-17,1.66,1.95,1.6,1.79,500471.0
2020-03-16,2.04,2.1,1.5,1.57,589366.0
2020-03-13,1.95,2.33,1.8201,2.3,1215650.0
2020-03-12,2.07,2.07,1.76,1.79,822790.0
2020-03-11,1.91,2.5,1.9,2.22,589796.0
2020-03-10,2.03,2.07,1.74,2.01,1174806.0
2020-03-09,2.36,2.54,1.9,1.94,988682.0
2020-03-06,3.03,3.09,2.59,2.64,770285.0
2020-03-05,3.3,3.315,3.07,3.12,294175.0
2020-03-04,3.46,3.46,3.3138,3.37,277359.0
2020-03-03,3.61,3.7,3.27,3.385,770933.0
2020-03-02,3.58,3.75,3.525,3.64,409793.0
2020-02-28,3.52,3.66,3.43,3.56,623452.0
2020-02-27,3.8,3.85,3.52,3.6,572160.0
2020-02-26,4.07,4.22,3.82,3.85,394993.0
2020-02-25,4.08,4.23,4.02,4.05,376148.0
2020-02-24,4.26,4.43,4.09,4.1,467418.0
2020-02-21,4.65,4.74,4.34,4.375,795345.0
2020-02-20,4.66,4.99,4.625,4.645,681214.0
2020-02-19,4.53,4.76,4.44,4.705,1026602.0
2020-02-18,4.25,4.42,4.08,4.33,1221284.0
2020-02-14,4.15,4.19,3.87,4.0,815441.0
2020-02-13,4.05,4.15,3.84,4.13,1404072.0
2020-02-12,4.04,4.3,3.965,4.03,6429782.0
2020-02-11,5.4,5.5,4.16,4.33,1409725.0
2020-02-10,6.09,6.17,5.9,6.11,129794.0
2020-02-07,6.18,6.18,5.96,6.1,69521.0
2020-02-06,6.12,6.18,5.93,6.16,88970.0
2020-02-05,6.01,6.19,6.01,6.11,116420.0
2020-02-04,6.16,6.29,5.86,5.95,252078.0
2020-02-03,6.43,6.47,5.9,6.11,280836.0
2020-01-31,5.89,6.4,5.82,6.37,367087.0
2020-01-30,5.98,6.1,5.85,5.95,131526.0
2020-01-29,6.13,6.22,5.92,6.01,107945.0
2020-01-28,5.94,6.19,5.91,6.11,124862.0
2020-01-27,5.53,6.05,5.5,5.98,332702.0
2020-01-24,6.11,6.1681,5.68,5.75,336588.0
2020-01-23,6.06,6.23,5.93,6.04,144815.0
2020-01-22,6.2,6.25,6.02,6.15,131374.0
2020-01-21,6.12,6.18,5.83,6.14,189626.0
2020-01-17,6.35,6.37,6.085,6.19,129341.0
2020-01-16,6.26,6.39,6.05,6.265,197793.0
2020-01-15,5.95,6.29,5.95,6.19,226174.0
2020-01-14,5.48,5.96,5.42,5.93,350384.0
2020-01-13,5.85,5.8913,5.3,5.55,263930.0
2020-01-10,6.18,6.26,5.8,5.805,284949.0
2020-01-09,6.25,6.43,5.82,6.155,292722.0
2020-01-08,6.33,6.4867,5.96,6.25,448209.0
2020-01-07,6.66,6.8579,6.03,6.39,1374395.0
2020-01-06,6.11,6.2414,5.76,5.79,520539.0
2020-01-03,6.57,6.69,6.02,6.07,240876.0
2020-01-02,7.16,7.24,6.68,6.7,230766.0
2019-12-31,7.17,7.41,6.81,7.05,286482.0
2019-12-30,7.45,7.6856,7.05,7.24,295314.0
2019-12-27,7.85,7.91,7.38,7.45,147633.0
2019-12-26,8.03,8.1791,7.74,7.81,203037.0
2019-12-24,7.96,8.04,7.7,8.01,98417.0
2019-12-23,7.6,8.12,7.45,7.95,569821.0
2019-12-20,7.68,7.749,7.39,7.56,291894.0
2019-12-19,7.74,7.83,7.04,7.6,315944.0
2019-12-18,7.85,8.045,7.66,7.74,171913.0
2019-12-17,7.8,7.95,7.47,7.83,309222.0
2019-12-16,8.3,8.48,7.7,7.78,262042.0
2019-12-13,8.78,9.13,8.11,8.3,277769.0
2019-12-12,8.85,8.9993,8.555,8.82,249078.0
2019-12-11,9.5,9.69,8.64,8.91,369868.0
2019-12-10,8.91,9.28,8.8838,9.0,299166.0
2019-12-09,8.74,9.0,8.72,8.87,214846.0
2019-12-06,8.63,8.85,8.37,8.75,143454.0
2019-12-05,8.81,8.95,8.6,8.68,97400.0
2019-12-04,8.79,9.16,8.77,8.94,125806.0
2019-12-03,8.38,8.87,8.33,8.8,113377.0
2019-12-02,9.05,9.18,8.3375,8.5,202311.0
2019-11-29,8.98,9.39,8.85,8.93,150499.0
2019-11-27,8.53,8.95,8.5,8.56,84260.0
2019-11-26,8.67,8.95,8.4,8.77,93718.0
2019-11-25,8.23,8.82,8.1,8.64,248228.0
2019-11-22,7.7,8.19,7.7,8.11,130700.0
2019-11-21,7.94,8.0,7.7,7.75,146515.0
2019-11-20,7.97,8.09,7.71,7.89,259969.0
2019-11-19,7.89,8.24,7.87,8.0,109742.0
2019-11-18,8.23,8.3,7.71,7.85,130369.0
2019-11-15,7.99,8.26,7.75,8.23,92945.0
2019-11-14,8.08,8.18,7.8,7.96,65014.0
2019-11-13,8.07,8.22,7.78,8.1,117698.0
2019-11-12,8.49,8.5,8.14,8.19,80140.0
2019-11-11,7.89,8.49,7.82,8.46,84954.0
2019-11-08,8.2,8.4,7.97,8.02,109224.0
2019-11-07,9.01,9.28,8.14,8.23,116656.0
2019-11-06,8.79,9.047,8.5663,8.92,75229.0
2019-11-05,8.8,8.96,8.53,8.77,121741.0
2019-11-04,8.74,8.98,8.55,8.77,65105.0
2019-11-01,8.2,8.75,8.16,8.72,66347.0
2019-10-31,7.98,8.24,7.9,8.18,59710.0
2019-10-30,7.99,8.14,7.775,7.96,57799.0
2019-10-29,7.66,8.17,7.61,8.0,194096.0
2019-10-28,8.06,8.07,7.53,7.69,168054.0
2019-10-25,7.91,8.15,7.91,8.01,51626.0
2019-10-24,7.79,8.09,7.66,7.99,107577.0
2019-10-23,7.91,8.07,7.62,7.75,111454.0
2019-10-22,8.59,8.655,7.77,7.92,119524.0
2019-10-21,9.11,9.11,8.47,8.57,73461.0
2019-10-18,8.92,9.4,8.92,9.01,166472.0
2019-10-17,8.47,9.14,8.41,9.0,120840.0
2019-10-16,8.04,8.59,8.04,8.49,71970.0
2019-10-15,7.67,8.15,7.67,8.04,57031.0
2019-10-14,7.85,7.92,7.44,7.7,107645.0
2019-10-11,7.83,8.25,7.73,7.85,82877.0
2019-10-10,7.69,7.87,7.475,7.72,94261.0
2019-10-09,8.35,8.4,7.3601,7.64,161950.0
2019-10-08,8.57,8.63,8.11,8.27,93487.0
2019-10-07,8.68,9.19,8.32,8.67,115480.0
2019-10-04,8.75,9.03,8.3102,8.75,104613.0
2019-10-03,8.72,8.7863,8.34,8.67,80672.0
2019-10-02,9.19,9.36,8.56,8.75,148929.0
2019-10-01,9.81,10.125,9.19,9.31,136773.0
2019-09-30,9.97,10.03,9.685,9.83,206321.0
2019-09-27,9.73,10.11,9.48,9.64,166861.0
2019-09-26,9.85,9.9,9.4,9.68,108030.0
2019-09-25,9.45,9.98,9.13,9.89,102878.0
2019-09-24,10.04,10.26,9.4,9.51,93388.0
2019-09-23,10.23,10.235,9.95,10.01,107550.0
2019-09-20,10.34,10.8122,9.84,10.23,262555.0
2019-09-19,10.37,10.89,10.17,10.35,75210.0
2019-09-18,10.73,10.76,10.13,10.34,134667.0
2019-09-17,11.05,11.1635,10.66,10.74,164418.0
2019-09-16,10.38,11.16,10.3,11.0,375710.0
2019-09-13,10.31,10.615,10.14,10.42,107053.0
2019-09-12,10.13,11.0,9.77,10.37,312323.0
2019-09-11,9.86,10.42,8.8101,10.22,708533.0
2019-09-10,11.17,12.29,9.4,9.74,1652549.0
2019-09-09,10.81,11.25,10.65,10.94,435602.0
2019-09-06,10.84,11.09,10.61,10.81,244084.0
2019-09-05,11.25,11.46,10.22,10.75,238550.0
2019-09-04,11.91,11.9175,11.0,11.1,151861.0
2019-09-03,11.45,11.88,11.3,11.79,95257.0
2019-08-30,11.58,11.63,11.14,11.59,71278.0
2019-08-29,11.26,11.75,11.1983,11.55,76196.0
2019-08-28,10.65,11.19,10.2209,11.08,84709.0
2019-08-27,11.32,11.4115,10.61,10.65,69737.0
2019-08-26,11.01,11.33,10.7391,11.2,71534.0
2019-08-23,11.35,11.6,10.6,10.81,129577.0
2019-08-22,12.19,12.19,11.0,11.45,145844.0
2019-08-21,11.65,12.5039,11.62,12.19,339790.0
2019-08-20,11.71,12.1799,11.45,11.62,114701.0
2019-08-19,11.82,11.93,11.5251,11.69,81998.0
2019-08-16,10.92,11.75,10.84,11.59,117952.0
2019-08-15,11.24,11.2506,10.63,10.81,166397.0
2019-08-14,11.5,11.79,10.99,11.24,193322.0
