date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,1.74,1.94,1.55,1.92,2303456.0
2020-04-08,2.22,2.4,1.8,1.9,9140696.0
2020-04-07,1.0,2.74,1.0,2.7,34233448.0
2020-04-06,0.642,0.72,0.6405,0.72,93628.0
2020-04-03,0.7,0.7194,0.61,0.619,61623.0
2020-04-02,0.7035,0.7867,0.67,0.7037,87684.0
2020-04-01,0.8,0.82,0.6654,0.67,127953.0
2020-03-31,0.972,0.972,0.65,0.7,201323.0
2020-03-30,1.08,1.09,0.9,0.9583,63389.0
2020-03-27,1.19,1.19,1.03,1.03,70950.0
2020-03-26,1.29,1.34,1.1,1.23,50388.0
2020-03-25,1.38,1.38,1.22,1.29,46028.0
2020-03-24,1.39,1.4,1.18,1.37,102588.0
2020-03-23,1.38,1.44,1.1491,1.37,88374.0
2020-03-20,1.26,1.39,1.15,1.39,94958.0
2020-03-19,1.07,1.21,1.05,1.2,65437.0
2020-03-18,1.5,1.5,1.17,1.18,104185.0
2020-03-17,1.5,1.59,1.4,1.45,128868.0
2020-03-16,1.38,1.46,1.21,1.43,73637.0
2020-03-13,1.33,1.39,1.27,1.39,67512.0
2020-03-12,1.45,1.5,1.21,1.28,165632.0
2020-03-11,1.22,1.34,1.22,1.31,99561.0
2020-03-10,1.32,1.32,1.1942,1.26,44102.0
2020-03-09,1.17,1.3566,1.08,1.31,116635.0
2020-03-06,1.29,1.33,1.145,1.21,51687.0
2020-03-05,1.46,1.52,1.33,1.34,108746.0
2020-03-04,1.33,1.47,1.25,1.46,118411.0
2020-03-03,1.24,1.3199,1.211,1.26,102166.0
2020-03-02,1.07,1.25,1.07,1.245,95936.0
2020-02-28,1.1,1.1674,1.07,1.1,76366.0
2020-02-27,1.22,1.2301,1.14,1.14,71632.0
2020-02-26,1.27,1.34,1.2,1.26,30778.0
2020-02-25,1.2854,1.32,1.25,1.27,32777.0
2020-02-24,1.32,1.33,1.27,1.32,52023.0
2020-02-21,1.38,1.38,1.34,1.34,28454.0
2020-02-20,1.38,1.4422,1.36,1.37,33964.0
2020-02-19,1.44,1.44,1.35,1.38,68557.0
2020-02-18,1.45,1.49,1.42,1.44,44285.0
2020-02-14,1.45,1.49,1.42,1.44,32763.0
2020-02-13,1.39,1.51,1.32,1.44,127271.0
2020-02-12,1.42,1.44,1.38,1.4,30504.0
2020-02-11,1.46,1.53,1.39,1.42,54034.0
2020-02-10,1.6,1.6,1.42,1.44,48141.0
2020-02-07,1.51,1.62,1.49,1.55,60466.0
2020-02-06,1.61,1.61,1.47,1.52,110364.0
2020-02-05,1.5,1.57,1.3765,1.56,32660.0
2020-02-04,1.45,1.5834,1.4098,1.5,35248.0
2020-02-03,1.61,1.62,1.3806,1.46,104138.0
2020-01-31,1.49,1.57,1.4615,1.56,85155.0
2020-01-30,1.38,1.56,1.38,1.5,97955.0
2020-01-29,1.37,1.62,1.31,1.54,316406.0
2020-01-28,1.72,1.7776,1.55,1.61,626970.0
2020-01-27,2.15,2.1802,1.68,1.74,231490.0
2020-01-24,2.38,2.4573,2.18,2.2,36118.0
2020-01-23,2.19,2.36,2.1069,2.35,82715.0
2020-01-22,2.39,2.405,2.17,2.2,95792.0
2020-01-21,2.55,2.5578,2.36,2.39,117080.0
2020-01-17,2.82,2.82,2.61,2.63,41015.0
2020-01-16,2.75,2.9,2.74,2.77,69609.0
2020-01-15,2.73,2.805,2.68,2.7,124440.0
2020-01-14,2.66,2.9243,2.66,2.71,74454.0
2020-01-13,2.87,2.9,2.5401,2.71,92377.0
2020-01-10,3.12,3.139,2.85,2.87,113216.0
2020-01-09,3.21,3.23,3.14,3.14,136606.0
2020-01-08,3.2,3.2301,3.2,3.21,42240.0
2020-01-07,3.25,3.4,3.11,3.14,123224.0
2020-01-06,3.5,3.5,3.2,3.25,165239.0
2020-01-03,3.2,3.64,3.2,3.47,97908.0
2020-01-02,3.31,3.4336,3.12,3.21,62362.0
2019-12-31,3.4,3.6064,3.24,3.26,103892.0
2019-12-30,3.68,3.68,3.3793,3.4,78285.0
2019-12-27,3.68,3.77,3.66,3.68,24755.0
2019-12-26,3.73,3.74,3.63,3.65,12033.0
2019-12-24,3.56,3.75,3.56,3.68,16617.0
2019-12-23,3.38,3.52,3.36,3.5,57467.0
2019-12-20,3.62,3.63,3.26,3.44,87992.0
2019-12-19,3.19,3.6,3.1,3.58,80077.0
2019-12-18,3.54,3.6,3.25,3.28,156203.0
2019-12-17,3.6,3.65,3.45,3.5,65284.0
2019-12-16,3.73,3.75,3.54,3.57,44747.0
2019-12-13,3.87,3.98,3.6202,3.69,98775.0
2019-12-12,3.93,3.99,3.8,3.83,50816.0
2019-12-11,4.02,4.03,3.89,3.94,42858.0
2019-12-10,4.01,4.14,3.88,3.97,37286.0
2019-12-09,3.95,4.14,3.95,4.03,21621.0
2019-12-06,3.94,4.035,3.85,3.98,45475.0
2019-12-05,3.92,4.02,3.86,3.92,34779.0
2019-12-04,4.02,4.16,3.86,3.91,48490.0
2019-12-03,4.04,4.195,3.95,4.0,72259.0
2019-12-02,4.37,4.41,4.14,4.15,46289.0
2019-11-29,4.25,4.41,4.1801,4.41,15562.0
2019-11-27,4.31,4.43,4.14,4.31,36972.0
2019-11-26,4.4,4.46,4.29,4.33,23567.0
2019-11-25,4.28,4.46,4.18,4.43,25539.0
2019-11-22,4.36,4.43,4.175,4.28,34915.0
2019-11-21,4.16,4.44,4.09,4.39,62782.0
2019-11-20,3.94,4.2,3.94,4.09,45691.0
2019-11-19,3.75,3.98,3.75,3.92,74287.0
2019-11-18,3.96,4.04,3.75,3.84,63627.0
2019-11-15,4.0,4.08,3.95,4.04,32491.0
2019-11-14,3.74,4.2,3.74,4.01,69081.0
2019-11-13,3.82,4.153,3.74,3.74,77338.0
2019-11-12,4.0,4.07,3.7,3.81,93933.0
2019-11-11,4.0011,4.133,3.9,4.0,38793.0
2019-11-08,4.05,4.25,4.01,4.1,50768.0
2019-11-07,4.17,4.3645,4.17,4.28,40820.0
2019-11-06,4.35,4.4064,4.1577,4.21,34855.0
2019-11-05,4.5,4.5,4.2508,4.41,13871.0
