date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,23.55,23.8276,23.55,23.8,3335.0
2020-04-23,23.88,23.884,23.51,23.6938,6056.0
2020-04-22,23.7813,24.13,23.498,23.67,19695.0
2020-04-21,23.21,23.9,23.15,23.15,15198.0
2020-04-20,23.4334,24.06,23.26,23.98,11703.0
2020-04-17,24.06,24.15,23.3375,24.0,6187.0
2020-04-16,23.84,23.99,23.25,23.25,10532.0
2020-04-15,23.26,23.59,23.26,23.4161,2167.0
2020-04-14,23.2643,24.22,23.2643,23.8773,4888.0
2020-04-13,24.48,24.48,22.96,24.1,8316.0
2020-04-09,24.01,24.555,24.01,24.3,29834.0
2020-04-08,22.4,23.74,22.4,23.25,17675.0
2020-04-07,22.3,23.0,21.56,22.7,21812.0
2020-04-06,22.15,23.103,20.9125,22.117,10050.0
2020-04-03,21.9899,21.9899,20.97,21.81,5873.0
2020-04-02,21.1364,22.43,21.0,22.06,9917.0
2020-04-01,22.1561,22.48,20.85,22.48,8037.0
2020-03-31,23.05,23.05,22.76,22.8,6184.0
2020-03-30,23.0,23.08,22.62,22.75,12910.0
2020-03-27,20.8,23.4724,20.46,23.0,13890.0
2020-03-26,23.8,23.8323,23.26,23.75,23447.0
2020-03-25,22.05,23.81,22.05,23.26,34244.0
2020-03-24,18.43,22.0899,18.43,21.78,17463.0
2020-03-23,20.08,21.84,18.395,20.8248,31722.0
2020-03-20,21.0001,23.44,20.0276,21.69,33788.0
2020-03-19,16.3,20.99,15.0,20.99,37363.0
2020-03-18,21.1,21.1,16.01,18.02,79515.0
2020-03-17,22.0387,22.0387,21.1352,21.21,39420.0
2020-03-16,23.5,23.5,20.07,21.21,50400.0
2020-03-13,22.49,24.6044,21.37,23.82,24970.0
2020-03-12,24.08,24.38,21.01,21.05,35730.0
2020-03-11,24.3344,24.45,23.88,23.964,24727.0
2020-03-10,24.99,25.176,23.68,24.4599,19708.0
2020-03-09,25.0,25.0,23.34,24.3,49376.0
2020-03-06,25.26,25.37,25.02,25.14,9518.0
2020-03-05,25.33,25.365,25.21,25.29,3220.0
2020-03-04,25.25,25.5,25.21,25.36,6336.0
2020-03-03,25.35,26.1212,25.0161,25.11,22234.0
2020-03-02,24.93,25.6496,24.9,25.245,11946.0
2020-02-28,25.14,25.15,24.75,24.75,56155.0
2020-02-27,25.12,25.3204,25.0,25.03,11092.0
2020-02-26,25.37,25.4625,25.35,25.45,17446.0
2020-02-25,25.4034,25.7,25.35,25.37,7436.0
2020-02-24,25.55,25.6071,25.3,25.41,10471.0
2020-02-21,25.63,25.84,25.62,25.64,5949.0
2020-02-20,26.05,26.05,25.43,25.88,7854.0
2020-02-19,26.09,26.09,26.03,26.03,694.0
2020-02-18,26.21,26.21,26.13,26.135,3675.0
2020-02-14,26.2,26.2,26.2,26.2,108.0
2020-02-13,26.1137,26.1488,26.1,26.1488,1702.0
2020-02-12,26.1193,26.191,26.06,26.06,1949.0
2020-02-11,26.16,26.16,26.16,26.16,261.0
2020-02-10,26.1121,26.17,26.06,26.1642,7150.0
2020-02-07,26.146,26.1807,26.09,26.18,3733.0
2020-02-06,26.08,26.1788,26.04,26.13,4733.0
2020-02-05,26.2,26.2,26.05,26.2,4260.0
2020-02-04,26.2,26.2,26.03,26.05,4903.0
2020-02-03,26.19,26.2,26.14,26.2,5008.0
2020-01-31,26.1,26.19,26.05,26.19,6767.0
2020-01-30,26.0029,26.1,26.0029,26.09,1035.0
2020-01-29,25.87,26.0,25.85,25.99,2756.0
2020-01-28,25.8501,26.05,25.8501,25.9,2963.0
2020-01-27,25.85,26.05,25.85,25.87,4874.0
2020-01-24,26.09,26.09,25.93,25.93,2057.0
2020-01-23,26.0956,26.0956,26.0956,26.0956,408.0
2020-01-22,26.04,26.17,26.04,26.168,3458.0
2020-01-21,25.86,25.9893,25.86,25.98,3601.0
2020-01-17,26.0,26.048,26.0,26.048,1554.0
2020-01-16,25.95,26.19,25.95,26.19,6145.0
2020-01-15,25.99,26.01,25.9661,25.995,2439.0
2020-01-14,25.99,25.99,25.99,25.99,356.0
2020-01-13,25.99,26.005,25.99,25.99,1278.0
2020-01-10,25.95,26.01,25.95,26.0084,2578.0
2020-01-09,25.92,26.0,25.8773,25.88,3637.0
2020-01-08,26.05,26.05,25.87,25.92,6613.0
2020-01-07,25.85,25.89,25.76,25.77,7341.0
2020-01-06,25.9002,26.0,25.74,25.75,7758.0
2020-01-03,25.68,25.93,25.6,25.93,5334.0
2020-01-02,25.52,26.11,25.52,25.75,14511.0
2019-12-31,25.63,25.78,25.46,25.78,29624.0
2019-12-30,25.5,25.64,25.43,25.5278,10057.0
2019-12-27,25.42,25.5,25.42,25.5,1109.0
2019-12-26,25.41,25.515,25.41,25.491,1341.0
2019-12-24,25.4677,25.4677,25.4677,25.4677,862.0
2019-12-23,25.545,25.59,25.51,25.51,2602.0
2019-12-20,25.5519,25.58,25.5519,25.58,1427.0
2019-12-19,25.4883,25.54,25.454,25.5,5359.0
2019-12-18,25.3498,25.4593,25.3498,25.4593,4676.0
2019-12-17,25.33,25.43,25.32,25.337,4903.0
2019-12-16,25.42,25.44,25.35,25.4,3071.0
2019-12-13,25.26,25.4,25.26,25.4,935.0
2019-12-12,25.32,25.35,25.25,25.25,2766.0
2019-12-11,25.24,25.2914,25.24,25.2914,1236.0
2019-12-10,25.27,25.27,25.23,25.27,1112.0
2019-12-09,25.2601,25.2801,25.2601,25.28,1776.0
2019-12-06,25.19,25.3,25.19,25.26,2733.0
2019-12-05,25.235,25.29,25.2,25.2,6105.0
2019-12-04,25.272,25.35,25.21,25.3,10070.0
2019-12-03,25.335,25.335,25.2,25.24,5463.0
2019-12-02,25.36,25.36,25.2,25.2,8727.0
2019-11-29,25.55,25.55,25.31,25.31,23339.0
2019-11-27,25.791,25.791,25.53,25.5387,4016.0
2019-11-26,25.92,26.134,25.92,26.07,3992.0
2019-11-25,26.09,26.09,26.0527,26.0527,1560.0
2019-11-22,26.154,26.18,26.0229,26.08,12769.0
2019-11-21,25.9523,26.1452,25.95,26.11,2666.0
2019-11-20,26.04,26.1094,26.0,26.1094,1350.0
2019-11-19,26.06,26.104,26.06,26.085,807.0
2019-11-18,26.0788,26.18,26.07,26.16,3176.0
2019-11-15,26.0,26.18,26.0,26.18,708.0
2019-11-14,26.018,26.19,26.018,26.19,1770.0
2019-11-13,25.9,25.9704,25.9,25.9704,1210.0
2019-11-12,25.9802,25.9802,25.91,25.91,1682.0
