date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,20.02,20.49,20.02,20.47,3346.0
2020-04-23,19.6,20.46,19.6,20.392,3901.0
2020-04-22,18.82,19.74,18.82,19.6,6246.0
2020-04-21,18.905,19.6,18.905,19.4,2117.0
2020-04-20,19.1233,20.0,19.1233,19.774,1983.0
2020-04-17,19.75,20.88,19.0,20.88,10195.0
2020-04-16,18.5,19.9999,18.32,18.8,4124.0
2020-04-15,19.44,20.34,17.85,18.3,6796.0
2020-04-14,19.01,20.42,18.84,18.84,5250.0
2020-04-13,19.26,19.32,18.0101,18.55,4515.0
2020-04-09,19.5,20.3018,18.8857,19.9221,3916.0
2020-04-08,18.185,18.81,17.4968,18.76,7679.0
2020-04-07,17.75,18.8292,17.6889,18.1492,5968.0
2020-04-06,17.25,17.622,17.01,17.601,3083.0
2020-04-03,16.976,16.976,16.9257,16.9329,1300.0
2020-04-02,17.01,17.175,17.01,17.04,1836.0
2020-04-01,17.5,17.5,17.0,17.0,2682.0
2020-03-31,17.75,18.16,17.23,18.16,3945.0
2020-03-30,17.54,18.4,17.23,17.899,12143.0
2020-03-27,18.25,19.17,17.5,17.6001,7930.0
2020-03-26,19.5,21.39,17.61,19.26,11358.0
2020-03-25,18.9771,19.0002,18.9771,19.0,1387.0
2020-03-24,17.5,22.49,17.5,18.0001,5054.0
2020-03-23,17.65,21.92,15.34,17.11,29590.0
2020-03-20,17.2001,22.45,17.2001,22.41,719.0
2020-03-19,17.62,17.62,17.0,17.06,3457.0
2020-03-18,19.95,19.95,15.5,16.5,4964.0
2020-03-17,21.0866,22.79,17.875,22.16,9468.0
2020-03-16,21.0,21.6963,18.0,18.4703,2623.0
2020-03-13,19.0,20.5,19.0,19.83,5226.0
2020-03-12,22.5,22.5,19.0,20.3998,8731.0
2020-03-11,22.8,22.8,22.3608,22.3608,4253.0
2020-03-10,23.26,23.617,22.9648,23.0749,6720.0
2020-03-09,23.11,23.4614,23.07,23.1452,2562.0
2020-03-06,24.6,24.6,24.03,24.25,7936.0
2020-03-05,24.63,24.63,24.45,24.45,3831.0
2020-03-04,25.0,25.0,24.27,24.5696,1950.0
2020-03-03,24.6075,24.98,24.6,24.86,8904.0
2020-03-02,24.5814,24.89,24.03,24.228,2854.0
2020-02-28,23.67,24.19,23.63,24.19,511.0
2020-02-27,23.62,24.688,23.62,23.989,11737.0
2020-02-26,24.0,24.6889,23.8735,24.6889,2094.0
2020-02-25,24.775,24.95,24.6,24.6,7303.0
2020-02-24,24.9,24.95,24.9,24.94,405.0
2020-02-21,24.9,24.9059,24.8314,24.8314,1028.0
2020-02-20,24.66,24.87,24.66,24.87,951.0
2020-02-19,24.77,24.8674,24.655,24.655,5068.0
2020-02-18,24.815,24.815,24.7717,24.7717,733.0
2020-02-14,24.865,24.98,24.865,24.97,653.0
2020-02-13,24.8001,24.95,24.8001,24.8233,532.0
2020-02-12,25.0,25.0,24.78,24.78,3244.0
2020-02-11,24.75,25.0,24.75,24.9714,2213.0
2020-02-10,24.9,25.0,24.7312,24.766,1916.0
2020-02-07,24.9399,24.9399,24.88,24.8952,1396.0
2020-02-06,24.83,24.83,24.821,24.821,415.0
2020-02-05,24.72,24.9933,24.72,24.9933,2411.0
2020-02-04,24.87,25.0,24.755,24.9,3645.0
2020-02-03,24.9,24.9,24.884,24.884,763.0
2020-01-31,24.9,24.9,24.9,24.9,470.0
2020-01-30,24.9,24.9,24.657,24.87,4131.0
2020-01-29,24.76,24.8166,24.66,24.8166,12241.0
2020-01-28,24.9008,24.9133,24.76,24.7611,4399.0
2020-01-27,24.9799,24.98,24.782,24.98,3060.0
2020-01-24,24.7792,24.99,24.7792,24.98,4035.0
2020-01-23,24.6891,24.97,24.65,24.84,4391.0
2020-01-22,24.84,24.98,24.728,24.98,3130.0
2020-01-21,24.62,24.8465,24.62,24.65,4407.0
2020-01-17,24.701,24.7808,24.62,24.64,2791.0
2020-01-16,24.7006,24.7056,24.62,24.63,3773.0
2020-01-15,24.79,24.9445,24.64,24.66,1785.0
2020-01-14,24.62,24.944,24.62,24.7768,945.0
2020-01-13,24.7,24.81,24.7,24.81,1159.0
2020-01-10,24.7973,24.7973,24.71,24.75,520.0
2020-01-09,24.82,24.98,24.72,24.72,2915.0
2020-01-08,24.77,25.0,24.7,25.0,3575.0
2020-01-07,24.75,24.83,24.75,24.83,2400.0
2020-01-06,24.9405,24.9405,24.9405,24.9405,70.0
2020-01-03,25.0,25.0,24.9405,24.9405,1965.0
2020-01-02,25.0,25.0,25.0,25.0,1062.0
2019-12-31,24.8802,24.8802,24.8275,24.8275,666.0
2019-12-30,24.67,24.68,24.61,24.611,2595.0
2019-12-27,24.819,24.819,24.819,24.819,1030.0
